form,freq
kamaː,1
ʔanaː,1
lahu,1
ʔan,1
huːa,1
kaːna,1
ʔilaː,1
fiː,1
hiːa,1
maʕa,1
hum,1
jakuːn,1
fiː,1
waːħid,1
diːk,1
haːðaː,1
min,1
ħaːrr,1
lakunna,1
maː,1
baʕdˤ,1
huːa,1
huːa,1
ʔanta,1
ʔaʊ,1
kaːna,1
wa,1
min,1
ʔilaː,1
wa,1
wa,1
fiː,1
naħnu,1
xaːridʒa,1
aːlbaʕdˤ,1
wa,1
aːllatiː,1
aːlqiːaːm,1
min,1
aːlwaqt,1
ʔiðaː,1
saʊfa,1
keɪfa,1
qaːla,1
wa,1
kul,1
ʔaquːl,1
laː,1
turiːd,1
haʊaːʔ,1
dʒajjid,1
laʕiba,1
sˤaɣiːr,1
nihaːja,1
wadˤaʕa,1
aːlmanzil,1
qaraʔa,1
jad,1
miːnaːʔ,1
kabiːr,1
tahadʒʒaː,1
ʔidˤaːfa,1
ħattaː,1
aːlʔardˤ,1
hunaː,1
jadʒubb,1
kabiːr,1
irtifaːʕ,1
miθla,1
taːbaʕa,1
faʕala,1
limaːðaː,1
tatˤallaba,1
aːlridʒaːl,1
taɣjiːr,1
ðahaba,1
dˤaʊʔ,1
nawwaʕa,1
taħtaːdʒ,1
manzil,1
sˤawwara,1
lanaː,1
aːlħeɪaʊaːn,1
ʔam,1
aːlʕaːlam,1
qurba,1
binaːʔ,1
aːlnafs,1
ʔarradˤa,1
aːlʔab,1
ʔeɪ,1
aːlʕamal,1
dʒuzʔ,1
ʔaxaða,1
makaːn,1
masˤnuːʕ,1
ħajja,1
ħeɪθu,1
baʕda,1
ðˤahara,1
aːlqaliːl,1
faqatˤ,1
radʒila,1
ʕaːmm,1
dʒaːʔa,1
aːlmaʕridˤ,1
kul,1
dʒajjid,1
ʔanaː,1
manaħa,1
taħta,1
ism,1
dʒiddaː,1
faqatˤ,1
ʃakala,1
ʕaðˤiːm,1
iʕtaqada,1
qaʊl,1
munxafidˤ,1
xatˤˤa,1
ixtalafa,1
munʕatˤaf,1
aːlsabab,1
mutaʊassitˤ,1
qabla,1
ʔalħaqa,1
sˤabiːa,1
qadiːm,1
hiːa,1
kul,1
hunaːka,1
ʕindamaː,1
faʊqa,1
istixdaːm,1
ka,1
tˤariːq,1
ħaʊla,1
kaθiːr,1
θumma,1
hum,1
ʔirsaːl,1
ʔaraːda,1
miθla,1
haːkaðaː,1
haːʔulaːʔi,1
lahaː,1
tˤaʊiːl,1
dʒaʕala,1
ʃeɪʔ,1
ʃaːhada,1
lahu,1
iθneɪni,1
baħaθa,1
ʔakθar,1
jaʊm,1
jumakkin,1
taðhab,1
dʒaːʔa,1
lam,1
ʕaddada,1
sˤawwata,1
laː,1
ʔakθar,1
aːlnaːs,1
liːa,1
ʕalaː,1
taʕarrafa,1
maːʔ,1
min,1
aːlʔawwal,1
aːllaðiː,1
qad,1
ʔilaː,1
aːldʒaːnib,1
kaːna,1
aːlaːna,1
iktiʃaːf,1
raʔiːs,1
aːlwuquːf,1
janbaɣiː,1
baluda,1
ʔassasa,1
aːldʒaʊaːb,1
tanmuː,1
taʕallama,1
masˤnaʕ,1
ɣitˤaːʔ,1
ɣiðaːʔ,1
ʃamasa,1
beɪna,1
iħtafaðˤa,1
aːlʕeɪn,1
ʔabadaː,1
aːxar,1
samaħa,1
jaʕtaqid,1
ʕubuːr,1
ʃaːqq,1
qad,1
minʃaːr,1
aːlaːna,1
baħira,1
rasama,1
ɣaːdara,1
mutaʔaxxir,1
taʃɣiːl,1
laː,1
qariːb,1
aːlleɪl,1
ħeɪaː,1
qaliːl,1
ʃamaːl,1
kitaːb,1
ħamala,1
istaɣraqa,1
ʕalima,1
ʔakala,1
sˤadiːq,1
badaʔa,1
sammaka,1
aːldʒabal,1
taʊaqqafa,1
samiʕa,1
aːlħisˤaːn,1
qatˤaʕa,1
biaːltaʔkiːd,1
raːqaba,1
lawwana,1
wadʒʒaha,1
aːlxaʃab,1
raʔiːsijj,1
jabduː,1
maʕaː,1
aːlmuqbil,1
ʔabjadˤ,1
aːlʔatˤfaːl,1
badaʔa,1
sajjara,1
miθaːl,1
warraqa,1
tilka,1
kilaː,1
ħattaː,1
majjala,1
aːlnahr,1
qadima,1
θaːn,1
sahula,1
muʕtaːd,1
aːlʃabaːb,1
faʊqa,1
ʔabadaː,1
ʔaħmar,1
ʔiħsaːs,1
aːlħadiːθ,1
tˤaːʔir,1
aːlkalb,1
mabaːʃir,1
ʔarbaka,1
taraka,1
qiːaːs,1
baːb,1
nitaːdʒ,1
ʔusuːd,1
qasˤiːr,1
aːlʔarqaːm,1
aːlriːaːħ,1
aːlsuʔaːl,1
jaħduθ,1
nasˤˤafa,1
aːlniðˤaːm,1
aːlnaːr,1
aːldʒanuːb,1
qaːla,1
ʕarafa,1
tamr,1
munðu,1
ʔaʕlaː,1
kakull,1
malaka,1
ʃaːriʕ,1
biaːltˤabʕ,1
kaːmil,1
aːlʔazraq,1
maʊdˤuːʕ,1
taqarrara,1
satˤaħa,1
ʕamiːq,1
aːldʒaziːra,1
aːlqadam,1
niðˤaːm,1
maʃɣuːl,1
ixtibaːr,1
sadʒʒala,1
qaːraba,1
muʃtarik,1
aːlðahab,1
mumkin,1
dʒaːff,1
ʕadʒiba,1
aːldˤaħk,1
ʔallafa,1
munðu,1
rakadˤa,1
taħaqqaqa,1
ʃakala,1
ħaːrr,1
θaladʒa,1
dʒalaba,1
naʕam,1
baʕiːd,1
ʃaɣala,1
aːlʃarq,1
aːltˤilaːʔ,1
beɪna,1
waħda,1
muʕiːn,1
jatˤiːr,1
saqatˤa,1
muðˤlim,1
intaðˤara,1
aːlraqm,1
sˤunduːq,1
ism,1
aːlħaql,1
sˤaħiːħ,1
aːldʒiniːh,1
mundʒaz,1
aːldʒimaːl,1
maħrak,1
taʕliːm,1
ʔusbuːʕ,1
nihaːʔijj,1
ʔaʕtˤaː,1
aːlʔaxdˤar,1
jaː,1
sariːʕ,1
tatˤwiːr,1
aːlmuħiːtˤ,1
ħarra,1
qaʊiːa,1
xaːsˤˤ,1
ʕaqala,1
xalafa,1
waːdˤiħ,1
ðajjala,1
ʔintaːdʒ,1
aːlfadˤaːʔ,1
ʔafdˤala,1
ʔafdˤala,1
sˤaħiːħ,1
xilaːla,1
taðakkara,1
ʕaqada,1
ɣaraba,1
ʔarradˤa,1
aːlwusˤuːl,1
aːlfiʕl,1
aːlɣannaːʔ,1
istamaʕa,1
aːldʒadwal,1
aːlsifr,1
ʔaqalla,1
aːlsˤabaːħ,1
basiːtˤa,1
naħwa,1
ħarb,1
wadˤaʕa,1
dˤidda,1
namatˤ,1
markaz,1
aːlħubb,1
ʃaxxasˤa,1
aːlmaːl,1
taðˤhar,1
tˤariːq,1
mutˤr,1
ħakama,1
ʔalaħħakum,1
saħaba,1
baːrid,1
ʔiʃʕaːr,1
sˤawwata,1
muħtamal,1
qaːʕ,1
ʃaqiːq,1
aːlbeɪdˤ,1
rakuːb,1
iʕtaqada,1
rubbamaː,1
ixtiːaːr,1
mufaːdʒiʔ,1
ʕadda,1
marbaʕ,1
sabbaba,1
tˤawwala,1
tamθiːl,1
fann,1
aːlmaʊdˤuːʕ,1
ħadʒama,1
taxtalif,1
ħalla,1
aːlkalaːm,1
aːlwazn,1
ʕaːmm,1
aːldʒaliːd,1
zawwadʒa,1
tadˤammana,1
ʃaʕara,1
baʕda,1
ʔisqaːtˤ,1
qalaba,1
aːlħaːdˤir,1
raqasˤa,1
maħrak,1
maʊqif,1
aːlðiraːʕ,1
waːsiʕ,1
aːlʃiraːʕ,1
dʒuzʔ,1
aːldʒuluːs,1
sabbaːq,1
matdʒar,1
aːlsˤeɪf,1
qitˤaːr,1
nawwama,1
ʔiθbaːt,1
waħiːd,1
aːlsaːq,1
dʒidaːr,1
mizlaːdʒ,1
dʒabala,1
raɣiba,1
samaːʔ,1
aːlfaraħ,1
ʃitaːʔ,1
aːlsabt,1
barrijj,1
ʔabqaː,1
zidʒaːdʒ,1
aːlʕuʃb,1
aːlʕamal,1
aːlmaːdˤiː,1
mariħa,1
maʃriq,1
