form,freq
a˥˥,1
a˧,1
aɪ˥˥,1
aɪ˥˩,1
aɪ˥˩,1
an˥˥,1
an˥˥,1
aɻ˥˩,1
aɻ˧˥,1
aɻ˧˥,1
aɻ˧˥,1
aɻ˧˥,1
aɻ˨˩˦,1
ɑʊ˥˩,1
ɕi˥˥,1
ɕi˥˥,1
ɕi˥˥,1
ɕi˥˩,1
ɕi˥˩,1
ɕi˨˩˦,1
ɕɪn˥˥,1
ɕɪn˥˥,1
ɕɪn˥˥,1
ɕɪn˥˥,1
ɕɪn˥˥,1
ɕɪŋ˥˥,1
ɕɪŋ˥˥,1
ɕɪŋ˥˩,1
ɕɪŋ˥˩,1
ɕɪŋ˧˥,1
ɕja˥˩,1
ɕja˥˩,1
ɕjɑŋ˥˥,1
ɕjɑŋ˥˥,1
ɕjɑŋ˥˩,1
ɕjɑŋ˥˩,1
ɕjɑŋ˥˩,1
ɕjɑŋ˨˩˦,1
ɕjɑŋ˨˩˦,1
ɕjɑʊ˥˥,1
ɕjɑʊ˥˩,1
ɕjɑʊ˥˩,1
ɕjɑʊ˨˩˦,1
ɕjɑʊ˨˩˦,1
ɕjɑʊ˨˩˦,1
ɕjɛ˥˥,1
ɕjɛ˥˥,1
ɕjɛ˥˩,1
ɕjɛ˥˩,1
ɕjɛ˥˩,1
ɕjɛ˥˩,1
ɕjɛ˥˩,1
ɕjɛ˥˩,1
ɕjɛ˥˩,1
ɕjɛ˧˥,1
ɕjɛ˧˥,1
ɕjɛ˧˥,1
ɕjɛ˧˥,1
ɕjɛ˨˩˦,1
ɕjɛ˨˩˦,1
ɕjɛn˥˥,1
ɕjɛn˥˥,1
ɕjɛn˥˩,1
ɕjɛn˥˩,1
ɕjɛn˨˩˦,1
ɕjɛn˨˩˦,1
ɕɥœ˧˥,1
ɕɥœn˨˩˦,1
ɕy˥˥,1
ɕy˥˥,1
ɕy˥˩,1
ɕy˨˩˦,1
ən˥˥,1
ɤ˥˩,1
ɤ˥˩,1
ɤ˧˥,1
fa˥˥,1
fa˨˩˦,1
fan˥˩,1
fan˧˥,1
fan˨˩˦,1
fɑŋ˥˥,1
fɑŋ˥˩,1
fɑŋ˧˥,1
fɑŋ˧˥,1
feɪ˥˥,1
feɪ˥˥,1
feɪ˥˥,1
feɪ˥˩,1
fən˥˥,1
fɤŋ˥˥,1
fɤŋ˥˥,1
fɔ˧˥,1
fu˥˥,1
fu˥˥,1
fu˥˩,1
fu˥˩,1
fu˥˩,1
fu˥˩,1
fu˧˥,1
fu˧˥,1
fu˧˥,1
i˥˥,1
i˥˥,1
i˥˥,1
i˥˩,1
i˥˩,1
i˥˩,1
i˥˩,1
i˥˩,1
i˥˩,1
i˥˩,1
i˥˩,1
i˧˥,1
i˧˥,1
i˨˩˦,1
i˨˩˦,1
i˨˩˦,1
i˨˩˦,1
i˨˩˦,1
ɪn˥˥,1
ɪn˥˥,1
ɪŋ˥˥,1
ɪŋ˥˩,1
ɪŋ˧˥,1
ɪŋ˧˥,1
ɪŋ˨˩˦,1
ja˥˥,1
ja˥˩,1
