form,freq
aːn,1
aːn,1
aːmbɔt,1
aːndeːl,1
aːŋɣəleːɣəhɛit,1
aːŋkoːmə,1
aːnmɛldə,1
aːnraːkə,1
aːnslœytə,1
aːntɑl,1
aːnʋeːzəx,1
aːrdə,1
ɑxt,1
ɑxt,1
ɑxtər,1
ɑxtər,1
ɑxtərvuːxsəl,1
ɑkt,1
ɑvbeːldɪŋ,1
ɑvdɛkɪŋ,1
ɑvdrʉkə,1
ɑfhɑŋə,1
ɑftrɛkə,1
ɑfraːɣə,1
ɑfʋɛrkɪŋ,1
ɑkoːrt,1
ɑkoːrt,1
ɑkoːrt,1
ɑlɣəmeːn,1
ɑlɣəmeːn,1
ɑlə,1
ɑlə,1
ɑleːn,1
ɑleːn,1
ɑls,1
ɑltɛit,1
ɑndərs,1
ɑŋst,1
ɑntʋoːrt,1
ɑntʋoːrdə,1
aːpɑrt,1
ɑpaːraːt,1
ɑpəl,1
ɑpɛl,1
ɑrm,1
ɑrm,1
ɑrtiːkəl,1
ɑrts,1
aːtoːm,1
ɑutoː,1
aːvɔnt,1
bɑl,1
bɑl,1
bɑnt,1
bɑnt,1
bɛnt,1
bɑŋ,1
bɑŋ,1
bɑŋk,1
bɑr,1
bɑr,1
bɑr,1
baːzə,1
bədrɛif,1
beːn,1
beːn,1
beːtjə,1
beːtjə,1
bəɣəlɛidə,1
bəɣɪn,1
bəɣɪn,1
bəɣɪnə,1
bəhɑlvə,1
bəhɑlvə,1
bəhoːrlək,1
bɛidə,1
bɛn,1
bəpaːlə,1
bərɛidə,1
bərɛikə,1
bɛrx,1
bɛrx,1
bəsxɛrmə,1
bəsxrɛivə,1
bəslɪsə,1
bəspaːrə,1
bəspreːkə,1
bɛst,1
bɛst,1
bɛst,1
bəsteːdə,1
bətaːlə,1
bəteːkənə,1
beːtər,1
beːtər,1
bøːrt,1
bəvɑtə,1
bəvɔlkə,1
bəʋeːɣɪŋ,1
bəʋɛizə,1
bəzuːk,1
biːdə,1
bɛi,1
bɛi,1
bɛi,1
biːzɔndər,1
biːzɔndər,1
blɑt,1
blɑuʋ,1
blɑuʋ,1
blɛi,1
blɛivə,1
bluːt,1
bluːt,1
bluːm,1
blɔkeːrə,1
boːdəm,1
buːk,1
buːrdərɛi,1
boːm,1
boːm,1
boːrt,1
boːrt,1
boːt,1
bɔs,1
bɔs,1
bɔt,1
bɔt,1
bɔt,1
bɔt,1
bɑuʋə,1
boːvə,1
boːvə,1
brɑk,1
brɑk,1
brɑnt,1
breːk,1
breːt,1
brɛŋə,1
briːf,1
bruːr,1
broːt,1
brœyn,1
brœyn,1
bœys,1
bœys,1
byːrmɑn,1
sɛl,1
sɛntrʉm,1
sɛifər,1
sɪrkəl,1
koːt,1
kɔləm,1
kɔmpleːt,1
kɔntrɒːlə,1
kɔntroːleːrə,1
kʉrzʉs,1
dɑx,1
dɑx,1
dɑx,1
dɑx,1
dɑl,1
daːmə,1
dɑn,1
dɑn,1
dɑn,1
dɑŋk,1
dɑns,1
dɑt,1
dɑt,1
dɑt,1
də,1
də,1
diːl,1
deːsiːmaːl,1
deːsiːmaːl,1
deːl,1
deːl,1
dɛŋkə,1
dɛrdə,1
dɛrdə,1
dɛrdə,1
dɛrdə,1
dɛrdə,1
dɛrdə,1
døːr,1
deːzə,1
dɪxt,1
dɪxt,1
dɪɣdbɛi,1
diː,1
diːnə,1
diːr,1
diːr,1
dɪŋ,1
diːviːziː,1
doːdə,1
duːn,1
duːn,1
dɔŋkər,1
dɔŋkər,1
doːt,1
doːt,1
doːr,1
doːr,1
doːr,1
doːs,1
dɔrp,1
draːt,1
draːt,1
draːɣə,1
drɑŋkjə,1
driː,1
driː,1
driːhuːk,1
droːɣə,1
droːɣə,1
droːmə,1
dʉbəl,1
dʉbəl,1
dʉbəl,1
dœydələk,1
dœyzənt,1
dœyzənt,1
dʉn,1
dʉn,1
dʉs,1
dʉs,1
dyːʋ,1
ɛxt,1
ɛxt,1
eːn,1
ən,1
eːn,1
eːn,1
eːn,1
eːnt,1
eːnhɛit,1
eːnmaːl,1
eːnvɑudəx,1
eːrdər,1
eːrlək,1
eːrstə,1
eːrstə,1
eːʋ,1
ɛi,1
ɛi,1
ɛiɣə,1
ɛiɣə,1
ɛilɑnt,1
ɛlk,1
ɛn,1
ɛnt,1
ɛnt,1
eːnɛrʒiː,1
ɛr,1
ɛr,1
ɛrvaːrɪŋ,1
eːvənəmɛnt,1
ɛkspeːriːmɛnt,1
faːmiːliː,1
fɛit,1
fiːɣyːr,1
fɛinə,1
fɛinə,1
fiːnaːlə,1
flɛt,1
frɑksiː,1
frœyt,1
xaːn,1
xɑs,1
xɑt,1
xɑt,1
xəbøːrə,1
xəbøːrə,1
xəbiːt,1
xəboːrə,1
xəbrœykə,1
xədaːn,1
xədɑxtə,1
xədɪxt,1
xeːl,1
xeːl,1
xeːn,1
xeːn,1
xeːn,1
xeːst,1
xəheːl,1
xəheːl,1
xəhɑudə,1
xɛlt,1
xəleːdə,1
xəlɛit,1
xəlɛik,1
xəlɛik,1
xəlɛik,1
xəloːvə,1
xəmaːkt,1
xəmɑk,1
xənuːx,1
xənuːx,1
xəoːpənt,1
xəreːtsxɑp,1
xəsxiːdənɪs,1
xøːr,1
xəvaːr,1
xəvɑl,1
xəvɑŋə,1
xeːvə,1
xəʋɑs,1
xəʋɪxt,1
xəʋoːn,1
xəzɪxt,1
xlɑns,1
xlɑs,1
xlɪmlɑx,1
xuːt,1
xuːt,1
xoːjə,1
xɑut,1
xɑut,1
xraːt,1
xraːfiːk,1
xrɑs,1
xraːtəs,1
xrɛis,1
xrɛis,1
xruːjə,1
xruːn,1
xruːn,1
xruːn,1
xruːp,1
xrɔnt,1
xroːtə,1
xroːtə,1
xʉnst,1
xʉnst,1
haːr,1
haːr,1
haːr,1
haːst,1
haːst,1
hɑndəl,1
hɑndəl,1
hɛpiː,1
hɑrt,1
hɑrt,1
hɛbə,1
heːft,1
heːl,1
heːl,1
heːt,1
hɛlft,1
hɛlpə,1
hɛm,1
hɛm,1
heːməl,1
heːməl,1
hɛn,1
hɛn,1
ət,1
ət,1
hɛtsɛlvdə,1
hiːr,1
hɛi,1
hɛi,1
hɪt,1
hɪt,1
huː,1
huːt,1
huːk,1
huːʋɛl,1
hɔnt,1
hɔndərt,1
hɔndərt,1
hoːft,1
hoːftstɑt,1
hoːx,1
hoːpə,1
hɑudə,1
hɑut,1
hɑut,1
hœyt,1
hœylə,1
hœys,1
hʉn,1
iːdeː,1
iːdeː,1
ɛis,1
ɛizər,1
ɪn,1
ɪn,1
ɪntʃ,1
ɪndiːn,1
ɪndʉstriː,1
ɪndʉstriː,1
ɪnstɛmə,1
ɪnstryːmɛnt,1
jaː,1
jaː,1
jaːr,1
jɔŋə,1
jɔŋə,1
jɔŋə,1
jœyst,1
kaːrt,1
kaːmər,1
kɑmp,1
kɑmp,1
kɑmp,1
kɑn,1
kaːn,1
kɑns,1
kɑnt,1
kɑnt,1
kɑntoːr,1
kɑpiːtɛin,1
kaːrɑktər,1
kɑt,1
kaːtuːn,1
kaːtuːn,1
kɛnəsxeːvɪŋ,1
kiːzə,1
kɛikə,1
kɪnt,1
kɪndərə,1
klaːr,1
klaːr,1
klɑp,1
klɑp,1
klɑsə,1
kleːdə,1
kleːdɪŋ,1
klɛin,1
klɛin,1
kløːr,1
klɪmə,1
klɪŋkə,1
klɪŋkər,1
klɔk,1
klɔk,1
klɔk,1
klɔk,1
kloːf,1
kuː,1
kɔk,1
kɔk,1
koːloːniː,1
koːmə,1
koːrt,1
koːpə,1
koːpiː,1
kɔstə,1
kɑudə,1
krɑxt,1
krɛiɣə,1
kœykə,1
kʉnst,1
kʉst,1
kʉst,1
laːx,1
laːx,1
laːt,1
laːt,1
lɑxə,1
lɑnt,1
lɑŋ,1
lɑŋzaːm,1
laːtə,1
leːftɛit,1
leːrlɪŋ,1
lɛɣə,1
lɛidə,1
lɛŋtə,1
leːrə,1
leːrə,1
lɛtərɣreːp,1
løːɣə,1
leːvə,1
leːvə,1
leːvərɪŋ,1
leːzə,1
lɪxaːm,1
lɪxt,1
lɪxt,1
liːt,1
liːvdə,1
lɪft,1
lɛikə,1
lɛikə,1
lɛin,1
lɛist,1
lɪŋks,1
lɪŋks,1
loːkaːliːzeːrə,1
lɔl,1
loːpə,1
lʉxt,1
lʉxt,1
lœyt,1
lœyt,1
lœystərə,1
maːn,1
maːnt,1
maːr,1
maːr,1
maːr,1
maːr,1
mɑɣneːt,1
maːkə,1
mɑn,1
maːniːr,1
mɑnə,1
mɑrk,1
mɑrk,1
mɑrkt,1
mɑsaː,1
maːteːriːjaːl,1
meːdəklɪŋkər,1
meːr,1
meːr,1
meːr,1
meːrvɑut,1
meːst,1
meːstər,1
mɛisjə,1
mɛlk,1
meːloːdiː,1
mɛŋə,1
meːnəxtə,1
mɛnsələk,1
mɛt,1
mɛt,1
mɛt,1
meːtaːlə,1
meːtə,1
meːtoːdə,1
mɪdɑx,1
mɪdə,1
mɪdə,1
mɛi,1
mɛil,1
mɛin,1
mɛin,1
məljuːn,1
məljuːn,1
mɪnstə,1
miːnʉskyːl,1
miːnyːt,1
mɪs,1
mɪs,1
mɪs,1
mɪsxiːn,1
muːdər,1
muːjlək,1
muːt,1
muːt,1
muːtə,1
muːtə,1
moːɣələk,1
moːmɛnteːl,1
mɔnt,1
moːtɔr,1
myːr,1
myːr,1
myːziːk,1
naː,1
naː,1
naːm,1
nɑxt,1
naːtsiː,1
naːtyːr,1
neːɣə,1
neːɣə,1
nɛk,1
neːmə,1
nøːs,1
niːt,1
niːt,1
niːt,1
niːt,1
niːt,1
niːts,1
niːts,1
niːts,1
niːvoː,1
nɔx,1
nɔx,1
noːtsaːkələk,1
noːjt,1
noːrdə,1
noːt,1
nyː,1
nyː,1
nyː,1
nyː,1
ɔbjɛkt,1
oːseːjaːn,1
ɔxtənt,1
uːfənɪŋ,1
uːvər,1
ɔf,1
ɔvʋɛl,1
oːliː,1
ɔmhoːx,1
ɔmvɑtə,1
ɔndər,1
ɔndər,1
ɔndərdeːl,1
ɔndərstøːnɪŋ,1
ɔndərʋɛrp,1
ɔndərzɛidə,1
ɔns,1
ɔns,1
ɔnthɑudə,1
ɔntmuːtə,1
ɔntfɑŋə,1
ɔntʋɛrp,1
ɔntʋɪkələ,1
oːx,1
oːjt,1
oːk,1
oːr,1
oːrlɔx,1
oːrzaːk,1
oːstə,1
ɔp,1
ɔp,1
ɔplɔsɪŋ,1
ɔpneːmə,1
ɔpərvlɑk,1
ɔrdə,1
ɔrɣəl,1
oːriːʒiːneːl,1
oːriːʒiːneːl,1
oːriːʒiːneːl,1
ɑudə,1
ɑudər,1
ɑudər,1
oːvər,1
oːvər,1
oːvərsteːkə,1
oːvərʋeːɣə,1
oːvərʋeːɣə,1
paːr,1
paːr,1
paːrt,1
pɑt,1
pɑt,1
paːɣiːnaː,1
pɑk,1
pɑk,1
pɑnt,1
pɑnt,1
paːpiːr,1
pɑraːɣraːf,1
pɑrtɛi,1
pɑrtiːtyːr,1
pɑsə,1
pɑseːrə,1
pɑtroːn,1
pɑtroːn,1
pɑtroːn,1
pɑtroːn,1
peːriːjoːdə,1
pɛrs,1
pɛrs,1
pərsoːn,1
piːstoːl,1
plaːts,1
plaːneːt,1
plɛnə,1
plɑntə,1
