form,freq
æbəhəlimə,1
ædmaɪə,1
ædmɪʃən,1
ædvæntɪdʒ,1
ædvaɪs,1
ædvaɪz,1
ædvɛntʃəɹ,1
ædvɜɹtəzmənt,1
æksɛpt,1
æksɛptəbl,1
æktɪvɪtɪ,1
æktɪvɪtɪz,1
ælɡoʊmə,1
æmbɪʃən,1
æmbɪʃəs,1
ænælɪsɪs,1
æŋzaɪətɪ,1
æbsəlut,1
æbsəns,1
æbsənt,1
æbəɹt,1
æd,1
ædvəɹb,1
ædvəɹsɛɹɪz,1
ædvəɹtaɪz,1
ædɪd,1
ædəmstaʊn,1
ædʒɪktɪv,1
ædɹɛs,1
æftəɹ,1
æftəɹwəɹdz,1
æfɹɪkə,1
æks,1
æksədənt,1
æksɛs,1
ækt,1
æktɪv,1
æktəɹ,1
æktʃuəlɪ,1
æktɹəs,1
æktʃəwəl,1
æktʃʊwəl,1
ækʃən,1
ælbəm,1
ælbəɹn,1
ælfə,1
ælfəbɛt,1
ælkəhɑl,1
æm,1
æmɹə,1
æn,1
ænd,1
ænsəɹ,1
ænt,1
ænyuəl,1
ænəməl,1
ænəməlz,1
æpl,1
æplz,1
æplɪŋ,1
æpəɹtʃəɹ,1
æsk,1
æskt,1
æskɪŋ,1
æsɪd,1
æt,1
ætəm,1
ævənu,1
ævɛɹɪdʒ,1
awəɹz,1
awəɹɡlæsɪz,1
æz,1
æʃ,1
æŋkl,1
æŋkʃəs,1
æʃlaɪn,1
æŋɡl,1
æɹəʊ,1
æɡɹɪkʌltʃəɹ,1
æŋɡəɹ,1
æŋɡɹɪ,1
æbsəlutlɪ,1
ædməɹeɪʃən,1
æftəɹnun,1
æluvɪəm,1
æntifʌŋɡəl,1
æpləkeɪʃən,1
æpləkeɪʃənz,1
æpəɹætəs,1
aɪdiə,1
aɪdiəz,1
aɪdɛntəfaɪ,1
aɪdɪəl,1
aʊtɹeɪdʒəs,1
aɪtɪnəɹɛɹɪz,1
aʊəɹsɛlvz,1
aɪ,1
aɪdl,1
aɪlənd,1
aɪləndz,1
aɪlɪts,1
aɪlɪd,1
aɪm,1
aʊns,1
aʊnsɪz,1
aɪs,1
aɪsɪ,1
aɪsəl,1
aʊtdɔɹz,1
aʊtdɔɹ,1
aʊtsaɪd,1
aʊtwəɹd,1
aʊt,1
aʊtlaɪn,1
aʊtʃ,1
aɪtəm,1
aʊtəɹ,1
aɪv,1
aɪz,1
aɪzənbəɹɡ,1
aɪəmz,1
aɪən,1
aʊəɹ,1
aʊəɹz,1
aʊɹlɪ,1
aɪəʊs,1
aɪdɪɑlədʒəst,1
aɪslændɛə,1
bæktiɹɪə,1
bæd,1
bædnəs,1
bækslæpɪŋ,1
bækwəɹd,1
bækwəɹdz,1
bækɡɹaʊnd,1
bæk,1
bæləns,1
bænd,1
bænəstəɹ,1
bænɪʃmənt,1
bæskɛt,1
bætl,1
bæɡ,1
bæθ,1
bæŋk,1
bæɡɪdʒ,1
bæɹəl,1
bæɹən,1
bæɹɪɡəɹ,1
bæŋkəmɛɹɪkə,1
baɪæksɪəl,1
baɪɑlədʒɪ,1
baʊ,1
baɪ,1
baɪnd,1
baʊnd,1
baʊndəɹɪ,1
baɪsɪkəl,1
baɪt,1
baɪtləɹ,1
baʊəlz,1
baɪpoʊləɹ,1
beɪ,1
beɪbɪ,1
beɪk,1
beɪlvə,1
beɪs,1
beɪst,1
beɪsɪk,1
beɪsɪkəlɪ,1
beɪsɪn,1
beɪsɪnz,1
beɪsɪs,1
beɪsɪɹ,1
beɪð,1
beɪðɪŋ,1
beɪʒ,1
beɪənɛts,1
bi,1
bik,1
bim,1
bin,1
bist,1
bit,1
bitl,1
bitɔvɛn,1
biɪŋ,1
blæk,1
blækhəm,1
blæst,1
blaɪndsaɪdɪd,1
blaɪnd,1
bleɪd,1
bleɪm,1
blid,1
blim,1
bloʊ,1
blu,1
blumənθɔl,1
bluθ,1
blʌd,1
blɑk,1
blɛs,1
blɔɪəɹ,1
boʊæz,1
boʊdɪ,1
boʊl,1
boʊld,1
boʊlt,1
boʊn,1
boʊst,1
boʊt,1
boʊθ,1
bun,1
but,1
byutɪ,1
byutɪfəl,1
byuɡlz,1
byɜɹk,1
bɪfɔɹ,1
bɪhaɪnd,1
bɪheɪv,1
bɪheɪvyəɹ,1
bɪkeɪm,1
bɪkʌm,1
bɪkʌmz,1
bɪkɛt,1
bɪkɔz,1
bɪlaɪɪŋ,1
bɪlif,1
bɪliv,1
bɪloʊ,1
bɪlɔŋ,1
bənænə,1
bɪniθ,1
bɪsaɪd,1
bɪsaɪdz,1
bɪtwin,1
bɪyɑnd,1
bɪɡæn,1
bɪɡɪn,1
bɪɡɪnɪŋ,1
bɛdɹum,1
bɛd,1
bɛduɪnz,1
bɑdɪ,1
bʌdʒɪtəd,1
bʊk,1
bɑks,1
bʊks,1
bʌkvt,1
bʊkəɹz,1
bʊlfaɪtəɹ,1
bɔl,1
bɛl,1
bɪl,1
bɪld,1
bʊldoʊz,1
bɪldɪŋ,1
bɛlt,1
bɪlt,1
bʊlət,1
bɪlɪən,1
bɛləʊz,1
bɑm,1
bʌmz,1
bɪn,1
bɛnd,1
bʌndl,1
bʌntʃ,1
bɛnəfɪt,1
bɛnəfɪts,1
bɪnəm,1
bʌs,1
bɛst,1
bɪt,1
bʌt,1
bɑtl,1
bɑtəm,1
bʌtən,1
bɛtəɹ,1
bɪtəɹ,1
bʌtəɹ,1
bʌtəɹɪks,1
bɪznɪslaɪk,1
bɪznəsmæn,1
bɪzɪ,1
bɪzɪnɛslaɪk,1
bɪzɪnɛsmæn,1
bɪzɪnəs,1
bɑɹ,1
bɛɡ,1
bɛθ,1
bɪɡ,1
bʊʃ,1
bɛə,1
bɪə,1
bɑɹbəɹ,1
bɪɹd,1
bɜɹd,1
bɔɹd,1
bʌɡd,1
bɜɹdɪ,1
bɔɹdəɹ,1
bɑɹkəʊz,1
bɜɹlæk,1
bɔɹn,1
bɜɹn,1
bɜɹntsən,1
bɜɹnz,1
bɑɹnɪkəl,1
bɑɹnɪʃ,1
bɑɹoʊ,1
bɜɹst,1
bɜɹtɹənd,1
bɔɹz,1
bɜɹθdeɪ,1
bɜɹθ,1
bɛɹɪ,1
bɜɹɪ,1
bɪɡɛst,1
bɪɡəɹ,1
bɛɹɪəl,1
bɜɹɡləɹ,1
bɑɹɡɛn,1
bɛnzəʊdɪæzəpɪn,1
bɹæf,1
bɹænd,1
bɹæntʃ,1
bɹæs,1
bɹæɡd,1
bɹaɪb,1
bɹaɪbəɹɪ,1
bɹaʊn,1
bɹaɪt,1
bɹaɪtn,1
bɹaɪtəlɪŋ,1
bɹaʊzəɹz,1
bɹeɪkθɹu,1
bɹeɪk,1
bɹeɪks,1
bɹeɪn,1
bɹeɪv,1
bɹeɪvəɹɪ,1
bɹid,1
bɹið,1
bɹudəɹ,1
bɹɪsi,1
bɔɪ,1
bɹɔdkæst,1
bɹɛd,1
bɹɔd,1
bɹɛdθ,1
bɹɪdʒ,1
bɹɪk,1
bɹɛkfəst,1
bɔɪl,1
bɹɔn,1
bɹɛsləʊ,1
bɹɛst,1
bɹɔt,1
bɹɪtɪʃ,1
bɹʌðəɹ,1
bɹɛθ,1
bɹɪŋ,1
bɹʌʃ,1
bɹɪɡədɪə,1
bɹɔɪ,1
dæleɪ,1
dæmp,1
dæmədʒ,1
dæns,1
dætəm,1
dæɹɪn,1
daɪvɜɹdʒd,1
daɪɹɛktnəs,1
daɪɹɛktəɹɪz,1
daɪ,1
daɪd,1
daɪkəʊ,1
daɪmənd,1
daʊnsaɪd,1
daɪn,1
daʊn,1
daɪnəɹz,1
daɪoʊd,1
daʊt,1
daɪv,1
daɪəɹi,1
daɪəɡnoʊz,1
daɪəɡnoʊzd,1
daʊɡən,1
daɪʌmɪtəɹ,1
deɪ,1
deɪlaɪt,1
deɪlɪ,1
deɪmɪnt,1
deɪndʒəɹ,1
deɪndʒəɹəs,1
deɪt,1
deɪtə,1
deɪvɪd,1
deɪz,1
did,1
dil,1
dip,1
dipn,1
difɔɹmeɪʃən,1
doʊnəɹz,1
doʊsədʒ,1
du,1
dus,1
dutɪ,1
duəbl,1
duɪŋ,1
dwɛlɪŋ,1
dɪfaɪn,1
dɪfit,1
dɪfɛnd,1
dɪfɛndənt,1
dɪfɛns,1
dɪkæfəneɪt,1
dɪkeɪ,1
dɪklɛə,1
dɪkɹis,1
dɪlaɪt,1
dɪleɪ,1
dɪlɪnɪeɪts,1
dɛlɪvəɹ,1
dɪlɪvəɹɪ,1
dɪlɪŋkwənts,1
dɪmænd,1
dɪmɑkɹəsɪ,1
dɪnaɪ,1
dɪpɪkts,1
dɪpɛnd,1
dɪpɛndz,1
dɪpɛndəns,1
dɪpɛndənt,1
dɪpɑɹtmənt,1
dɪpɑpyəleɪʃən,1
dɪpɹɛs,1
dɪpɹɛʃən,1
dɪsætəsfaɪ,1
dɪsaɪsɪv,1
dɪseɪlɪneɪʃən,1
dɪsit,1
dɪsiv,1
dɪskəntɛnt,1
dɪskʌmfəɹt,1
dɪskʌs,1
dɪskʌvəɹ,1
dɪskʌvəɹd,1
dɪskʌvəɹɪ,1
dɪskɜɹɪdʒ,1
dɪskɜɹɪdʒmənt,1
dɪskɹaɪb,1
dɪskɹaɪbd,1
dɪskɹɪptɪv,1
dɪskɹɪpʃən,1
dɪsmɪs,1
dɪspaɪt,1
dɪspleɪ,1
dɪspyut,1
dɪspɛə,1
dɪstɪləɹz,1
dɪstɜɹb,1
dɪstɪŋɡwɪʃ,1
dɪstɹʌktɪv,1
dɪstɹʌkʃən,1
dɪstɹɔɪ,1
dɪsɪnfɛkt,1
dɪsəɡɹi,1
dɪsɛmbəɹ,1
dɪsɛnd,1
dɪsɛndənt,1
dɪsɛnt,1
dɪsɪʒən,1
dɪsɡʌst,1
dɪteɪl,1
dɪteɪlz,1
dətɜɹmɪn,1
dətɜɹməndlɪ,1
dɪtɜɹmənd,1
dɪtɜɹmənəbl,1
dɪtɜɹməneɪʃən,1
dɪvaɪd,1
dɪvaɪs,1
dɪvɛləp,1
dɪvɛləpmənt,1
dɪvɛləpt,1
dɪvɛləpɪŋ,1
dɪvɪʒən,1
dɛwʊlf,1
dɪzaɪn,1
dɪzaɪnd,1
dɪzaɪə,1
dɪzaɪɹəbl,1
dɪziz,1
dɪzɜɹv,1
dəɹɛkt,1
dɪɹɛkt,1
dəɹɛktlɪ,1
dəɹɛktəɹ,1
dɪɹɛktəɹ,1
dɪɹɛktəɹɪ,1
dɪɹɛkʃən,1
dɪɡɹi,1
dɔnɪ,1
dʌbl,1
dɛd,1
dɪd,1
dɪdnt,1
dɪdʒətəl,1
dɛf,1
dɛfn,1
dɪfəkəlt,1
dɪfəkəltɪ,1
dɪfɪkʌltɪz,1
dɪfəɹɛns,1
dɪfəɹɛnt,1
dʌk,1
dɑktəɹ,1
dɑkyəmɛnt,1
dɑkyəmɛnəd,1
dɛkəɹeɪt,1
dɪkʃənɛɹɪ,1
dʌl,1
dɪlɡ,1
dɛləkɛt,1
dɑləɹ,1
dɔləɹz,1
dɑləɹz,1
dʌn,1
dɔnt,1
dɪnəɹ,1
dɪp,1
dɛpyutɪz,1
dɛpθ,1
dɛsk,1
dɑst,1
dʌst,1
dɪstəns,1
dɪstənt,1
dɪstɹɪkt,1
dɛsəməl,1
dɪsəplən,1
dɛt,1
dɑt,1
dɪtʃ,1
dɔtəɹ,1
dʌtəɹ,1
dɛvəl,1
dɛvɪnɪ,1
dʌz,1
dʌzn,1
dʌznt,1
dɛzəɹt,1
dɔɹweɪ,1
dɛθ,1
dɪɡ,1
dɪʃ,1
dɔɡ,1
dɔɹ,1
dʌɡ,1
dɛə,1
dɪə,1
dɜɹfəlɪŋəɹ,1
dɑɹk,1
dɑɹkn,1
dɑŋkɪ,1
dɜɹt,1
dɜɹtɪ,1
dɑɹtəɹ,1
dɛʃɔ,1
dɛɹɪbɛɹɪ,1
dɔɹɪs,1
dɛɹɪŋ,1
dʊɹɪŋ,1
dɛkləɹeɪʃən,1
dɛkəɹeɪʃən,1
dɪskəntɛntɪdlɪ,1
dɪskəntɪnyueɪʃən,1
dɪsədvæntɪdʒd,1
dɪsɹɪspɛkt,1
dɪsɹɪɡɑɹd,1
dɪsætɪsfækʃən,1
dɪsaɪd,1
dɪsaɪdɪd,1
dɪskʌʃən,1
dɪsɪplɪnɛɹɪənz,1
dɪsəpɪə,1
dɪsəpɪəɹəns,1
dɪsəpɹuv,1
dɪsəpɔɪnt,1
dɪsəpɔɪntɪd,1
dɪsəsoʊʃɪəɪtəd,1
dɛzɪɡniz,1
dɑɹdʒilɪŋ,1
dʒækɪ,1
dʒænyuɛɹɪ,1
dɹæɡ,1
dɹaɪ,1
dɹaɪlɪ,1
dɹaʊn,1
dɹaɪv,1
dɹaɪvz,1
dʒeɪmz,1
dʒeɪmɪsən,1
dɹim,1
dʒinz,1
dʒizʌs,1
dʒiəmɑti,1
dʒiəʊpəlɪtɪkəlɪ,1
dʒoʊk,1
dʒudɪɪzm,1
dʒudɪɪzəm,1
dʒufɹɪdə,1
dʒun,1
dʒus,1
dʒuz,1
dʒuəlɹɪ,1
dʒuəl,1
dʒulaɪ,1
dɹəkoʊnɪən,1
dʒɛnɑdɪ,1
dʒəɹɑɹd,1
dɹɔ,1
dʒɔ,1
dʒɑb,1
dʒɑbz,1
dɹɔdaʊn,1
dʒʌdʒmənt,1
dʒʌdʒ,1
dʒɛlɪ,1
dʒɑlɪ,1
dʒɛləs,1
dʒɛləsɪ,1
dɹʌm,1
dʒʌmp,1
dʒɑn,1
dʒɛntlmən,1
dʒɛntl,1
dʒɛnɛɹəl,1
dʒɑnəθən,1
dʒɛnəɹəs,1
dɹɑp,1
dɹɛs,1
dʒʌst,1
dʒʌstɪfaɪ,1
dʒʌstəs,1
dɹɪvn,1
dɹɔɹ,1
dɹʌɡ,1
dʒɔʃ,1
dɹɪŋk,1
dɹʌŋk,1
dʒʌŋkɪəst,1
dʒʌɡlz,1
dʒɜɹnɪ,1
dʒɜɹnəl,1
dɹʌɡz,1
dʒɔʃʊə,1
dʒɛnɛɹeɪʃən,1
dʒɛɹəntɑlədʒɪ,1
dʒɔɪ,1
dʒɔɪn,1
dʒɔɪnt,1
dʒɔɪz,1
eɪbl,1
eɪdʒ,1
eɪdən,1
eɪdəɹ,1
eɪdʒɛnsɪ,1
eɪdʒənt,1
eɪk,1
eɪkɪn,1
eɪkɔɹn,1
eɪm,1
eɪntʃənt,1
eɪpɹəl,1
eɪt,1
eɪtθ,1
fækt,1
fæktəɹ,1
fæktəɹɪ,1
fæməlɪ,1
fæməlɪz,1
fæn,1
fænsɪ,1
fænsɪəɹz,1
fæs,1
fæst,1
fæstəɹ,1
fæsən,1
fæsənəɹ,1
fæt,1
fætn,1
fæʃən,1
fæʃənəbl,1
faʊndeɪʃən,1
faɪ,1
faɪl,1
faɪn,1
faɪnd,1
faʊnd,1
faɪnəl,1
faɪnəlɪ,1
faɪt,1
faɪv,1
faɪəɹ,1
faɪəɹpleɪs,1
feɪd,1
feɪl,1
feɪlyəɹ,1
feɪm,1
feɪməs,1
feɪnt,1
feɪs,1
feɪt,1
feɪvəɹ,1
feɪvəɹz,1
feɪvəɹəbl,1
feɪvəɹɪt,1
feɪθfəl,1
feɪθ,1
fid,1
fil,1
fild,1
filɪŋ,1
filɪŋz,1
fimeɪl,1
fisiz,1
fist,1
fit,1
fitʃəɹ,1
fitʃəɹz,1
fivəɹ,1
flæmbɔɪənt,1
flænəlz,1
flæt,1
flætn,1
flætən,1
flawəɹ,1
flæɡʃɪp,1
flæɡ,1
flæʃ,1
flaɪ,1
flaʊndəɹ,1
flaɪt,1
fleɪm,1
fleɪvəɹ,1
floʊ,1
floʊt,1
fləmɪŋɡəʊz,1
flɔd,1
flʌd,1
flɛʃ,1
flɔɹ,1
flɜɹɪʃ,1
flʌɹɪʃ,1
flɔɪ,1
foʊkstoʊn,1
foʊkəs,1
foʊkəst,1
foʊld,1
foʊn,1
foʊtoʊ,1
foʊtəɡɹæf,1
fud,1
ful,1
fulɪʃ,1
fyu,1
fyunəɹəl,1
fyutʃəɹ,1
fɪftin,1
fʊlfɪl,1
fəmɪlyəɹ,1
fənænʃəl,1
fəsɪlɪtɪ,1
fətɑɡɹəfɪ,1
fɔɹteɪst,1
fɔɹbɪd,1
fɔɹtuɪtəs,1
fɛɹʌɹi,1
fɪɡɜɹskɪ,1
fɔɹɡɛt,1
fɔɹɡɪv,1
fɛbyəwɛɹɪ,1
fɛdəɹəl,1
fɛdɛɹəl,1
fɛdɹəlɪzm,1
fɛdɹəlɪzəm,1
fɪftɪ,1
fɪfθ,1
fɪks,1
fɑks,1
fʊlnɛs,1
fɔl,1
fɪl,1
fʊl,1
fɛld,1
fɔldz,1
fɪlm,1
fɔls,1
fɔlt,1
fɛlt,1
fɛləʊ,1
fɑləʊ,1
fɑləʊɪŋ,1
fɛləʊʃɪp,1
fʌn,1
fɑnd,1
fʌnd,1
fɛns,1
fʌnɪ,1
fɪnɪʃ,1
fʊtbɔl,1
fʊtpæθ,1
fʊtstɛp,1
fɪt,1
fʊt,1
fɑtə,1
fɪtɪd,1
fɪzɪkəl,1
fɛzənt,1
fɑðəɹ,1
fɛðəɹ,1
fɑðəɹz,1
fɔɹhɛd,1
fɑɹ,1
fɪʃ,1
fɔɹ,1
fɜɹ,1
fɛə,1
fɪə,1
fɜɹbɪʃɪŋ,1
fɔɹk,1
fɔɹkəɹ,1
fʌŋkʃən,1
fɑɹmyɑɹd,1
fɑɹm,1
fɜɹm,1
fɔɹm,1
fɔɹməl,1
fɑɹməɹ,1
fɔɹməɹ,1
fɔɹməɹlɪ,1
fɜɹnɪtʃəɹ,1
fɜɹnɪʃ,1
fɪɹs,1
fɔɹs,1
fɜɹst,1
fɜɹsən,1
fɔɹt,1
fɔɹtʃunət,1
fɔɹtʃʊn,1
fɑɹveɪ,1
fɔɹwəɹd,1
fɔɹwəɹdz,1
fɪɡyʊɹ,1
fɑɹðəɹ,1
fɜɹðəɹ,1
fɔɹθ,1
fɛɹɪ,1
fɔɹɪd,1
fɛɹɪk,1
fɔɹən,1
fɔɹɪn,1
fɔɹɪnəɹ,1
fɔɹəst,1
fɪʃəɹmæn,1
fɪŋɡəɹ,1
fɛmənɪnətɪ,1
fɔɹtəfəkeɪʃənz,1
fɹænsɪs,1
fɹæŋklɪn,1
fɹæŋkəfaɪl,1
fɹænsɪskoʊ,1
fɹaɪ,1
fɹaɪt,1
fɹaɪtn,1
fɹaɪtənɪŋ,1
fɹaɪəɹ,1
fɹeɪmwɜɹk,1
fɹeɪm,1
fɹeɪz,1
fɹi,1
fɹidəm,1
fɹidəmz,1
fɹikwənsɪ,1
fɹikwənt,1
fɹiz,1
fɹiə,1
fɹutlɛs,1
fɹut,1
fɹʌm,1
fɹɛnd,1
fɹɛndlɪ,1
fɹɛndz,1
fɹɛndʃɪp,1
fɹʌnt,1
fɹɛntʃ,1
fɹɛʃ,1
fɹɪɡɪŋ,1
gaɪɛtɪ,1
gɔ,1
gɑɹdnəɹ,1
gɑɹtnəɹ,1
hæphæzəɹd,1
hæbət,1
hæd,1
hæf,1
hælpəɹ,1
hæmdən,1
hæməɹ,1
hændɹaɪtɪŋ,1
hændʃeɪk,1
hænd,1
hændl,1
hændz,1
hæpn,1
hæpɪ,1
hæpənd,1
hæpənz,1
hæpɪnəs,1
hæpənɪŋ,1
hæt,1
hæv,1
hævɪŋ,1
hæz,1
hæŋ,1
hæŋkəɹtʃɪf,1
haɪ,1
haʊ,1
haɪd,1
haɪkɪlə,1
haɪlɪ,1
haʊs,1
haɪstəɹ,1
haɪt,1
haɪtn,1
haɪweɪ,1
haɪəɹ,1
haʊɪŋtən,1
haɪbɜɹnɪəz,1
haɪpəmænɪk,1
haɪpəmeɪnɪə,1
haʊɛvəɹ,1
heɪ,1
heɪsn,1
heɪst,1
heɪstɪ,1
heɪt,1
heɪtɹɪd,1
heɪwʊd,1
hi,1
hil,1
hip,1
hit,1
hiə,1
hoɹaɪzn,1
hoɹaɪzən,1
hoʊldaʊt,1
hoʊlseɪləɹz,1
hoʊl,1
hoʊld,1
hoʊlɪ,1
hoʊmkʌmɪŋ,1
hoʊmmeɪd,1
hoʊmwɜɹk,1
hoʊm,1
hoʊp,1
hoʊpfəl,1
hoʊpləs,1
hoʊst,1
hoʊməʊsɛkʃʊəl,1
hoʊməʊsɛkʃʊæləti,1
huɛvəɹ,1
hu,1
hudə,1
hum,1
huz,1
hwaɪ,1
hwaɪl,1
hwaɪthɛə,1
hwaɪtlɑk,1
hwɛn,1
hwɪskt,1
hwʌt,1
hwɪtʃ,1
hwɛðəɹ,1
hwɛə,1
hwɜɹlɪŋ,1
hwʌtɛvəɹ,1
hyudʒ,1
hyumən,1
hyumənz,1
hyumɔɹ,1
hyuməɹəs,1
həbibɪ,1
həbɪtʃʊəl,1
həloʊ,1
hɪmsɛlf,1
hɪstɔɹɪkəl,1
həɹsɛlf,1
həɹz,1
hɪɡɪnbɑθəm,1
hʊɹɑ,1
hɛd,1
hɛdeɪk,1
hʌdl,1
hɛdz,1
hɛdɹɛs,1
hɑfləɹ,1
hʌfɪ,1
hʊk,1
ɪlnəs,1
hɔl,1
hɪl,1
hɛld,1
hɛlp,1
hɛlpfəl,1
hɛlθ,1
hɑlɪdeɪ,1
hɛlθɪ,1
hɑləʊ,1
hɛm,1
hɪm,1
hʌm,1
hʌmbl,1
hʌmfɹɪ,1
hɛn,1
hɪndəɹ,1
hʌndɹɛd,1
hʌndɹɛdz,1
hʌndɹɛdθ,1
hɪndɹəns,1
hʌnt,1
hɑps,1
