form,freq
ad͡ʒo,1
aero,1
afabla,1
afabla,1
afero,1
afero,1
aina,1
akiri,1
akra,1
akto,1
aktuala,1
akvo,1
al,1
aldoni,1
alia,1
alid͡ʒi,1
almenau,1
alporti,1
alveni,1
alveni,1
amaso,1
ambau,1
amiko,1
amuza,1
anaso,1
angulo,1
ankau,1
ankorau,1
ankorau,1
anont͡so,1
anstatau,1
antauen,1
aperi,1
arand͡ʒi,1
arbaro,1
arbo,1
ard͡ʒento,1
aro,1
aro,1
arto,1
atendi,1
atendi,1
atendi,1
atomo,1
at͡ʃeti,1
au,1
audi,1
auskulti,1
auto,1
auto,1
baldau,1
bando,1
bastono,1
bazo,1
bebo,1
belet͡so,1
besto,1
birdo,1
bloko,1
bone,1
bordo,1
bordo,1
bovino,1
brako,1
brant͡ʃo,1
brila,1
bruligi,1
bruna,1
bruo,1
buʃo,1
butiko,1
cervo,1
ĉi,1
ĉi,1
dand͡ʒero,1
dant͡so,1
daurigi,1
de,1
de,1
de,1
de,1
de,1
de,1
de,1
de,1
dek,1
demando,1
denove,1
dependi,1
desegni,1
determini,1
det͡sidi,1
dezerto,1
deziri,1
diklipon,1
diklipon,1
disko,1
diskuti,1
dividi,1
divizoro,1
dolaro,1
domo,1
doni,1
dormo,1
drato,1
du,1
dum,1
dum,1
duono,1
d͡ʒardeno,1
d͡ʒi,1
d͡ʒis,1
d͡ʒoio,1
d͡ʒusta,1
d͡ʒusta,1
ebenaʒo,1
ebeno,1
ebla,1
eble,1
ed͡zino,1
ed͡ʒo,1
efekto,1
eksperimento,1
ekstere,1
ekst͡siti,1
ekzemplo,1
ekzert͡so,1
elekti,1
elekti,1
elemento,1
elpensi,1
elporti,1
elprovi,1
elspezi,1
enhavi,1
eniri,1
enspezi,1
entute,1
esperanto,1
esti,1
estintet͡so,1
estis,1
estis,1
estro,1
et͡ʃ,1
evidenta,1
evoluigi,1
faina,1
fairo,1
fakto,1
fali,1
faligi,1
familio,1
fat͡siligi,1
felit͡ʃa,1
fenestro,1
fero,1
fervoia,1
festo,1
figo,1
fingro,1
fini,1
fino,1
fiʃo,1
flanko,1
flava,1
floro,1
flugilo,1
fluo,1
forlasi,1
formo,1
formo,1
forta,1
forto,1
frajtaĵo,1
frajtaĵo,1
frakt͡sio,1
fratino,1
freʃa,1
frua,1
funkt͡sii,1
funto,1
gaso,1
gazetaro,1
gepatro,1
glat͡sio,1
grado,1
grafikaʒo,1
grandioza,1
graso,1
gvidi,1
hauto,1
heimo,1
herbo,1
historio,1
homa,1
horlod͡ʒo,1
horo,1
hundo,1
iam,1
ili,1
ilo,1
indiki,1
industrio,1
infano,1
inkluzivi,1
insekto,1
instrumento,1
insulo,1
inter,1
inter,1
interkonsenti,1
interkonsento,1
interpunkt͡sio,1
intesto,1
iri,1
jardo,1
jaro,1
jart͡sento,1
jes,1
judgermana,1
junulo,1
kai,1
kaj,1
kalkuli,1
kamiono,1
kampo,1
kanti,1
kanto,1
kapitano,1
kapo,1
kara,1
kasedo,1
kato,1
kauzo,1
ke,1
ke,1
ke,1
kial,1
kialo,1
kiam,1
kiam,1
kie,1
kies,1
kiom,1
klaso,1
klaso,1
klaso,1
knabino,1
knabo,1
kolekti,1
kolekti,1
kolero,1
kolo,1
kolonio,1
kolono,1
koloro,1
koment͡si,1
koment͡so,1
komert͡so,1
kompanio,1
kompari,1
kompleta,1
kondamno,1
kondiĉo,1
kondit͡ʃo,1
konduki,1
konekti,1
konko,1
konservi,1
konsideri,1
konsonanto,1
konstrui,1
kontinento,1
kontrau,1
kontraua,1
kontroli,1
kontrolo,1
konverĝa,1
kopio,1
kordo,1
koro,1
korpo,1
kosto,1
kostumo,1
kotono,1
kovrilo,1
kreski,1
krio,1
krio,1
kristanismo,1
kropo,1
kruro,1
krut͡ʃo,1
kun,1
kun,1
kun,1
kurat͡sisto,1
kutima,1
kvankam,1
kvar,1
kvarto,1
kvin,1
kvot͡siento,1
laboro,1
laboro,1
laboro,1
lago,1
lakto,1
lando,1
lando,1
lard͡ʒa,1
lard͡ʒa,1
lasta,1
lasta,1
lauta,1
led͡ʒo,1
legi,1
lerneio,1
lerni,1
lerta,1
letero,1
li,1
li,1
libera,1
libro,1
ligno,1
likva,1
lingvo,1
linio,1
literaturo,1
literaturo,1
literumi,1
lito,1
logaritmo,1
lokalizi,1
loko,1
longo,1
ludo,1
luno,1
magneto,1
maistro,1
malalte,1
malamiko,1
malantau,1
malbona,1
malfat͡sila,1
malfat͡sila,1
malfermita,1
malgranda,1
mallonga,1
mallumo,1
malpeza,1
malpli,1
malproksima,1
malrit͡ʃa,1
malvarmeta,1
mand͡ʒi,1
marbordo,1
maro,1
marʃi,1
martestudo,1
maso,1
maʃino,1
mateno,1
meilo,1
melodio,1
memori,1
menso,1
mensogo,1
merkato,1
metalo,1
metodo,1
mezo,1
mezuri,1
miksi,1
miliono,1
milito,1
milito,1
minuto,1
mola,1
molekulo,1
monato,1
monato,1
mondmilito,1
mondmilito,1
mondo,1
mondo,1
mondo,1
monopolo,1
monto,1
monto,1
monto,1
morti,1
mortigi,1
morto,1
motoro,1
movado,1
movado,1
multa,1
multa,1
multipliki,1
muro,1
muʃo,1
muziko,1
nad͡ʒi,1
nat͡sio,1
naturo,1
nau,1
ne,1
ned͡ʒo,1
nek,1
nelonge,1
neniam,1
nenio,1
neniu,1
ni,1
nivelo,1
nokto,1
nombro,1
nomo,1
noto,1
nubo,1
numeralo,1
nun,1
nutraʒo,1
objekto,1
observi,1
ofit͡seio,1
ofte,1
ok,1
okazaʒo,1
okazi,1
okazi,1
okazo,1
oksigeno,1
okulo,1
ol,1
ol,1
ol,1
ondo,1
opinio,1
ordo,1
ordo,1
orelo,1
organo,1
originala,1
oro,1
osto,1
ot͡seano,1
ovo,1
pad͡ʒo,1
pafilo,1
pagi,1
pando,1
pano,1
papero,1
paragrafo,1
paro,1
parolado,1
paroli,1
parto,1
paruo,1
paruo,1
paruo,1
paruo,1
paruo,1
pasi,1
paʃo,1
patrino,1
patro,1
pauzo,1
pentri,1
per,1
per,1
periodo,1
permesi,1
persono,1
persono,1
petrolo,1
pet͡so,1
pezo,1
piedo,1
pilko,1
planedo,1
planko,1
planko,1
plano,1
planto,1
plata,1
plena,1
plenigi,1
plurai,1
pluralo,1
pluvo,1
pneuo,1
poemo,1
pordo,1
porti,1
post,1
post,1
post,1
posteno,1
postuli,1
potent͡so,1
potent͡so,1
praktiko,1
preni,1
preta,1
pretigi,1
printempo,1
priskribi,1
prizorgi,1
probabla,1
problemo,1
produkti,1
produkto,1
profunda,1
proksimulo,1
proksimume,1
propraʒo,1
protekti,1
prot͡sezo,1
provizado,1
provizi,1
punkto,1
punkto,1
purigi,1
puʃo,1
radiko,1
radio,1
rakonto,1
rapidi,1
rapido,1
raso,1
reala,1
reen,1
regi,1
regiono,1
regulo,1
rekordo,1
respondi,1
respondo,1
resti,1
resto,1
rezulto,1
rideto,1
rigardi,1
rilate,1
rimo,1
rivero,1
robo,1
roko,1
rondo,1
rulo,1
salti,1
sama,1
sango,1
se,1
se,1
se,1
se,1
sed,1
sed͡ʒo,1
sed͡ʒo,1
segilo,1
segmento,1
seka,1
sekt͡sio,1
sekt͡sio,1
sekura,1
sekvi,1
semaino,1
senpaga,1
sento,1
sep,1
ses,1
sezono,1
sidid͡ʒi,1
signo,1
silabo,1
simbolo,1
simila,1
sistemo,1
skalo,1
skatolo,1
sklavo,1
skribi,1
sola,1
soldato,1
soldato,1
solvi,1
solvo,1
sond͡ʒi,1
soni,1
sonorilo,1
sovad͡ʒa,1
spat͡so,1
spat͡so,1
spektaklo,1
spekti,1
sperto,1
spet͡siala,1
starigi,1
stat͡sidomo,1
stelo,1
stranga,1
strato,1
streĉo,1
st͡sient͡so,1
subita,1
subjekto,1
substantivo,1
substant͡so,1
subteno,1
subtrahi,1
sufikso,1
sugesti,1
sukero,1
sukt͡seso,1
suno,1
super,1
supozi,1
supre,1
supreniri,1
supro,1
sur,1
surfat͡so,1
surhavi,1
surprizo,1
ʃablono,1
ʃant͡so,1
ʃard͡ʒi,1
ʃi,1
ʃia,1
ʃildo,1
ʃipo,1
ʃlosilo,1
ʃnuro,1
ʃpari,1
ʃtalo,1
ʃultro,1
ʃuo,1
tablo,1
tablo,1
tagmezo,1
tago,1
tajdo,1
tajdo,1
tauga,1
teamo,1
telfero,1
temperaturo,1
tempo,1
tendaro,1
teni,1
termino,1
tero,1
tero,1
testo,1
tiam,1
tiel,1
tiele,1
timo,1
tio,1
tipo,1
tiri,1
tono,1
traino,1
trankvila,1
trans,1
trans,1
trans,1
transiri,1
trant͡ʃo,1
tre,1
tri,1
triangulo,1
triono,1
trovi,1
truo,1
truo,1
t͡sendo,1
t͡sent,1
t͡sentro,1
t͡sifero,1
t͡solo,1
t͡ʃambro,1
t͡ʃapelo,1
t͡ʃasi,1
t͡ʃe,1
t͡ʃefa,1
t͡ʃefe,1
t͡ʃefurbo,1
t͡ʃelo,1
t͡ʃesi,1
t͡ʃevalo,1
t͡ʃiam,1
t͡ʃielo,1
t͡ʃiu,1
t͡ʃiu,1
t͡ʃu,1
t͡ʃu,1
tubo,1
tuʃi,1
tute,1
unu,1
unuo,1
urbo,1
urbo,1
urso,1
uzo,1
valo,1
valoro,1
vaporo,1
varma,1
varmega,1
varmega,1
varmo,1
velo,1
velo,1
velo,1
vendeio,1
vendi,1
venki,1
venko,1
vento,1
ventumilo,1
vera,1
verbo,1
vespero,1
vetero,1
vi,1
via,1
viando,1
vidi,1
vido,1
vido,1
vilad͡ʒo,1
vintro,1
virino,1
viro,1
vitro,1
vivi,1
