form,freq
i,1
sy,1
ou,1
paʁa,1
vue,1
sɔ̃
kɔ̃
vue,1
palabʁa,1
ɛ,1
main,1
vue,1
priori,1
i,1
tant,1
vue,1
no,1
ou,1
sy,1
peu,1
tant,1
ɛʁ,1
de,1
kaza,1
gʁɑ̃d,1
gʁɑ̃d,1
alto,1
kaza,1
animal,1
tamponneuse,1
paʁt,1
ʃo,1
mə,1
nɔ̃bʁ,1
fɔʁma,1
koza,1
sy,1
sy,1
vɛʁ,1
do,1
vəniʁ,1
sɔnaʁ,1
man's,1
mi,1
sɔbʁ,1
ou,1
ou,1
plɑ̃ta,1
sɔl,1
ɑ̃tʁ,1
sjeʁa,1
taʁd,1
man's,1
vida,1
vɛʁ,1
kɔlɔʁ,1
pʁɛ̃sipal,1
kaʁta,1
kɔʃ,1
pi,1
lista,1
sɑ̃tiʁ,1
spiritual,1
zona,1
un,1
sypɛʁfisi,1
pi,1
mil,1
fɔʁma,1
seɲɔʁita,1
distɑ̃t,1
ɑ̃tʁ,1
bene,1
figyʁa,1
ʁɛsto,1
o,1
libʁ,1
mɑ̃t,1
kɔla,1
doble,1
vɔkal,1
kɔ̃tʁa,1
non,1
sɛʁviʁ,1
pʁɔbabl,1
kama,1
tête,1
ɔla,1
kaʁəʁa,1
kaptyʁa,1
mɔ̃t,1
bɔʁd,1
vizita,1
sɥav,1
bʁijɑ̃t,1
me,1
fila,1
dama,1
patjo,
portant,1
bɑ̃ko,1
ʁɛkta,1
plana,1
peu,1
bit,1
kɔpja,1
mɑ̃tiʁa,1
sɥav,1
kaʁn,1
pʁiza,1
mina,1
ɛ̃pɔʁtɑ̃t,1
pista,1
ɔʁiʒinal,1
pɑ̃
baʁa,1
gʁasja,1
ʁama,1
bɑ̃da,1
tɔtal,1
ni,1
blɔk,1
tabla,1
sɔ̃bʁeʁo,1
portant,1
gʁi,1
plyʁal,1
kɔ̃tinɑ̃t,1
