form,freq
syʁʃofasje,1
pʁeɔkypas,1
kɑ̃sjɛ̃,1
dəmœʁa,1
fɔtɔkɔpjøz,1
detjɛ̃,1
pʁɔfɛsɔ̃,1
mekanizəʁa,1
ɔptyʁa,1
ediktəʁɛ,1
paʁkɛtəʁje,1
bizotjɔ̃,1
bʁɑ̃ʃəʁɛ,1
ʁetʁesis,1
sufʁit,1
klasifi,1
detaksje,1
siɲəʁa,1
tymefje,1
dɛ̃ge,1
ɑ̃kastʁas,1
kɔʁdəlɛt,1
ɛgzɔʁte,1
venezɥeljɛ̃,1
suzevalyʁe,1
ɛ̃tʁɔnizəʁɔ̃,1
afʁikanizɛ,1
psalmɔdije,1
libeʁal,1
kudwajɛʁ,1
kadastʁəʁa,1
ʁəʒwɛɲɛ,1
fagɔtəʁje,1
pʁɔlifɛʁəʁjɔ̃,1
ɑ̃ʒɔlivœʁ,1
ʁisɔle,1
ɔlivɛt,1
etatizat,1
ɛ̃flyɑ̃səʁɛ,1
ynifɔʁmizəʁjɔ̃,1
ʁəpʁezɑ̃tje,1
tipe,1
ləvas,1
kɔkyfjəʁa,1
ʁadjɔbalizəʁa,1
bjɛzəʁjɔ̃,1
pʁatikəʁɛ,1
selas,1
abʁytisɑ̃,1
dəvɛ̃s,1
ɛʁbaʒɛʁ,1
pʁevi,1
demɛʁdas,1
ɛ̃plɑ̃tje,1
inogyʁe,1
ʼaʁo,1
mɔʁaliza,1
apɛzəʁa,1
ʁətape,1
ʁymatismo,1
ʁɑ̃tabilizəʁɛ,1
ɛ̃dikatʁis,1
ʁeapaʁɛtʁ,1
sɔldəʁa,1
defuʁn,1
tʁɑ̃sfyzəʁɛ,1
stigmatizje,1
ʁəvise,1
disʒɔ̃ktəʁa,1
sitʁik,1
kʁapyløz,1
faksjɔ̃,1
ʁezɛʁvəʁa,1
ebule,1
bʁame,1
ɑ̃pɔʁtasje,1
sɛʁnəʁje,1
manigɑ̃sas,1
fʁagmɑ̃te,1
aneɑ̃tisje,1
yninɔminal,1
nivəlɑs,1
suʒasɑ̃t,1
bunkœʁ,1
bʁijɔ̃,1
ɛ̃teʁesa,1
kalkɛʁ,1
paʁɛsɛ,1
pwaləʁa,1
ʁwe,1
syplɑ̃t,1
dekʁivi,1
kalkɛʁ,1
mɥɛ,1
fʁiksjɔnəʁɛ,1
kɔ̃tʁɛɲis,1
maʁʃɑ̃da,1
ʁəkɛ̃ke,1
miʁɛʁ,1
vuvwaʁɛ,1
enymeʁe,1
apʁɔʃəʁɛ,1
balɛjaʒ,1
lɔʁɲɛ,1
faʁtɔ̃,1
ɛkspʁɔpʁijɛ,1
ʒɛst,1
ɑ̃baz,1
distɑ̃dy,1
astikɔta,1
pʁivatiza,1
peʁenize,1
atʁɔfjɛ,1
kɥistʁəʁi,1
inɔvas,1
pʁɔnɔminal,1
kɔ̃paʁatif,1
ʒwɛ̃twajɑt,1
tjɛʁ,1
pikɔʁas,1
gaʁgaʁizat,1
savuʁe,1
ʁəfyzjɔ̃,1
maɲetɔskɔpəʁɔ̃,1
ʁavizəʁje,1
ljasjɔ̃,1
ʁədisjɔ̃,1
ʁəmɛʁsje,1
sekylaʁizəʁɛ,1
ʒɑ̃bje,1
diskʁedite,1
simɑ̃te,1
syʁklasas,1
eplyʃas,1
ʒɔvjalmɑ̃,1
sɛɲəʁe,1
daktilɔgʁafjas,1
ʁəbatisjɔ̃,1
ʁətɑ̃tise,1
kɔ̃tʁəfɛ,1
desezi,1
minimizas,1
inɛksplwatabl,1
mɔlis,1
myʁmyʁe,1
debʁidəʁɛ,1
dekɑ̃pjɔ̃,1
fygam,1
kɔmɛʁsjalizəʁɛ,1
ʁaʒystas,1
ʁekʁivi,1
ʁəvy,1
paʁɛn,1
bazaʁdəʁje,1
bəzɔɲəʁɛ,1
