form,freq
antvɔʁt,1
antvɔʁtn,1
aɔfʃtiːk,1
aɔftsuːk,1
aɔɡŋblɪk,1
aɔsɐ,1
aɔsdʁʊk,1
aphɛŋen,1
apʃnɪt,1
apvaɛçn,1
aʁbaɛt,1
eːɐ,1
ɐfɔʁdɐlɪç,1
ɐfɔʁdɐn,1
ɐlaɔbm,1
ɐʁaɛçn,1
ɐʃaɛnən,1
aːbɐ,1
aːbmt,1
aɛle,1
aɛnfax,1
aɛnɡeːbm,1
aɛnhaɛt,1
aɛnɪɡe,1
aɛnmaːl,1
aɛnʁaɛbm,1
aɛntsl,1
aɛnzaːm,1
aɛzn,1
aktsie,1
ale,1
alɡemaɛn,1
altɐ,1
andəʁe,1
anɡeboːt,1
ankɔmen,1
anlaːɡe,1
anʁuːf,1
anʃpʁʊx,1
antsaːl,1
antsuːk,1
aɔftʁeːtn,1
aɔɡe,1
aɔtoː,1
apbɪldʊŋ,1
apzats,1
axtʊŋ,1
eːɐde,1
eːɐste,1
eːbəne,1
ɛke,1
ɛltɐntaɛl,1
ɛnde,1
ɛntveːdɐ,1
ɛʁnte,1
ɛsn,1
ɪmɐ,1
ɪnzl,1
oːbɐflɛçe,1
oːbm,1
oːtseaːn,1
ɔʁɡl,1
uːɐzaxe,1
uːfɐ,1
ʊmtsuːk,1
ʊntɐ,1
ʊntn,1
aːʁt,1
aːʁtst,1
aɛ,1
aɛn,1
aɛs,1
akɔʁt,1
akt,1
als,1
alt,1
am,1
aŋst,1
aɔf,1
aɔs,1
aɔx,1
aʁaŋʒiːʁen,1
aʁɑ̃ʒiːʁen,1
aʁm,1
aʁtst,1
atoːm,1
axt,1
ɐfaːʁʊŋ,1
ɐfɪndn,1
ɐfɔlk,1
ɐɡeːpnɪs,1
ɐhaltn,1
ɐhøːen,1
ɐlaɛçtɐn,1
ɐʁaːtn,1
baːzɪs,1
baɔen,1
biːtn,1
boːdn,1
baɛ,1
baɛn,1
baŋk,1
bedɔœtn,1
bəɡʏnstɪɡen,1
beʁaɛç,1
bəʃtɛln,1
beveːɡʊŋ,1
bəzɪtsn,1
bezɔndeʁe,1
bɛnt,1
bɛʁk,1
bɛt,1
bɪlt,1
bɪs,1
bɪt,1
blaɔ,1
blat,1
blɔk,1
bʁɪŋen,1
bʁaɛt,1
bʁaɔn,1
buːx,1
daːme,1
daŋkŋ,1
daɔɐ,1
dɛŋkŋ,1
diːnen,1
diːze,1
dɔlaːʁ,1
daː,1
deːɐ,1
diː,1
diːs,1
dɪk,1
dɔʁf,1
dʁʏkŋ,1
dʁaːt,1
dʁaɛ,1
dʊʁç,1
faʁbe,1
fɪʁmaː,1
