form,freq
sɛːm,1
jɛːɣ,1
aːð,1
han,1
vaːr,1
fɪːrɪr,1
auː,1
eːrʏ,1
mɛːð,1
θeiːr,1
vɛːra,1
auː,1
eitn̥
haːva,1
θɛhta,1
frauː,1
mɛːð,1
heiht,1
ɔrð,1
ɛn,1
kʰvaːð,1
sʏːmɪr,1
ɛːr,1
θaːð,1
θuː,1
ɛːða,1
havðɪ,1
sɛːm,1
aːv,1
aːð,1
iː,1
vɪːð,1
cɛːtʏr,1
uːt,1
anað,1
vɔːrʏ,1
sɛːm,1
cɛːra,1
θeira,1
tʰiːmɪ,1
ɛːv,1
mʏːn,1
kʰvɛtnɪɣ,1
saɣðɪ,1
sɛːm,1
kʰvɛːr,1
seiːja,1
cɛːrɪr,1
sɛht,1
θriːr,1
vɪlja,1
lɔft,1
vɛːl,1
eitnɪɣ,1
spɪːla,1
liːtɪl,1
sɛːtja,1
heiːm,1
lɛːsa,1
hœnt,1
hœpn̥
stouːr,1
staːva,1
paiːta,1
japvɛl,1
lantɪð,1
çɛːr,1
vɛrðʏr,1
stouːr,1
hauːr,1
svɔː,1
fɪlca,1
aːtœpn̥
spɪrja,1
mɛn,1
preiːtiŋk,1
fouːr,1
ljouːs,1
kouːðʏr,1
pʏr̥t,1
θarv,1
huːs,1
mɪnt,1
reiːna,1
aftʏr,1
tiːr,1
lɪːð,1
mouːðɪr,1
vɛːrœlt,1
nauːlaixt,1
pɪca,1
sjaulv,1
jœrð,1
faːðɪr,1
atlɪr,1
niː,1
vɪna,1
l̥ʏːtɪ,1
tʰaːka,1
fauː,1
staːðʏr,1
cɛr̥t,1
lɪːva,1
θaːr,1
ɛftɪr,1
aftʏr,1
liːtɪð,1
aːðeins,1
ʏmfɛrð,1
maːðʏr,1
auːrɪ,1
kʰɔːm,1
siːna,1
kʰvɛr̥t,1
kɔht,1
mjɛːr,1
cɛːva,1
ɔhkar,1
ʏntɪr,1
napn,1
mjœːɣ,1
cɛknʏm,1
paːra,1
mɪnt,1
sɛhtniŋk,1
mɪːkɪtl,1
hʏksa,1
seiːja,1
çaul̥pa,1
lauht,1
mɪːsmʏnantɪ,1
stnuːa,1
ɔr̥sœk,1
mɪːkɪð,1
meiːna,1
auːðʏr,1
rjɛhtʏr,1
treiŋkʏr,1
kaːmatl,1
ɔːv,1
saːma,1
huːn,1
al̥t,1
θaːð,1
θɛːɣar,1
ʏhp,1
nɔːtkʏn,1
θɪn,1
leiːð,1
ʏm,1
marcɪr,1
θauː,1
θauː,1
skrɪːva,1
mɪntɪ,1
eins,1
svɔː,1
θɛsɪr,1
hɛnɪ,1
lauŋkʏr,1
cɛːra,1
l̥ʏːtʏr,1
sjauː,1
han,1
tʰveiːr,1
hɛːvʏr,1
leiːta,1
meiːra,1
taːɣʏr,1
kaːt,1
faːra,1
kʰɔːma,1
cɛrðɪ,1
fjœltɪ,1
l̥jouːð,1
neiː,1
mɛst,1
fouːl̥k,1
mɪn,1
ɪːvɪr,1
vɪːta,1
vahtn̥
ɛn,1
kʰatla,1
fɪr̥st,1
sɛːm,1
cɛːtʏr,1
nɪːðʏr,1
l̥ɪːð,1
vɛːrɪð,1
nuː,1
fɪna,1
hœːvʏð,1
stanta,1
eijɪn,1
siːðʏ,1
aihtɪ,1
lant,1
fan,1
svaːr,1
skouːlɪ,1
vaksa,1
ransouhkn̥
ɛn,1
laiːra,1
pʰlan̥ta,1
kʰauːpa,1
maːtʏr,1
souːl,1
fjouːrɪr,1
mɪtlɪ,1
auːstant,1
halta,1
œiːɣa,1
altrei,1
siːðasta,1
lauːta,1
hʏksʏn,1
pɔrk,1
tʰrjɛː,1
ɪːvɪr,1
paiːrɪn,1
harðʏr,1
pɪrja,1
caiːtɪ,1
sauː,1
lauŋ̊t,1
sjouː,1
traːɣa,1
vɪnstrɪ,1
sein̥t,1
l̥œiːpa,1
ɛhcɪ,1
mɛːðan,1
stʏht,1
nauːlaixt,1
nouht,1
alvœrʏ,1
liːvɪð,1
fauːɪr,1
nɔrðʏr,1
pouːk,1
pɛːra,1
tʰouːk,1
viːsɪntɪ,1
pɔrða,1
hɛrpɛcɪ,1
vɪːnʏr,1
pɪrjaðɪ,1
hʏɣmɪnt,1
fɪskʏr,1
fjatlɪð,1
haihta,1
stœːð,1
heiːra,1
hɛstʏr,1
scɛːra,1
vɪs,1
hɔrva,1
lɪːt,1
antlɪt,1
tʰrjɛː,1
hɛlstʏ,1
ɔːpɪn,1
vɪrðast,1
saːman,1
naista,1
kʰviht,1
pœtn̥
pɪrja,1
fjɛhk,1
kauŋka,1
taiːmɪ,1
vɛliðan,1
pʰahpir,1
houːpʏr,1
al̥tav,1
tʰounlɪst,1
θauː,1
paiːðɪ,1
mɛr̥ca,1
ɔft,1
prjɛːv,1
θaːr,1
auːɪn,1
pitl̥
faiːtʏr,1
ʏmœnʏn,1
anað,1
nouː,1
lauːtlœis,1
stul̥ka,1
vɛnjʏlɛɣa,1
uŋk,1
tʰɪlpuɪn,1
ɔːvan,1
al̥tav,1
rœiːðʏr,1
lɪstɪ,1
θouː,1
fɪnst,1
tʰaːla,1
fʏkl,1
fljoutlɛɣa,1
liːkamɪ,1
hʏntʏr,1
fjœlscɪlta,1
peiːn,1
sɪːtja,1
faːra,1
laːɣ,1
maiːla,1
tɪːr,1
vaːra,1
svar̥t,1
stʏht,1
flɔhkɪ,1
vɪntʏr,1
spʏrtniŋk,1
cɛːrast,1
heitl̥
scɪːpɪð,1
svaiːðɪ,1
hɛlmiŋkʏr,1
rɔhk,1
rœːð,1
ɛltʏr,1
sʏːðʏr,1
vantamauːl,1
stɪhkɪ,1
saɣðɪ,1
vɪsɪ,1
faːra,1
siːðan,1
ɛfst,1
heilt,1
kʰɔːnuŋkʏr,1
kœːtʏ,1
tʰɔma,1
markfalta,1
ɛhcer̥t,1
naumsceið,1
halta,1
çouːl,1
fʏtlʏr,1
apl̥
plauːr,1
l̥ʏːt,1
auːkʰvɛða,1
ɪːvɪrpɔrð,1
tjuft,1
tʰuŋlɪð,1
fouːtʏr,1
cʰɛrvɪ,1
ʏhptɛcɪn,1
pʰrouːv,1
mɛːt,1
pauːtʏr,1
alceiŋkar,1
kʏtl̥
mœːɣʏlɛxt,1
flʏɣvjɛl,1
θʏr,1
fʏrða,1
l̥aija,1
θuːsʏnt,1
siːðan,1
l̥jouːp,1
aːtʏɣa,1
leiːkʏr,1
lœːɣʏn,1
japcɪlta,1
heiht,1
sahkna,1
fair̥t,1
hɪːta,1
stnjouːr,1
tɛhk,1
kʰɔːma,1
jauː,1
fjarlaiɣ,1
fɪtla,1
œistʏr,1
mauːla,1
tʰuŋkʏmauːl,1
mɛːðal,1
eiːniŋk,1
paiː,1
fitn̥
vist,1
fljuːa,1
fatla,1
leiːða,1
krauːta,1
tœhk,1
vjɛːl,1
piːða,1
auːaihtlʏn,1
mɪnt,1
stjœrtnʏ,1
kʰasɪ,1
napnɔrð,1
svɪːðɪ,1
kʰvilt,1
rjɛht,1
faiːr,1
pʰʏnt,1
cɛr̥t,1
fɛːɣʏrð,1
trɪːv,1
stouːð,1
