form,freq
ano,1
a,1
ta,1
aːɾɯ,1
aɾeɾa,1
atːo,1
çitotsɯ,1
kaɾa,1
bai,1
hotːo,1
ketoba,1
nani,1
desɯ,1
soɾe,1
iɴkɯɾɯːdo,1
no,1
he,1
ha,1
de,1
ɰᵝaɾeɰᵝaɾe,1
kama,1
aɯto,1
sonota,1
datːa,1
koɾe,1
dʑikaɴ,1
moɕi,1
iɕi,1
hoɯhoɯ,1
zeɴki,1
no,1
iɯ,1
ɕi,1
setːo,1
ka,1
hoɕii,1
kɯɯki,1
asɯbɯ,1
tɕiisai,1
oɰᵝaɾi,1
okɯ,1
hoːmɯ,1
jomɯ,1
te,1
poːto,1
ookii,1
sɯpeɾɯ,1
kɯɰᵝaeɾɯ,1
totɕi,1
ookii,1
takai,1
tsɯzɯkɯ,1
koɯi,1
tanomɯ,1
niɴniɴ,1
heɴkoɯ,1
çikaɾi,1
ɕɯɾɯi,1
oɸɯ,1
çitsɯjoɯ,1
ie,1
e,1
tamesɯ,1
ɰᵝatakɯɕitatɕi,1
ɸɯtatabi,1
doɯbɯtsɯ,1
poiɴto,1
amo,1
sekai,1
tɕikakɯ,1
biɾɯdo,1
dʑiko,1
tɕikjɯɯ,1
ate,1
ataɾaɕii,1
ɕigoto,1
paːto,1
toɾɯ,1
getːo,1
baɕo,1
sei,1
kɯɾasɯ,1
notɕini,1
bakːɯ,1
sɯkoɕi,1
ɾaɯɴdo,1
o,1
toɕi,1
ɕoː,1
joi,1
ataeɾɯ,1
ka,1
namae,1
çidʑoɯni,1
sɯɾɯː,1
ɸoːmɯ,1
aja,1
sɯbaɾaɕii,1
omoɯ,1
iɯ,1
tasɯke,1
çikɯi,1
ɾaiɴ,1
kotonaɾɯ,1
taːɴ,1
geɴiɴ,1
zɯtːo,1
maeni,1
idoɯ,1
keɴɾi,1
otokonoko,1
ɸɯɾɯi,1
onadʑi,1
kanodʑo,1
dʑi,1
apːɯ,1
ɕijoɯ,1
tɕi,1
jakɯ,1
sonoato,1
kakɯ,1
deɕoɯ,1
soɯ,1
nagai,1
tsɯkɯɾɯ,1
mono,1
miɾɯ,1
ɸɯtatsɯ,1
mamieɾɯ,1
ka,1
kanoɯsei,1
ikɯ,1
kitaɾɯ,1
jatːa,1
baɴgoɯ,1
kikoeɾɯ,1
motːomo,1
niɴniɴ,1
oːbaː,1
sɯi,1
koːɾɯ,1
ta,1
daɯɴ,1
saido,1
ima,1
mitsɯkeɾɯ,1
hedːo,1
sɯtaɴdo,1
kɯni,1
hakːeɴ,1
iɾae,1
gakːoɯ,1
keɴkjɯɯ,1
manabɯ,1
ɕokɯbɯtsɯ,1
kabaː,1
ɕokɯçiɴ,1
taijoɯ,1
aidani,1
dʑoɯtai,1
kiːpɯ,1
me,1
kaɴgae,1
gai,1
tsɯɾiː,1
kɯɾosɯ,1
noɯdʑoɯ,1
haːdo,1
sɯtaːto,1
monogataɾi,1
tookɯ,1
ɯmi,1
egakɯ,1
sa,1
osokɯ,1
ɾaɴ,1
nai,1
pɯɾesɯ,1
kɯɾoːzɯ,1
jo,1
ɾiaɾɯ,1
seikatsɯ,1
ɕoɯsɯɯ,1
kita,1
bɯkːɯ,1
hakobɯ,1
kagakɯ,1
tabeɾɯ,1
heja,1
jɯɯdʑiɴ,1
aidea,1
ɯo,1
saɴ,1
tɕoɯdʑi,1
itɕido,1
beːsɯ,1
kikɯ,1
ima,1
katːo,1
taɕika,1
miɾɯ,1
kaɾaː,1
kao,1
mokɯzai,1
