form,freq
ˈçjoːɡwa̠,1
ˈjɘːbu,1
ˈsʰa̠ːɾa̠m,1
ˈsʰa̠ːɾa̠m,1
ˈsʰa̠ːɾa̠m,1
ˈɯːŋda̠p̚,1
a̠bʌ̹d͡ʑi,1
a̠dɯɭ,1
a̠d͡ʑik̚,1
a̠d͡ʑu,1
a̠ɡa̠,1
a̠ɡa̠ɕ͈i,1
a̠i,1
a̠idiʌ̹,1
a̠k̚k͈i,1
a̠nɛ̝,1
a̠p̚,1
a̠p͈a̠,1
a̠ɾɯ,1
a̠ɾɯmda̠um,1
a̠t͡ɕʰim,1
a̠ut̚,1
çim,1
çim,1
çinsʰɛ̝k̚,1
çitʰɯ,1
çjʌ̹ŋd͡ʑe̞,1
ɕʰi,1
ɕʰid͡ʑa̠k̚,1
ɕʰid͡ʑa̠k̚,1
ɕʰid͡ʑa̠k̚,1
ɕʰid͡ʑa̠ŋ,1
ɕʰid͡ʑɯn,1
ɕʰiɡje̞,,1
ɕʰiɦʌ̹m,1
ɕʰiks͈a̠,1
ɕʰiɭd͡ʑe̞,1
ɕʰinba̠ɭ,1
ɕʰiŋmind͡ʑi,1
ɕʰiɾɦɛ̝ŋ,1
ɕʰiɾɦɛ̝ŋ,1
ɕʰiɾɦʌ̹m,1
ɕʰiɾjʌ̹k̚,1
ɕʰisʰɯtʰe̞m,1
ɕʰjo,1
ɕ͈ia̠t̚,1
e̞,1
e̞,1
e̞,1
e̞,1
e̞,1
e̞nd͡ʑin,1
e̞nʌ̹d͡ʑi,1
ɛ̝k̚t͡ɕʰe̞,1
ha̠d͡ʑa̠,1
ha̠d͡ʑi,1
ha̠d͡ʑi,1
ha̠d͡ʑima̠n,1
ha̠ɡo̞,1
ha̠k̚k͈jo,1
ha̠ks͈ɛ̝ŋ,1
ha̠ks͈ɯp̚,1
ha̠mk͈e̞,1
ha̠n,1
ha̠nd͡ʑa̠n,1
ha̠nɯɭ,1
ha̠ŋɦɛ̝,1
ha̠ŋsʰa̠ŋ,1
ha̠ɾa̠k̚,1
hɛ̝a̠n,1
hɛ̝a̠n,1
hɛ̝ɡjʌ̹ɭ,1
hɛ̝ŋ,1
hɛ̝ŋbo̞k̚,1
hɛ̝ŋsʰʌ̹ŋ,1
hɛ̝ŋɥi,,1
hø̞d͡ʑʌ̹n,,1
hø̞sʰa̠,,1
hø̞sʰɛ̝k̚,,1
i,1
i,1
i,1
i,1
i,1
ibe̞ntʰɯ,1
ida̠,1
ido̞ŋ,1
id͡ʑʌ̹n,1
iɦa̠,1
ija̠ɡi,1
ija̠ɡi,1
ija̠ɡi,1
ija̠ɡi,1
ija̠ɡi,1
ija̠ɡi,1
iju,1
iju,1
iɭ,1
iɭ,1
iɭ,1
iɭ,1
iɭ,1
iɭ,1
iɭba̠n,1
iɭba̠n,1
iɭbu,1
iɭɡo̞p̚,1
imɲjʌ̹k̚,1
imɲjʌ̹k̚,1
inɡa̠n,1
insʰa̠ŋ,1
insʰɯtʰʌ̹ntʰɯ,1
insʰwɛ̝,1
int͡ɕʰi,1
ip̚,1
iɾɯm,1
isʰa̠ŋ,1
isʰa̠ŋ,1
it̚t͈a̠,1
iut̚,1
iβu,1
ja̠dɯ,1
ja̠ɭbɯn,1
ja̠ŋɕʰik̚,1
ja̠sʰɛ̝ŋ,1
je̞,1
je̞,1
je̞ɡo̞,1
je̞sʰuɭ,1
joŋʌ̹,1
joɾi,1
josʰo̞,1
jud͡ʑi,1
jud͡ʑi,1
jud͡ʑi,1
juʝjʌ̹ŋ,1
juk̚,1
juɾi,1
jʌ̹d͡ʑʌ̹nʝi,1
jʌ̹ɡi,1
jʌ̹ɦɛ̝ŋ,1
jʌ̹ɦɛ̝ŋ,1
jʌ̹k̚,1
jʌ̹ks͈a̠,1
jʌ̹ɭ,1
jʌ̹ɭ,1
jʌ̹ɭ,1
jʌ̹ɭʎjʌ̹ŋ,1
jʌ̹nɡjʌ̹ɭ,1
jʌ̹nɡu,1
jʌ̹nsʰɯp̚,1
jʌ̹ɾɯm,1
jʌ̹ɾʌ̹,1
jʌ̹sʰʌ̹ŋ,1
jʌ̹sʰʌ̹ŋ,1
ka̠d͡ʑa̠ŋ,1
ka̠d͡ʑa̠ŋ,1
k͈a̠d͡ʑi,1
k͈a̠d͡ʑi,1
ka̠d͡ʑo̞k̚,1
ka̠idɯ,1
ka̠ip̚,1
ka̠k̚,1
