form,freq
kama,1
mimi,1
jake,1
kwaᵐɓa,1
jeje,1
maɾa,1
kwa,1
wako,1
kwa,1
wao,1
kuwa,1
katika,1
moʄa,1
na,1
hii,1
kutoka,1
na,1
moto,1
neno,1
lakini,1
nini,1
ɓaaɗhi,1
ni,1
jake,1
niɲi,1
au,1
alikuwa,1
akaonekana,1
ja,1
kwa,1
na,1
a,1
katika,1
sisi,1
unaweza,1
ⁿɗʒe,1
ɲiᵑgine,1
walikuwa,1
aᵐɓajo,1
kufaɲa,1
jao,1
wakati,1
kama,1
mapeⁿzi,1
ʄinsi,1
alisema,1
kila,1
kuwaaᵐɓia,1
ɠani,1
kuweka,1
tatu,1
wanataka,1
hewa,1
vizuɾi,1
pia,1
kutʃeza,1
ⁿɗoɠo,1
mwiʃo,1
kuweka,1
ɲuᵐɓani,1
kusoma,1
mkono,1
ɓaⁿɗaɾi,1
kuɓwa,1
kuoᵑgeza,1
hata,1
aɾɗhi,1
hapa,1
lazima,1
kuɓwa,1
kama,1
kufuata,1
teⁿɗo,1
kuuliza,1
wanaume,1
akaeⁿɗa,1
mwaᵑga,1
aina,1
ᵐɓali,1
haʄa,1
ɲuᵐɓa,1
pitʃa,1
kuʄaɾiɓu,1
sisi,1
tena,1
mɲama,1
uhakika,1
ɗunia,1
kaɾiɓu,1
kuʄeᵑga,1
ɓinafsi,1
ɗunia,1
ɓaɓa,1
jojote,1
mpja,1
kazi,1
sehemu,1
kutʃukua,1
kupata,1
mahali,1
alifaɲa,1
kuiʃi,1
aᵐɓapo,1
ɲuma,1
kiɗoɠo,1
tu,1
mtu,1
mwaka,1
alikuʄa,1
kila,1
ⁿzuɾi,1
mimi,1
kutoa,1
wetu,1
ʄina,1
sana,1
kupitia,1
tu,1
aina,1
hukumu,1
kuɓwa,1
kufikiɾi,1
kusema,1
msaaɗa,1
tʃini,1
tofauti,1
upaⁿɗe,1
saɓaɓu,1
kiasi,1
maana,1
hoʄa,1
haki,1
ᵐvulana,1
pia,1
sawa,1
jeje,1
kila,1
huko,1
wakati,1
kutumia,1
jako,1
ⁿɗʒia,1
kuhusu,1
weᵑgi,1
kiʃa,1
jao,1
kuaⁿɗika,1
iᵑgekuwa,1
kama,1
hivjo,1
haja,1
jake,1
kufaɲa,1
kitu,1
kuona,1
naje,1
ᵐɓili,1
ina,1
kuaᵑgalia,1
zaiɗi,1
siku,1
inaweza,1
kweⁿɗa,1
kuʄa,1
alifaɲa,1
simu,1
sauti,1
hakuna,1
zaiɗi,1
watu,1
jaᵑgu,1
kuʄua,1
maʄi,1
kuliko,1
simu,1
kwaⁿza,1
aᵐɓao,1
inaweza,1
tʃini,1
upaⁿɗe,1
imekuwa,1
sasa,1
kupata,1
kitʃwa,1
kusimama,1
mweɲewe,1
ukuɾasa,1
lazima,1
ntʃi,1
kupatikana,1
ʄiɓu,1
ʃule,1
kukua,1
utafiti,1
ɓaɗo,1
kuʄifuⁿza,1
kupaⁿɗa,1
tʃakula,1
ʄua,1
nne,1
hali,1
kuweka,1
ʄitʃo,1
kamwe,1
mwiʃo,1
ɓasi,1
wazo,1
mʄi,1
msalaɓa,1
ʃaᵐɓa,1
ᵑgumu,1
kuaⁿza,1
ᵑguvu,1
haɗiθi,1
ᵐɓali,1
ɓahaɾi,1
kuteka,1
kuʃoto,1
maɾehemu,1
kukiᵐɓia,1
wakati,1
kaɾiɓu,1
usiku,1
halisi,1
maiʃa,1
tʃatʃe,1
kaskazini,1
kitaɓu,1
kuɓeɓa,1
alitʃukua,1
sajansi,1
kula,1
tʃuᵐɓa,1
ɾafiki,1
aliaⁿza,1
wazo,1
samaki,1
mlima,1
kuatʃa,1
msiᵑgi,1
kusikia,1
faɾasi,1
kata,1
uhakika,1
kuaᵑgalia,1
ɾaᵑgi,1
uso,1
ᵐɓao,1
kuu,1
wazi,1
pamoʄa,1
iʄajo,1
ɲeupe,1
watoto,1
kuaⁿza,1
