form,freq
一,1
人,1
里,1
会,1
没,1
她,1
吗,1
去,1
也,1
有,1
这,1
那,1
不,1
什,1
个,1
来,1
要,1
就,1
我,1
你,1
的,1
是,1
了,1
他,1
么,1
们,1
在,1
说,1
为,1
好,1
吧,1
知道,1
我的,1
和,1
你的,1
想,1
只,1
很,1
都,1
对,1
把,1
啊,1
怎,1
得,1
还,1
过,1
不是,1
到,1
样,1
飞,1
远,1
身,1
任何,1
生活,1
够,1
号,1
兰,1
瑞,1
达,1
或,1
愿,1
蒂,1
別,1
军,1
正,1
是不是,1
证,1
不用,1
三,1
乐,1
吉,1
男人,1
告訴,1
路,1
搞,1
可是,1
与,1
次,1
狗,1
决,1
金,1
史,1
姆,1
部,1
正在,1
活,1
刚,1
回家,1
贝,1
如何,1
须,1
战,1
不會,1
夫,1
喂,1
父,1
亚,1
肯定,1
女孩,1
世界,1
不要,1
些,1
不知道,1
不能,1
因,1
觉,1
发,1
像,1
太,1
但是,1
多,1
打,1
机,1
來,1
好了,1
用,1
他的,1
诉,1
德,1
叫,1
什麼,1
真,1
干,1
心,1
走,1
比,1
死,1
嘿,1
出,1
车,1
一下,1
中,1
好吧,1
需要,1
经,1
妈,1
候,1
长,1
而,1
错,1
好的,1
间,1
又,1
国,1
起,1
动,1
杀,1
于,1
种,1
去了,1
担,1
名,1
混蛋,1
礼,1
幹,1
不了,1
有些,1
過,1
後,1
击,1
漂亮,1
神,1
多少,1
海,1
每,1
哥,1
教,1
走吧,1
好像,1
单,1
公,1
林,1
女,1
忙,1
火,1
钟,1
家伙,1
科,1
回去,1
最后,1
水,1
不管,1
麦,1
泻,1
鬼,1
還,1
船,1
永,1
安全,1
那個,1
爾,1
這麼,1
满,1
风,1
皮,1
威,1
据,1
鲁,1
转,1
相,1
地方,1
沒有,1
有人,1
嗨,1
看看,1
自己,1
一定,1
事情,1
屑,1
希望,1
所,1
褉,1
感,1
气,1
不想,1
嘛,1
实,1
始,1
給,1
然后,1
個,1
相信,1
结,1
今天,1
几,1
题,1
放,1
讓,1
确,1
意思,1
成,1
所有,1
喜,1
對,1
之,1
一切,1
记,1
抱歉,1
一直,1
天,1
褌,1
钱,1
面,1
更,1
学,1
現在,1
边,1
你們,1
不起,1
脑,1
呃,1
论,1
曼,1
點,1
普,1
第一,1
通,1
棒,1
线,1
很高,1
买,1
求,1
束,1
哇,1
指,1
张,1
文,1
锌,1
重,1
菲,1
目,1
根本,1
联,1
丹,1
愛,1
不到,1
這些,1
自己的,1
笑,1
闭,1
基,1
唯一,1
要是,1
提,1
调,1
丽,1
女士,1
校,1
公司,1
况,1
烦,1
停,1
英,1
警,1
险,1
東西,1
不可能,1
坐,1
区,1
果,1
伙,1
哈,1
罗,1
难,1
两,1
一些,1
這樣,1
自,1
女人,1
向,1
最好,1
走了,1
褬,1
胁,1
明,1
理,1
加,1
枪,1
万,1
员,1
妳,1
玩,1
分,1
作,1
巴,1
而且,1
物,1
伤,1
官,1
道,1
出去,1
力,1
总,1
者,1
先,1
最,1
很多,1
医,1
一次,1
报,1
名字,1
将,1
迪,1
到了,1
解,1
新,1
队,1
识,1
死了,1
眼,1
媽的,1
第一次,1
離開,1
忘,1
我自己,1
谐,1
严,1
且,1
帶,1
赶,1
太棒,1
佛,1
直,1
認為,1
老婆,1
索,1
除了,1
承,1
泰,1
建,1
欧,1
然後,1
级,1
昨晚,1
石,1
有了,1
都有,1
磲,1
差,1
思,1
啥,1
過來,1
努力,1
丈夫,1
任何人,1
城市,1
死亡,1
全部,1
组,1
i,1
也許,1
最近,1
倒,1
领,1
顾,1
市,1
六,1
行了,1
滚,1
好嗎,1
师,1
高,1
莉,1
坏,1
电,1
警察,1
件,1
誰,1
兄弟,1
之前,1
谈,1
送,1
森,1
伊,1
以前,1
房,1
婚,1
喝,1
怎麼,1
今晚,1
兴,1
疯,1
因為,1
住,1
内,1
轻,1
约,1
声,1
或者,1
不行,1
到底,1
雷,1
维,1
条,1
明天,1
不好,1
已經,1
天啊,1
洛,1
护,1
塔,1
运,1
接,1
球,1
得到,1
穿,1
音,1
從,1
為,1
生,1
回,1
可,1
东,1
尔,1
欢,1
很好,1
他們,1
进,1
地,1
孩子,1
帮,1
离,1
找,1
尼,1
从,1
下,1
马,1
以,1
利,1
所以,1
关,1
哪,1
懈,1
行,1
家,1
拉,1
才,1
看到,1
說,1
手,1
法,1
噢,1
谁,1
头,1
无,1
嗯,1
工作,1
可能,1
薪,1
朋友,1
请,1
许,1
年,1
那些,1
一個,1
一起,1
然,1
吃,1
写,1
带,1
我喜,1
弗,1
尽,1
耶,1
喔,1
褍,1
掉,1
书,1
其他,1
派,1
士,1
器,1
松,1
数,1
光,1
其,1
想我,1
极,1
合,1
完全,1
做了,1
影,1
室,1
受,1
奇,1
试,1
装,1
晚上,1
恶,1
应,1
小姐,1
整,1
强,1
业,1
类,1
复,1
奥,1
梦,1
曾,1
嘴,1
认,1
如此,1
爸,1
照,1
杰,1
為什麼,1
入,1
睡,1
都不,1
服,1
节,1
顿,1
了解,1
根,1
蛋,1
紧,1
麻,1
很快,1
游,1
忘了,1
戴,1
莎,1
故事,1
视,1
真正,1
蟹,1
费,1
靠,1
全,1
反,1
字,1
度,1
甚至,1
局,1
莫,1
命,1
语,1
性,1
常,1
莱,1
之后,1
可不,1
母,1
留下,1
外,1
當,1
此,1
惊,1
伯,1
口,1
喜歡,1
the,1
在做,1
那麼,1
請,1
五,1
标,1
画,1
身上,1
以后,1
主,1
謝謝,1
應該,1
静,1
弹,1
改,1
酒,1
伦,1
裏,1
花,1
续,1
天哪,1
這裡,1
房子,1
何,1
由,1
药,1
同,1
早上,1
波,1
弄,1
务,1
原,1
失,1
考,1
岁,1
统,1
斜,1
拜托,1
跑,1
不在,1
害,1
麽,1
日,1
妮,1
凯,1
衣服,1
治,1
便,1
客,1
议,1
好好,1
們,1
覺得,1
谢谢,1
托,1
赛,1
任,1
色,1
独,1
眼睛,1
黑,1
华,1
放在,1
城,1
的時候,1
站,1
小孩,1
住在,1
咖啡,1
换,1
才是,1
褕,1
周,1
控制,1
言,1
敢,1
赢,1
半,1
白,1
释,1
能不能,1
生了,1
而已,1
图,1
該,1
怪,1
字幕,1
對不起,1
去看,1
像是,1
保持,1
替,1
拜,1
一件,1
錢,1
想知道,1
時,1
讲,1
新的,1
希,1
炸,1
择,1
知,1
說的,1
码,1
戏,1
塞,1
碰,1
放下,1
一樣,1
害怕,1
杰克,1
迎,1
绝,1
開始,1
生命,1
王,1
助,1
乔,1
义,1
回到,1
救,1
清楚,1
冷,1
原因,1
却,1
付,1
管,1
狂,1
早,1
一天,1
超,1
怀,1
使,1
断,1
演,1
外面,1
四,1
楼,1
另一,1
玩笑,1
好啊,1
裡,1
院,1
空,1
娜,1
將,1
下去,1
传,1
時間,1
感到,1
懂,1
血,1
失去,1
终,1
還是,1
价,1
包,1
等,1
变,1
准,1
查,1
阿,1
卡,1
這個,1
在哪,1
定,1
处,1
真是,1
保,1
想要,1
安,1
并,1
拿,1
情,1
爸爸,1
褋,1
您,1
美,1
非常,1
办,1
前,1
格,1
场,1
体,1
大家,1
呀,1
系,1
后,1
亲,1
明白,1
备,1
布,1
计,1
恩,1
找到,1
她的,1
老,1
艾,1
意,1
门,1
啦,1
米,1
本,1
问,1
上帝,1
必,1
沒,1
等等,1
不過,1
猜,1
福,1
打算,1
适,1
危,1
连,1
怕,1
化,1
不需要,1
争,1
则,1
狱,1
越,1
小子,1
有趣,1
喜歡,1
the,1
在做,1
那麼,1
請,1
五,1
标,1
画,1
身上,1
以后,1
至少,1
亞,1
脱,1
消息,1
不喜,1
块,1
快走,1
著,1
各位,1
算,1
問題,1
沒事,1
导,1
州,1
老兄,1
抓,1
代,1
蒙,1
抓住,1
山,1
拍,1
沙,1
妻子,1
脸,1
责,1
你自己,1
回來,1
歌,1
星,1
权,1
术,1
显,1
幸,1
交,1
不同,1
聪,1
随,1
登,1
班,1
二,1
录,1
武器,1
热,1
才能,1
當然,1
晚,1
晚安,1
成功,1
未,1
参,1
瓦,1
饭,1
殺,1
帕,1
待,1
是否,1
勒,1
射,1
表,1
卫,1
太太,1
接受,1
跳,1
象,1
灵,1
真不,1
破,1
夫人,1
操,1
诺,1
萨,1
卖,1
选,1
注意,1
历,1
脚,1
丝,1
少,1
工,1
密,1
鱼,1
验,1
不再,1
检,1
骗,1
必須,1
a,1
自由,1
杯,1
馆,1
完,1
追,1
际,1
产,1
想到,1
收,1
探,1
直到,1
酷,1
乱,1
资,1
毁,1
要求,1
急,1
玛,1
方,1
完成,1
照片,1
收到,1
所有人,1
博士,1
媽媽,1
you,1
父母,1
奇怪,1
男孩,1
攻,1
店,1
埃,1
多久,1
红,1
太多,1
咱,1
能,1
事,1
看,1
我們,1
上,1
给,1
可以,1
现,1
斯,1
做,1
儿,1
时,1
点,1
开,1
让,1
就是,1
但,1
呢,1
着,1
它,1
這,1
如果,1
跟,1
邪,1
听,1
克,1
再,1
快,1
嗎,1
被,1
是的,1
大,1
先生,1
别,1
告,1
真的,1
谢,1
哦,1
话,1
械,1
见,1
当,1
芯,1
该,1
西,1
子,1
已,1
會,1
小,1
爱,1
特,1
