form,freq
as,1
já,1
jeho,1
že,1
se,1
byl,1
pro,1
na,1
jsou,1
s,1
se,1
být,1
na,1
jeden,1
mají,1
tento,1
od,1
od,1
horké,1
slovo,1
ale,1
co,1
některé,1
je,1
to,1
jste,1
nebo,1
měl,1
výše,1
z,1
na,1
a,1
ostrov,1
v,1
my,1
moci,1
out,1
další,1
byly,1
které,1
dělat,1
jejich,1
čas,1
pokud,1
bude,1
jak,1
řekl,1

každý,1
říct,1
dělá,1
set,1
tři,1
chtít,1
vzduchu,1
dobře,1
také,1
hrát,1
malé,1
konec,1
dát,1
domácí,1
číst,1
ruka,1
přístav,1
velký,1
kouzlo,1
přidat,1
dokonce,1
země,1
zde,1
musí,1
velký,1
vysoký,1
jako,1
následovat,1
akt,1
proč,1
zeptat se,1
muži,1
změna,1
šel,1
světlo,1
druh,1
vypnutí,1
potřebují,1
dům,1
obrázek,1
zkuste,1
nám,1
znovu,1
zvíře,1
bod,1
matka,1
svět,1
poblíž,1
stavět,1
já,1
Země,1
otec,1
jakýkoli,1
nový,1
práce,1
část,1
se,1
dostat,1
místo,1
z,1
žít,1
kde,1
po,1
zpět,1
málo,1
pouze,1
kolo,1
muž,1
rok,1
přišel,1
výstava,1
každý,1
dobrý,1
mě,1
dát,1
naše,1
pod,1
název,1
velmi,1
přes,1
jen,1
forma,1
věta,1
velký,1
myslíte,1
říkají,1
pomoci,1
nízká,1
linka,1
lišit se,1
turn,1
příčina,1
hodně,1
znamenat,1
před,1
krok,1
právo,1
chlapec,1
starý,1
příliš,1
stejný,1
ona,1
všechny,1
zde,1
kdy,1
up,1
použití,1
vaše,1
cesta,1
o,1
mnoho,1
pak,1
je,1
napsat,1
by,1
jako,1
tak,1
tyto,1
ní,1
dlouhý,1
provést,1
věc,1
viz,1
ho,1
dva,1
má,1
hledat,1
více,1
den,1
mohl,1
jít,1
přijít,1
ano,1
číslo,1
zvuk,1
ne,1
nejvíce,1
lidé,1
my,1
přes,1
vědět,1
voda,1
než,1
volání,1
první,1
kdo,1
května,1
dolů,1
strana,1
byl,1
nyní,1
najít,1
hlava,1
stát,1
vlastní,1
strana,1
by,1
země,1
nalezeno,1
odpověď,1
škola,1
růst,1
studie,1
stále,1
učit se,1
rostlina,1
kryt,1
jídlo,1
