form,freq
als,1
Ik,1
zijn,1
dat,1
hij,1
was,1
voor,1
op,1
zijn,1
met,1
ze,1
zijn,1
bij,1
een,1
hebben,1
deze,1
van,1
door,1
heet,1
woord,1
maar,1
wat,1
sommige,1
is,1
het,1
u,1
of,1
had,1
de,1
van,1
aan,1
en,1
een,1
in,1
we,1
kan,1
uit,1
andere,1
waren,1
die,1
doen,1
hun,1
tijd,1
indien,1
zal,1
hoe,1
zei,1
een,1
elk,1
vertellen,1
doet,1
set,1
drie,1
willen,1
lucht,1
goed,1
ook,1
spelen,1
klein,1
end,1
zetten,1
thuis,1
lezen,1
64 	de hand,1
poort,1
grote,1
spell,1
toevoegen,1
zelfs,1
land,1
hier,1
moet,1
grote,1
hoog,1
dergelijke,1
volgen,1
act,1
waarom,1
vragen,1
mannen,1
verandering,1
ging,1
licht,1
soort,1
uitgeschakeld,1
86 	nodig hebben,1
huis,1
afbeelding,1
proberen,1
ons,1
weer,1
dier,1
punt,1
moeder,1
wereld,1
dichtbij,1
bouwen,1
zelf,1
aarde,1
vader,1
een,1
nieuwe,1
werk,1
deel,1
nemen,1
krijgen,1
plaats,1
gemaakt,1
wonen,1
waar,1
na,1
terug,1
weinig,1
alleen,1
ronde,1
man,1
jaar,1
kwam,1
Show,1
elke,1
goed,1
mij,1
geven,1
onze,1
onder,1
naam,1
zeer,1
door,1
gewoon,1
vorm,1
zin,1
grote,1
denken,1
zeggen,1
helpen,1
laag,1
lijn,1
verschillen,1
beurt,1
oorzaak,1
veel,1
betekenen,1
voor,1
verhuizing,1
rechts,1
jongen,1
oude,1
ook,1
hetzelfde,1
ze,1
alle,1
er,1
wanneer,1
omhoog,1
gebruiken,1
uw,1
manier,1
over,1
veel,1
dan,1
hen,1
schrijven,1
zou,1
zoals,1
dus,1
deze,1
haar,1
lang,1
maken,1
ding,1
zien,1
hem,1
twee,1
heeft,1
kijken,1
meer,1
dag,1
kon,1
gaan,1
komen,1
deed,1
aantal,1
klinken,1
geen,1
meest,1
mensen,1
mijn,1
188 	meer dan,1
weten,1
water,1
dan,1
roep,1
eerste,1
die,1
kan,1
196 	naar beneden,1
kant,1
geweest,1
nu,1
vinden,1
hoofd,1
staan,1
eigen,1
pagina,1
moeten,1
land,1
gevonden,1
antwoord,1
209 	de school,1
groeien,1
studie,1
nog,1
leren,1
planten,1
afdekking,1
voedsel,1
zon,1
vier,1
tussen,1
staat,1
houden,1
oog,1
nooit,1
laatste,1
laten,1
gedachte,1
stad,1
boom,1
oversteken,1
boerderij,1
hard,1
begin,1
zou,1
verhaal,1
zaag,1
ver,1
zee,1
tekenen,1
links,1
laat,1
lopen,1
242 	niet 	don’t,1
terwijl,1
pers,1
dicht,1
nacht,1
echt,1
leven,1
weinig,1
noorden,1
boek,1
dragen,1
nam,1
wetenschap,1
eet,1
kamer,1
vriend,1
begon,1
idee,1
vis,1
berg,1
stop,1
eenmaal,1
base,1
hear,1
paard,1
gesneden,1
zeker,1
kijken,1
kleur,1
gezicht,1
hout,1
belangrijkste,1
geopend,1
lijken,1
samen,1
volgende,1
wit,1
kinderen,1
beginnen,1
kreeg,1
lopen,1
voorbeeld,1
gemak,1
papier,1
groep,1
altijd,1
muziek,1
die,1
beide,1
mark,1
vaak,1
brief,1
tot,1
mijl,1
rivier,1
auto,1
voeten,1
zorg,1
tweede,1
genoeg,1
vlakte,1
meisje,1
gebruikelijke,1
jonge,1
klaar,1
boven,1
ooit,1
rood,1
lijst,1
hoewel,1
voelen,1
Overleg,1
vogel,1
spoedig,1
lichaam,1
hond,1
familie,1
rechtstreeks,1
pose,1
vertrekken,1
lied,1
meten,1
deur,1
artikel,1
zwart,1
korte,1
cijfer,1
klasse,1
wind,1
vraag,1
gebeuren,1
compleet,1
schip,1
gebied,1
helft,1
rots,1
orde,1
brand,1
zuiden,1
probleem,1
stuk,1
vertelde,1
wist,1
passeren,1
sinds,1
boven,1
geheel,1
king,1
straat,1
inch,1
vermenigvuldigen,1
niets,1
cursus,1
blijven,1
wiel,1
volledige,1
kracht,1
blauw,1
object,1
beslissen,1
oppervlak,1
diepe,1
maan,1
eiland,1
voet,1
systeem,1
drukke,1
toets,1
opnemen,1
boot,1
gemeenschappelijke,1
goud,1
mogelijk,1
vliegtuig,1
plaats,1
droge,1
afvragen,1
lachen,1
duizend,1
geleden,1
ran,1
controleren,1
spel,1
vorm,1
gelijk,1
heet,1
miss,1
bracht,1
warmte,1
sneeuw,1
band,1
brengen,1
ja,1
verre,1
vullen,1
oosten,1
schilderen,1
taal,1
onder,1
eenheid,1
kracht,1
stad,1
fijne,1
bepaalde,1
vliegen,1
vallen,1
leiden,1
huilen,1
donker,1
apparaat,1
noot,1
wachten,1
plannen,1
figuur,1
ster,1
doos,1
418 	zelfstandig naamwoord,1
veld,1
rest,1
juist,1
422 	in staat,1
pond,1
gedaan,1
schoonheid,1
rijden,1
stond,1
bevatten,1
voorzijde,1
leren,1
week,1
finale,1
gaf,1
groen,1
oh,1
snel,1
ontwikkelen,1
oceaan,1
warme,1
gratis,1
minuut,1
sterke,1
speciaal,1
geest,1
achter,1
duidelijk,1
staart,1
produceren,1
feit,1
ruimte,1
gehoord,1
best,1
uur,1
beter,1
ware,1
tijdens,1
honderd,1
vijf,1
onthouden,1
stap,1
vroeg,1
houden,1
west,1
grond,1
rente,1
bereiken,1
snel,1
werkwoord,1
zingen,1
luisteren,1
zes,1
tafel,1
