form,freq
aĉeti,1
aero,1
afabla,1
afero,1
aĝo,1
ajna,1
akiri,1
akra,1
akto,1
aktuala,1
akvo,1
aldoni,1
alia,1
aliĝi,1
almenaŭ,1
alporti,1
alta,1
alveni,1
amaso,1
ambaŭ,1
amiko,1
amuza,1
anaso,1
angulo,1
ankaŭ,1
ankoraŭ,1
anonco,1
anstataŭ,1
antaŭ,1
antaŭa,1
antaŭen,1
aparta,1
aperi,1
aranĝi,1
arbaro,1
arbo,1
arĝento,1
aro,1
arto,1
atendi,1
atomo,1
aŭ,1
aŭdi,1
aŭskulti,1
aŭto,1
baldaŭ,1
bando,1
bastono,1
bazo,1
bebo,1
bela,1
beleco,1
besto,1
birdo,1
blanka,1
bloko,1
blua,1
bona,1
bone,1
bordo,1
bovino,1
brako,1
branĉo,1
brila,1
bruligi,1
bruna,1
bruo,1
buŝo,1
butiko,1
ĉambro,1
ĉapelo,1
ĉasi,1
ĉe,1
ĉefa,1
ĉefe,1
ĉefurbo,1
ĉelo,1
cendo,1
cent,1
centro,1
ĉesi,1
ĉevalo,1
ĉiam,1
ĉielo,1
cifero,1
ĉiu,1
colo,1
ĉu,1
danco,1
danĝero,1
daŭrigi,1
de,1
decidi,1
dek,1
dekstra,1
dekuma,1
demando,1
denove,1
dependi,1
desegni,1
determini,1
dezerto,1
deziri,1
disko,1
diskuti,1
dividi,1
divido,1
dolaro,1
domo,1
doni,1
dormo,1
drato,1
du,1
dua,1
dum,1
duobla,1
duono,1
ebenaĵo,1
ebeno,1
ebla,1
eble,1
eĉ,1
edzino,1
efekto,1
eĝo,1
ekde,1
eksciti,1
eksperimento,1
ekstere,1
ekzemplo,1
ekzerco,1
el,1
elekti,1
elektra,1
elemento,1
elpensi,1
elporti,1
elprovi,1
elspezi,1
en,1
enhavi,1
eniri,1
enspezi,1
entute,1
esti,1
estinteco,1
estro,1
evidenta,1
evoluigi,1
faciligi,1
fajna,1
fajro,1
fakto,1
fali,1
faligi,1
familio,1
fari,1
feliĉa,1
fenestro,1
fero,1
fervoja,1
fervoja,1
festo,1
figo,1
filo,1
fingro,1
fini,1
fino,1
fiŝo,1
flanko,1
flava,1
floro,1
flugilo,1
fluo,1
forlasi,1
formo,1
forta,1
forto,1
frakcio,1
fratino,1
freŝa,1
frua,1
funkcii,1
funto,1
ĝardeno,1
gaso,1
gazetaro,1
gepatro,1
ĝi,1
ĝis,1
glacio,1
ĝojo,1
ĝojo,1
grado,1
grafikaĵo,1
granda,1
grandioza,1
graso,1
grupo,1
ĝusta,1
gvidi,1
haŭto,1
hejmo,1
helpi,1
herbo,1
historio,1
homa,1
horloĝo,1
horo,1
hundo,1
iam,1
ili,1
ilo,1
indiki,1
industrio,1
infano,1
inkluzivi,1
insekto,1
instrumento,1
insulo,1
inter,1
interkonsenti,1
interkonsento,1
interpunkcio,1
iom,1
iri,1
jarcento,1
jardo,1
jaro,1
jes,1
ĵeti,1
junulo,1
kaj,1
kalkuli,1
kamiono,1
kampo,1
kanti,1
kanto,1
kapitano,1
kapo,1
kara,1
kato,1
kaŭzo,1
ke,1
kial,1
kialo,1
kiam,1
kie,1
kiel,1
kies,1
kio,1
kiom,1
klaso,1
knabino,1
knabo,1
kolekti,1
kolero,1
kolo,1
kolonio,1
kolono,1
koloro,1
komenci,1
komenco,1
komerco,1
kompanio,1
kompari,1
kompleta,1
kondamno,1
kondiĉo,1
konduki,1
konekti,1
konko,1
konservi,1
konsideri,1
konsonanto,1
konstrui,1
kontinento,1
kontraŭ,1
kontraŭa,1
kontroli,1
kontrolo,1
kopio,1
kordo,1
koro,1
korpo,1
kosto,1
kostumo,1
kotono,1
kovrilo,1
kreski,1
krio,1
krom,1
kropo,1
kruĉo,1
kruro,1
kun,1
kune,1
kuracisto,1
kutima,1
kvadrata,1
kvankam,1
kvar,1
kvarto,1
kvin,1
kvociento,1
la,1
laboro,1
lago,1
lakto,1
lando,1
larĝa,1
lasta,1
laŭta,1
legi,1
leĝo,1
lernejo,1
lerni,1
lerta,1
letero,1
li,1
libro,1
ligno,1
likva,1
lingvo,1
linio,1
literumi,1
lito,1
lokalizi,1
loko,1
longo,1
ludo,1
luno,1
magneto,1
majstro,1
malalta,1
malamiko,1
malantaŭ,1
malbona,1
maldekstra,1
maldika,1
malfacila,1
malfermita,1
malgranda,1
mallonga,1
mallumo,1
malnova,1
