form,freq
kuin,1
minä,1
hänen,1
että,1
hän,1
oli,1
varten,1
päälle,1
olemme,1
kanssa,1
ne,1
olla,1
klo,1
yksi,1
olla,1
tämä,1
alkaen,1
mukaan,1
kuuma,1
sana,1
mutta,1
mitä,1
jotkut,1
on,1
se,1
sinua,1
tai,1
oli,1
päälle,1
jos,1
to,1
ja,1
tehdä,1
sisään,1
me,1
voida,1
ulos,1
muut,1
olivat,1
joka,1
tehdä,1
niiden,1
aika,1
jos,1
tahtoa,1
miten,1
sanoi,1
pieni,1
kukin,1
kertoa,1
tekee,1
setti,1
kolme,1
haluta,1
ilma,1
hyvin,1
myös,1
pelata,1
pieni,1
pää,1
laittaa,1
koti,1
lue,1
käsi,1
portti,1
suuri,1
oikeinkirjoituksen,1
lisätä,1
jopa,1
maa,1
täällä,1
must,1
iso,1
korkea,1
niin,1
seurata,1
säädös,1
miksi,1
kysyä,1
miehet,1
muutos,1
meni,1
valo,1
kind,1
pois,1
tarvitsevat,1
talo,1
kuva,1
yrittää,1
meille,1
jälleen,1
eläin,1
kohta,1
äiti,1
maailma,1
lähellä,1
rakentaa,1
itse,1
maa,1
isä,1
kaikki,1
uusi,1
työ,1
osa,1
ottaa,1
saada,1
paikka,1
tehty,1
elää,1
jossa,1
jälkeen,1
takaisin,1
vähän,1
vain,1
pyöreä,1
mies,1
vuosi,1
tuli,1
show,1
joka,1
hyvä,1
minua,1
antaa,1
meidän,1
alle,1
nimi,1
hyvin,1
kautta,1
vain,1
lomake,1
virke,1
suuri,1
ajatella,1
sanoa,1
auttaa,1
alhainen,1
linja,1
erota,1
vuoro,1
syy,1
paljon,1
tarkoittaa,1
ennen,1
liikkua,1
oikea,1
poika,1
vanha,1
liian,1
sama,1
hän,1
kaikki,1
siellä,1
kun,1
ylös,1
käyttää,1
sinun,1
tapa,1
noin,1
monet,1
sitten,1
niitä,1
kirjoittaa,1
olisi,1
kuten,1
niin,1
nämä,1
hänen,1
pitkä,1
tehdä,1
asia,1
nähdä,1
häntä,1
kaksi,1
on,1
katso,1
lisää,1
päivä,1
voisi,1
mennä,1
tulevat,1
teki,1
numero,1
ääni,1
ei,1
eniten,1
ihmiset,1
minun,1
yli,1
tietää,1
vesi,1
kuin,1
puhelu,1
ensimmäinen,1
jotka,1
saattaa,1
alas,1
puoli,1
ollut,1
nyt,1
löytää,1
pää,1
seistä,1
oma,1
sivu,1
pitäisi,1
maa,1
löytyi,1
vastaus,1
koulu,1
kasvaa,1
tutkimus,1
vielä,1
oppia,1
kasvi,1
kansi,1
ruoka,1
aurinko,1
neljä,1
välillä,1
valtio,1
pitää,1
silmä,1
ei koskaan,1
viime,1
antaa,1
ajatus,1
kaupunki,1
puu,1
cross,1
maatila,1
kova,1
alku,1
ehkä,1
tarina,1
saha,1
pitkälle,1
meri,1
piirtää,1
vasen,1
myöhään,1
run,1
eivät,1
taas,1
lehdistö,1
lähellä,1
yö,1
todellinen,1
elämä,1
harvat,1
pohjoiseen,1
kirja,1
kuljettaa,1
otti,1
tiede,1
syödä,1
huone,1
ystävä,1
alkoi,1
idea,1
kala,1
vuori,1
lopettaa,1
kerran,1
pohja,1
kuulla,1
hevonen,1
leikkaus,1
varma,1
katsella,1
väri,1
kasvot,1
puu,1
tärkein,1
avoin,1
näyttää,1
yhdessä,1
seuraava,1
valkoinen,1
lapset,1
alkaa,1
sai,1
kävellä,1
esimerkiksi,1
helppous,1
paperi,1
ryhmä,1
aina,1
musiikki,1
ne,1
molemmat,1
merkki,1
usein,1
kirje,1
saakka,1
maili,1
joki,1
auto,1
jalat,1
hoito,1
toinen,1
tarpeeksi,1
tavallinen,1
tyttö,1
tavallinen,1
nuori,1
valmis,1
edellä,1
koskaan,1
punainen,1
lista,1
vaikka,1
tuntea,1
puhua,1
lintu,1
pian,1
elin,1
koira,1
perhe,1
suora,1
aiheuttaa,1
jätä,1
laulu,1
mitata,1
ovi,1
tuote,1
musta,1
lyhyt,1
numero,1
luokka,1
tuuli,1
kysymys,1
tapahtua,1
täydellinen,1
laiva,1
alue,1
puoli,1
kallio,1
järjestys,1
palo,1
etelään,1
ongelma,1
pala,1
kertoi,1
tiesi,1
kulkea,1
koska,1
alkuun,1
koko,1
kuningas,1
katu,1
tuuma,1
lisääntyä,1
ei mitään,1
kurssi,1
pysyä,1
pyörä,1
täysi,1
voima,1
sininen,1
esine,1
päättää,1
pinta,1
syvä,1
moon,1
saari,1
jalka,1
järjestelmä,1
kiireinen,1
testi,1
ennätys,1
veneen,1
yhteinen,1
kulta,1
mahdollinen,1
kone,1
sijaansa,1
kuiva,1
ihme,1
nauraa,1
tuhatta,1
sitten,1
juoksi,1
tarkistaa,1
peli,1
muoto,1
rinnastaa,1
kuuma,1
neiti,1
toi,1
lämpö,1
lumi,1
rengas,1
tuoda,1
kyllä,1
kaukainen,1
täyttää,1
itään,1
maali,1
kieli,1
keskuudessa,1
yksikkö,1
voima,1
kaupunki,1
hieno,1
tietty,1
lentää,1
pudota,1
johtaa,1
itkeä,1
pimeä,1
kone,1
huomautus,1
odottaa,1
suunnitelma,1
kuva,1
tähti,1
laatikko,1
substantiivi,1
kenttä,1
levätä,1
oikea,1
pystyy,1
punta,1
tehty,1
kauneus,1
ajaa,1
seisoi,1
sisältävät,1
etuosa,1
opettaa,1
viikko,1
lopullinen,1
antoi,1
vihreä,1
oi,1
nopea,1
kehittää,1
valtameri,1
lämmin,1
vapaa,1
minuutti,1
vahva,1
erityistä,1
mieli,1
takana,1
selkeä,1
pyrstö,1
tuottaa,1
tosiasia,1
tilaa,1
kuuli,1
paras,1
tunti,1
parempi,1
totta,1
aikana,1
sata,1
viisi,1
muistaa,1
vaihe,1
varhainen,1
pidä,1
länsi,1
maa,1
etua,1
tavoittaa,1
nopeasti,1
verbi,1
laulaa,1
kuunnella,1
kuusi,1
taulukko,1
matkailu,1
vähemmän,1
aamu,1
kymmenen,1
yksinkertainen,1
useat,1
vokaali,1
kohti,1
sota,1
asettaa,1
vastaan,1
kuvio,1
hidas,1
keskus,1
rakkaus,1
henkilö,1
raha,1
palvella,1
ilmestyä,1
tie,1
kartta,1
sade,1
sääntö,1
säätelevät,1
vetää,1
kylmä,1
huomautus,1
ääni,1
energia,1
metsästää,1
todennäköinen,1
sängyssä,1
veli,1
muna,1
ratsastaa,1
solu,1
uskoa,1
ehkä,1
poimia,1
äkillinen,1
luottaa,1
neliö,1
syy,1
pituus,1
edustaa,1
taide,1
aihe,1
alue,1
koko,1
vaihdella,1
asettua,1
puhua,1
paino,1
yleinen,1
jää,1
asia,1
ympyrä,1
pari,1
sisältävät,1
kahtiajaon,1
tavu,1
huopa,1
suuri,1
pallo,1
vielä,1
aalto,1
pudota,1
sydän,1
am,1
nykyinen,1
raskas,1
tanssi,1
moottori,1
asema,1
varsi,1
leveä,1
purje,1
materiaali,1
osa,1
metsä,1
istua,1
kilpailu,1
ikkuna,1
myymälä,1
kesä,1
juna,1
uni,1
todistaa,1
yksinäinen,1
jalka,1
liikunta,1
seinä,1
saalis,1
mount,1
toivottaa,1
taivas,1
lauta,1
ilo,1
talvi,1
kyll,1
kirjallinen,1
villi,1
väline,1
säilytettävä,1
lasi,1
ruoho,1
lehmä,1
työ,1
reuna,1
merkki,1
Vierailun,1
ohi,1
pehmeä,1
hauskaa,1
kirkas,1
kaasu,1
sää,1
kuukausi,1
miljoona,1
bear,1
viimeistely,1
onnellinen,1
Toivottavasti,1
kukka,1
vaatettaa,1
outo,1
poissa,1
kauppa,1
melodia,1
matka,1
toimisto,1
vastaanottaa,1
rivi,1
suu,1
tarkka,1
symboli,1
die,1
vähiten,1
ongelmia,1
huutaa,1
paitsi,1
kirjoitti,1
siemen,1
sävy,1
yhtyä,1
ehdottaa,1
puhtaita,1
tauko,1
lady,1
piha,1
nousta,1
huono,1
puhallus,1
öljy,1
veri,1
koskettaa,1
kasvoi,1
sentti,1
sekoittaa,1
joukkue,1
lanka,1
kustannukset,1
menetetty,1
ruskea,1
kuluminen,1
puutarha,1
yhtäläinen,1
lähetetty,1
valita,1
laski,1
sovittaa,1
virtaus,1
oikeudenmukainen,1
pankki,1
kerätä,1
