form,freq
comme,1
je,1
son,1
que,1
il,1
était,1
pour,1
sur,1
sont,1
avec,1
ils,1
être,1
à,1
un,1
avoir,1
ce,1
à_partir_de,1
par,1
chaud,1
mot,1
mais,1
que,1
certains,1
est,1
il,1
vous,1
ou,1
eu,1
la,1
de,1
à,1
et,1
un,1
dans,1
nous,1
boîte,1
dehors,1
autre,1
étaient,1
qui,1
faire,1
leur,1
temps,1
si,1
volonté,1
comment,1
dit,1
un,1
chaque,1
dire,1
ne,1
ensemble,1
trois,1
vouloir,1
air,1
bien,1
aussi,1
jouer,1
petit,1
fin,1
mettre,1
maison,1
lire,1
main,1
port,1
grand,1
épeler,1
ajouter,1
même,1
terre,1
ici,1
il_faut,1
grand,1
haut,1
tel,1
suivre,1
acte,1
pourquoi,1
interroger,1
hommes,1
changement,1
est_allé,1
lumière,1
genre,1
de,1
besoin,1
maison,1
image,1
essayer,1
nous,1
encore,1
animal,1
point,1
mère,1
monde,1
près_de,1
construire,1
soi,1
terre,1
père,1
tout,1
nouveau,1
travail,1
partie,1
prendre,1
obtenir,1
lieu,1
fabriqué,1
vivre,1
où,1
après,1
arrière,1
peu,1
seulement,1
tour,1
homme,1
année,1
est_venu,1
montrer,1
tous,1
bon,1
moi,1
donner,1
notre,1
sous,1
nom,1
très,1
par,1
juste,1
forme,1
phrase,1
grand,1
penser,1
dire,1
aider,1
faible,1
ligne,1
différer,1
tour,1
la_cause,1
beaucoup,1
signifier,1
avant,1
déménagement,1
droit,1
garçon,1
vieux,1
trop,1
même,1
elle,1
tous,1
là,1
quand,1
jusqu’à
utiliser,1
votre,1
manière,1
sur,1
beaucoup,1
puis,1
les,1
écrire,1
voudrais,1
comme,1
si,1
ces,1
son,1
long,1
faire,1
chose,1
voir,1
lui,1
deux,1
a,1
regarder,1
plus,1
jour,1
pourrait,1
aller,1
venir,1
fait,1
nombre,1
son,1
aucun,1
plus,1
personnes,1
ma,1
sur,1
savoir,1
eau,1
que,1
appel,1
première,1
qui,1
peut,1
vers_le_bas,1
côté,1
été,1
maintenant,1
trouver,1
tête,1
supporter,1
propre,1
page,1
devrait,1
pays,1
trouvé,1
réponse,1
école,1
croître,1
étude,1
encore,1
apprendre,1
usine,1
couvercle,1
nourriture,1
soleil,1
quatre,1
entre,1
état,1
garder,1
œil,1
jamais,1
dernier,1
laisser,1
pensée,1
ville,1
arbre,1
traverser,1
ferme,1
dur,1
début,1
puissance,1
histoire,1
scie,1
loin,1
mer,1
tirer,1
gauche,1
tard,1
courir,1
needs_a_context,1
tandis_que,1
presse,1
proche,1
nuit,1
réel,1
vie,1
peu,1
nord,1
livre,1
porter,1
a_pris,1
science,1
manger,1
chambre,1
ami,1
a_commencé,1
idée,1
poisson,1
montagne,1
Arrêtez,1
une_fois,1
base,1
entendre,1
cheval,1
coupe,1
sûr,1
regarder,1
couleur,1
face,1
bois,1
principal,1
ouvert,1
paraître,1
ensemble,1
suivant,1
blanc,1
enfants,1
commencer,1
eu,1
marcher,1
exemple,1
facilité,1
vue,1
papier,1
groupe,1
toujours,1
musique,1
ceux,1
tous_les_deux,1
marque,1
souvent,1
lettre,1
jusqu’à_ce_que
mile,1
