form,freq
como,1
I,1
súa,1
que,1
el,1
foi,1
para,1
en,1
son,1
con,1
eles,1
ser,1
en,1
un,1
ten,1
este,1
desde,1
por,1
quente,1
palabra,1
pero,1
o que,1
algúns,1
é,1
el,1
ti,1
ou,1
tivo,1
o,1
de,1
a,1
e,1
unha,1
en,1
nós,1
pode,1
fóra,1
outro,1
foron,1
que,1
facer,1
súa,1
tempo,1
se,1
vontade,1
como,1
dixo,1
unha,1
cada,1
dicir,1
fai,1
conxunto,1
tres,1
quere,1
aire,1
ben,1
tamén,1
xogar,1
pequeno,1
fin,1
poñer,1
casa,1
ler,1
man,1
port,1
gran,1
deletrear,1
engadir,1
mesmo,1
terra,1
aquí,1
debe,1
gran,1
alta,1
tales,1
siga,1
acto,1
por que,1
preguntar,1
homes,1
cambio,1
fun,1
luz,1
tipo,1
off,1
ten,1
casa,1
imaxe,1
tentar,1
nós,1
novo,1
animal,1
punto,1
nai,1
mundo,1
preto,1
construír,1
auto,1
Terra,1
pai,1
calquera,1
novo,1
traballo,1
parte,1
tomar,1
obter,1
lugar,1
feito,1
vivir,1
onde,1
despois,1
de volta,1
pouco,1
só,1
rolda,1
home,1
ano,1
veu,1
amosar,1
cada,1
bo,1
me,1
dar,1
nosa,1
baixo,1
nome,1
moi,1
mediante,1
só,1
forma,1
sentenza,1
gran,1
creo que,1
dicir,1
axuda,1
baixo,1
liña,1
diferir,1
á súa vez,
causa,1
moi,1
significa,1
antes,1
movemento,1
dereito,1
neno,1
vello,1
tamén,1
mesmo,1
ela,1
todo,1
non,1
cando,1
up,1
uso,1
seu,1
forma,1
sobre,1
moitos,1
logo,1
eles,1
escribir,1
faría,1
como,1
así,1
estes,1
ela,1
longo,1
facer,1
cousa,1
vexa,1
el,1
dous,1
ten,1
ollar,1
máis,1
día,1
podería,1
ir,1
vir,1
fixo,1
número,1
son,1
non,1
máis,1
persoas,1
meu,1
sobre,1
saber,1
auga,1
que,1
chamada,1
primeiro,1
que,1
pode,1
abaixo,1
banda,1
foi,1
agora,1
atopar,1
cabeza,1
estar,1
propio,1
Páxina,1
debería,1
país,1
atopou,1
resposta,1
escola,1
crecer,1
estudo,1
aínda,1
aprender,1
planta,1
cuberta,1
alimentos,1
sol,1
catro,1
entre,1
estado,1
manter,1
ollo,1
nunca,1
última,1
deixe,1
pensaba,1
cidade,1
árbore,1
atravesar,1
Facenda,1
difícil,1
inicio,1
pode,1
historia,1
serra,1
lonxe,1
mar,1
deseñar,1
esquerda,1
tarde,1
run,1
non,1
mentres,1
prensa,1
preto,1
noite,1
reais,1
vida,1
poucos,1
norte,1
libro,1
cargar,1
tomou,1
ciencia,1
comer,1
cuarto,1
amigo,1
comezou,1
idea,1
peixe,1
montaña,1
Pare,1
xa,1
Base,1
escoitar,1
cabalo,1
corte,1
comprobe se,1
asista,1
cor,1
cara,1
madeira,1
principal,1
aberto,1
parecen,1
xuntos,1
preto,1
branco,1
nenos,1
inicio,1
ten,1
andar,1
exemplo,1
facilidade,1
vista,1
papel,1
grupo,1
sempre,1
música,1
aqueles,1
tanto,1
marca,1
miúdo,1
carta,1
ata,1
milla,1
río,1
coche,1
pés,1
coidados,1
segunda,1
suficiente,1
plain,1
nena,1
habitual,1
nova,1
preparado,1
arriba,1
sempre,1
vermello,1
lista,1
aínda,1
sentir,1
discusión,1
paxaro,1
pronto,1
corpo,1
can,1
familia,1
directo,1
representar,1
deixar,1
canción,1
medir,1
porta,1
produto,1
negro,1
curta,1
numeral,1
clase,1
vento,1
pregunta,1
pasar,1
completo,1
barco,1
área,1
metade,1
rocha,1
orde,1
lume,1
sur,1
problema,1
peza,1
dixo,1
sabía,1
pasar,1
desde,1
arriba,1
todo,1
rei,1
rúa,1
polgada,1
multiplicar,1
nada,1
curso,1
estar,1
roda,1
completo,1
forza,1
azul,1
obxecto,1
decidir,1
superficie,1
profunda,1
Lúa,1
illa,1
pé,1
sistema,1
ocupado,1
proba,1
rexistro,1
barco,1
común,1
ouro,1
posible,1
avión,1
lugar,1
seca,1
pregunto,1
risada,1
mil,1
atrás,1
correu,1
comprobe,1
xogo,1
forma,1
equiparar,1
quente,1
señorita,1
trouxo,1
calor,1
neve,1
pneumático,1
traer,1
si,1
distante,1
cubrir,1
leste,1
pintar,1
linguaxe,1
entre,1
unidade,1
poder,1
cidade,1
multa,1
seguro,1
voar,1
caer,1
conducir,1
berro,1
escuro,1
máquina,1
nota,1
esperar,1
plan,1
figura,1
estrela,1
caixa,1
substantivo,1
campo,1
resto,1
correcto,1
capaz,1
libra,1
done,1
beleza,1
unidade,1
se,1
conteñen,1
fronte,1
ensinar,1
semana,1
finais,1
deu,1
verde,1
oh,1
rápida,1
desenvolver,1
océano,1
quente,1
libre,1
minuto,1
forte,1
especial,1
mente,1
atrás,1
claro,1
cola,1
producir,1
feito,1
espazo,1
oído,1
mellor,1
horas,1
mellor,1
verdade,1
durante,1
cen,1
cinco,1
Teña en conta que,1
paso,1
cedo,1
soster,1
oeste,1
solo,1
interese,1
alcanzar,1
rápido,1
verbo,1
cantar,1
escoite,1
seis,1
mesa,1
viaxes,1
menos,1
mañá,1
dez,1
simple,1
varios,1
vocal,1
dirección,1
guerra,1
lay,1
contra,1
estándar,1
lento,1
centro,1
amo,1
persoa,1
diñeiro,1
servir,1
aparecer,1
estrada,1
mapa,1
choiva,1
regra,1
gobernar,1
puxe,1
frío,1
aviso,1
voz,1
enerxía,1
caza,1
probable,1
cama,1
irmán,1
ovo,1
paseo,1
móbil,1
crer,1
quizais,1
escoller,1
súbita,1
contar,1
cadrado,1
razón,1
lonxitude,1
representar,1
arte,1
Asunto,1
rexión,1
Tamaño,1
variar,1
resolver,1
falar,1
peso,1
xeral,1
xeo,1
asunto,1
círculo,1
par,1
incluír,1
división,1
sílaba,1
sentiu,1
gran,1
bola,1
aínda,1
onda,1
caer,1
corazón,1
son,1
presente,1
pesado,1
danza,1
motor,1
posición,1
brazo,1
ampla,1
vela,1
material de,1
fracción,1
bosque,1
sentir-se,1
carreira,1
fiestra,1
tenda,1
verán,1
tren,1
soño,1
probar,1
solitario,1
perna,1
exercicio,1
parede,1
captura,1
mount,1
desexo,1
ceo,1
consello,1
alegría,1
inverno,1
sat,1
escrito,1
salvaxe,1
instrumento,1
mantido,1
vidro,1
herba,1
vaca,1
traballo,1
borde,1
sinal,1
visita,1
pasado,1
suave,1
diversión,1
brillante,1
gas,1
tempo,1
mes,1
millóns,1
soportar,1
acabado,1
feliz,1
esperanza,1
flor,1
levar,1
estraño,1
gone,1
comercio,1
melodía,1
viaxe,1
oficina,1
recibir,1
liña,1
boca,1
exacta,1
símbolo,1
morrer,1
menos,1
problemas,1
berro,1
excepto,1
escribiu,1
semente,1
ton,1
xuntar-se,1
suxiren,1
limpo,1
pausa,1
señora,1
curro,1
subir,1
malo,1
golpe,1
aceite,1
sangue,1
tocar,1
creceu,1
cento,1
mesturar,1
equipo,1
fíos,1
custo,1
perdido,1
marrón,1
desgaste,1
xardín,1
igual,1
enviado,1
escoller,1
caeu,1
caber,1
fluír,1
feira,1
base,1
recoller,1
gardar,1
control,1
decimal,1
oído,1
máis,1
moi,1
rompe,1
caso,1
medio,1
matar,1
fillo,1
lago,1
momento,1
escala,1
alto,1
primavera,1
observar,1
neno,1
recta,1
consoante,1
nación,1
dicionario,1
leite,1
Velocidade,1
método,1
órgano,1
pagar,1
idade,1
sección,1
vestido,1
nube,1
sorpresa,1
calma,1
pedra,1
minúsculo,1
subida,1
legal,1
proxecto,1
pobre,1
moi,1
experiencia,1
bottom,1
clave,1
ferro,1
único,1
vara,1
plana,1
vinte,1
pel,1
sorriso,1
Vinci,1
burato,1
ir,1
bebé,1
oito,1
aldea,1
meet,1
raíz,1
mercar,1
levantar,1
resolver,1
metálicos,1
se,1
empuxe,1
sete,1
parágrafo,1
terceiro,1
debe,1
held,1
pelo,1
describir,1
cociñeiro,1
chan,1
ou,1
resultado,1
queimar,1
hill,1
seguro,1
gato,1
século,1
considerar,1
tipo,1
dereito,1
bit,1
costa,1
copia,1
frase,1
silenciosa,1
de altura,1
area,1
solo,1
rolo,1
temperatura,1
dedo,1
industria,1
valor,1
loita,1
mentira,1
vencer,1
excitar,1
naturais,1
vista,1
sentido,1
Capital,1
non vai,1
materia,1
perigo,1
froitas,1
rico,1
groso,1
soldado,1
proceso,1
operar,1
práctica,1
separado,1
difícil,1
médico,1
por favor,1
protexer,1
mediodía,1
colleita,1
moderno,1
elemento,1
bater,1
estudante,1
