form,freq
כמו,1
אני,1
שלו,1
ש,1
הוא,1
היה,1
עבור,1
על,1
הם,1
עם,1
הם,1
להיות,1
ב,1
אחד,1
יש לי,1
זה,1
מ,1
על ידי,1
חם,1
מילה,1
אבל,1
מה,1
כמה,1
הוא,1
זה,1
אתה,1
או,1
היה לי,1
עבור,1
של,1
אל,1
ו,1
זמן,1
ב,1
אנחנו,1
יכול,1
את,1
אחר,1
היו,1
ש,1
לעשות,1
שלהם,1
זמן,1
אם,1
יהיה,1
איך,1
אמר,1
בית,1
כל,1
לספר,1
עושה,1
סט,1
שלוש,1
רוצה,1
אוויר,1
גם,1
גם,1
לשחק,1
קטן,1
סוף,1
לשים,1
בית,1
לקרוא,1
יד,1
נמל,1
גדול,1
לאיית,1
להוסיף,1
אפילו,1
ארץ,1
כאן,1
חייב,1
גדול,1
גבוה,1
כזה,1
מעקב,1
מעשה,1
מדוע,1
שואל,1
אנשים,1
לשנות,1
הלכתי,1
אור,1
סוג,1
את,1
צריך,1
בית,1
תמונה,1
לנסות,1
שלנו,1
שוב,1
חיה,1
נקודה,1
אמא,1
עולם,1
ליד,1
לבנות,1
עצמי,1
כדור הארץ,1
אב,1
כל,1
חדש,1
עבודה,1
חלק,1
לקחת,1
לקבל,1
מקום,1
עשיתי,1
לחיות,1
איפה,1
לאחר,1
בחזרה,1
קטן,1
רק,1
עגול,1
גבר,1
שנה,1
הגיע,1
מופע,1
כל,1
טוב,1
לי,1
לתת,1
שלנו,1
תחת,1
שם,1
מאוד,1
דרך,1
רק,1
טופס,1
משפט,1
גדול,1
חושב,1
אומר,1
לעזור,1
נמוך,1
שורה,1
שונה,1
תור,1
סיבה,1
הרבה,1
אומר,1
לפני,1
מהלך,1
נכון,1
ילד,1
ישן,1
גם,1
אותו,1
היא,1
כל,1
שם,1
כאשר,1
למעלה,1
שימוש,1
שלך,1
דרך,1
על,1
רבים,1
אז,1
שלהם,1
לכתוב,1
היית,1
כמו,1
כך,1
אלה,1
שלה,1
ארוך,1
לעשות,1
דבר,1
לראות,1
שלו,1
שנים,1
יש,1
להסתכל,1
יותר,1
יום,1
יכול,1
ללכת,1
תבואו,1
עשיתי,1
מספר,1
נשמע,1
לא,1
ביותר,1
אנשים,1
שלי,1
על,1
יודע,1
מים,1
מאשר,1
שיחה,1
ראשון,1
מי,1
רשאי,1
למטה,1
צד,1
היה,1
עכשיו,1
למצוא,1
ראש,1
לעמוד,1
של,1
דף,1
צריך,1
מדינה,1
מצאתי,1
תשובה,1
בית ספר,1
לגדול,1
מחקר,1
עוד,1
ללמוד,1
צמח,1
כיסוי,1
מזון,1
שמש,1
ארבעה,1
בין,1
מדינה,1
לשמור,1
עין,1
אף פעם לא,1
אחרון,1
בואו,1
חשבתי,1
עיר,1
עץ,1
לחצות,1
החווה,1
קשה,1
התחלה,1
אולי,1
סיפור,1
מסור,1
רחוק,1
ים,1
לצייר,1
עזב,1
מאוחר,1
לרוץ,1
לא,1
תוך,1
עיתונות,1
קרוב,1
לילה,1
אמיתי,1
חיים,1
כמה,1
צפון,1
ספר,1
לשאת,1
לקחתי,1
מדע,1
לסעוד,1
חדר,1
חבר,1
החל,1
רעיון,1
דגים,1
הר,1
להפסיק,1
פעם אחת,1
בסיס,1
לשמוע,1
סוס,1
לחתוך,1
בטוח,1
לצפות,1
צבע,1
פנים,1
עץ,1
עיקרי,1
פתוח,1
נראה,1
יחד,1
הבא,1
לבן,1
ילדים,1
להתחיל,1
לי,1
ללכת,1
דוגמא,1
להקל,1
מראה,1
נייר,1
קבוצה,1
תמיד,1
מוסיקה,1
אלה,1
שני,1
סימן,1
לעתים קרובות,1
מכתב,1
עד,1
מייל,1
נהר,1
מכונית,1
רגליים,1
טיפול,1
שני,1
מספיק,1
מישור,1
ילדה,1
כרגיל,1
צעיר,1
מוכן,1
מעל,1
אי פעם,1
אדום,1
רשימה,1
למרות ש,1
להרגיש,1
דיבורים,1
ציפור,1
בקרוב,1
גוף,1
כלב,1
משפחה,1
ישיר,1
פוזה,1
לעזוב,1
שיר,1
למדוד,1
דלת,1
מוצר,1
שחור,1
קצר,1
ספרה,1
כיתה,1
רוח,1
שאלה,1
לקרות,1
מלא,1
ספינה,1
אזור,1
מחצית,1
רוק,1
כדי,1
אש,1
