form,freq
að,1
aðeins,1
aðferð,1
aðila,1
aðskilin,1
af,1
afl,1
afli,1
aftur,1
aldrei,1
aldur,1
algengar,1
allir,1
alls,1
allt,1
alltaf,1
almennt,1
alveg,1
alvöru,1
andlit,1
annað,1
annaðhvort,1
armur,1
atburður,1
athuga,1
athöfn,1
auga,1
augnablik,1
aukning,1
austur,1
á,1
áður,1
áfram,1
áhrif,1
áin,1
ákvarða,1
ákveða,1
ákæra,1
ári,1
árstíð,1
ást,1
ástand,1
ástæða,1
átt,1
átta,1
ávöxtur,1
áætlun,1
bak,1
band,1
banka,1
bara,1
barn,1
bátur,1
bein,1
beint,1
benda,1
bera,1
berjast,1
besta,1
betur,1
bik,1
binda,1
birtist,1
bita,1
bíða,1
bíll,1
bjalla,1
björt,1
blað,1
blanda,1
blár,1
blása,1
blettur,1
blíður,1
blokk,1
blóð,1
blóm,1
bolti,1
borð,1
borða,1
borg,1
borga,1
botn,1
bók,1
bómull,1
brauð,1
braut,1
breið,1
breiða,1
brenna,1
breytileg,1
breyting,1
bréf,1
brjóta,1
bros,1
brot,1
bróðir,1
brún,1
brúnn,1
burt,1
búa,1
búast,1
búð,1
byggja,1
bylgja,1
byrja,1
byrjaði,1
byssu,1
bæ,1
bæði,1
bærinn,1
bæta,1
börn,1
dagur,1
dans,1
dauða,1
dauður,1
dálki,1
deild,1
dekk,1
deyja,1
djúpt,1
draga,1
draumur,1
drengur,1
drepa,1
drif,1
drífa,1
drykkur,1
dyr,1
dýr,1
dæmi,1
dökk,1
eða,1
eðli,1
eðlilegt,1
ef,1
efni,1
efst,1
eftir,1
egg,1
eigin,1
eign,1
einfalt,1
eining,1
einkum,1
einn,1
einnig,1
eins,1
ekkert,1
ekki,1
elda,1
eldur,1
en,1
endanleg,1
endurtaka,1
enn,1
epli,1
er,1
erfitt,1
eru,1
espa,1
eyða,1
eyðimörk,1
eyra,1
ég,1
faðir,1
falla,1
fann,1
fannst,1
fara,1
farinn,1
fá,1
fáir,1
fegurð,1
feitur,1
ferð,1
ferðalög,1
ferli,1
ferskur,1
fékk,1
féll,1
fimm,1
fingur,1
finna,1
finnst,1
fiskur,1
fínn,1
fjall,1
fjallið,1
fjarlæg,1
fjórir,1
fjær,1
fjöldi,1
fjölskylda,1
fleirtölu,1
fljótandi,1
fljótlega,1
fljótur,1
fljúga,1
flokki,1
flugvél,1
foreldri,1
fortíð,1
fólk,1
fólkið,1
fór,1
fótur,1
frakki,1
framan,1
framan,1
framboð,1
framleiða,1
frá,1
fremur,1
frjáls,1
fræ,1
frægur,1
fugl,1
fullur,1
furða,1
fylgja,1
fylgjast,1
fylla,1
fyrir,1
fyrirtæki,1
fyrst,1
fæða,1
fær,1
fært,1
fætur,1
föt,1
gaf,1
gamall,1
gaman,1
ganga,1
garð,1
garður,1
gas,1
gat,1
gefa,1
gegn,1
gegnum,1
gera,1
gerast,1
gerði,1
gerir,1
gert,1
getur,1
gildi,1
giska,1
glaður,1
gleði,1
gler,1
glugga,1
gott,1
góður,1
gras,1
grá,1
gráðu,1
gráta,1
gríðarstór,1
grænt,1
gufu,1
gull,1
gulur,1
gæti,1
götu,1
haf,1
hafa,1
hafði,1
hala,1
halda,1
haldið,1
hamingjusamur,1
hann,1
harður,1
hatt,1
hádegi,1
háls,1
hár,1
hárið,1
hávaði,1
hávær,1
hefur,1
heild,1
heill,1
heim,1
heimsálfu,1
heimsókn,1
heitt,1
held,1
helmingur,1
helstu,1
henni,1
herbergi,1
hermaður,1
hestur,1
heyra,1
heyrði,1
hér,1
himinn,1
hita,1
hiti,1
hjarta,1
