form,freq
mar,1
mé,1
a,1
go,1
sé,1
bhí,1
do,1
ar,1
Tá,1
le,1
siad,1
bheith,1
ag,1
amháin,1
tá,1
seo,1
ó,1
ag,1
te,1
focal,1
ach,1
cad,1
roinnt,1
tá,1
sé,1
tú,1
nó,1
bhí,1
an,1
ar,1
go,1
agus,1
a,1
i,1
againn,1
Is féidir,1
amach,1
eile,1
bhí,1
a,1
dhéanamh,1
n-,1
am,1
más rud é,1
beidh,1
conas,1
dúirt,1
ar,1
gach,1
insint,1
dhéanann,1
leagtha,1
trí,1
Ba mhaith,1
aer,1
go maith,1
freisin,1
imirt,1
beag,1
deireadh,1
chur,1
baile,1
léamh,1
lámh,1
calafoirt,1
mór,1
litriú,1
cuir,1
fiú,1
talamh,1
anseo,1
Ní mór,1
mór,1
ard,1
den sórt sin a,1
leanúint,1
gníomh,1
cén fáth,1
a iarraidh,1
fir,1
athraithe,1
chuaigh,1
solas,1
chineál,1
amach,1
Ní mór,1
teach,1
pictiúr,1
iarracht,1
dúinn,1
arís,1
ainmhithe,1
pointe,1
máthair,1
domhan,1
in aice le,1
a thógáil,1
féin,1
cré,1
athair,1
aon,1
nua,1
obair,1
chuid,1
ghlacadh,1
a fháil,1
áit,1
déanta,1
beo,1
i gcás ina,1
tar éis,1
ar ais,1
beag,1
ach,1
bhabhta,1
fear,1
bliain,1
tháinig,1
thaispeáint,1
gach,1
maith,1
dom,1
thabhairt,1
ár n-,1
faoi,1
ainm,1
an-,1
trí,1
ach,1
fhoirm,1
abairt,1
mór,1
I mo thuairimse,,1
rá,1
cabhrú,1
íseal,1
líne,1
difriúil,1
cas,1
faoi deara,1
i bhfad,1
ciallóidh,1
roimh,1
bogadh,1
ceart,1
buachaill,1
d’aois,1
freisin,1
céanna,1
sí,1
go léir,1
ann,1
nuair,1
suas,1
úsáid,1
do,1
bhealach,1
faoi,1
go leor,1
ansin,1
iad,1
scríobh,1
bheadh,1
cosúil le,1
mar sin,1
na,1
di,1
fada,1
dhéanamh,1
rud,1
féach,1
air,1
dhá,1
Tá,1
breathnú,1
níos mó,1
lá,1
D’fhéadfadh,1
dul,1
teacht,1
rinne,1
líon,1
fuaim,1
aon,1
an chuid is mó,1
daoine,1
mo,1
níos mó ná,1
Tá a fhios,1
uisce,1
ná,1
glao,1
ar dtús,1
a,1
féadfaidh,1
síos,1
taobh,1
curtha,1
anois,1
aimsiú,1
ceann,1
seasamh,1
féin,1
leathanach,1
Ba chóir,1
tír,1
fuair,1
freagra,1
scoil,1
fás,1
staidéar,1
fós,1
foghlaim,1
plandaí,1
chlúdach,1
bia,1
ghrian,1
ceithre,1
idir,1
stáit,1
choinneáil,1
súl,1
riamh,1
seo caite,1
a ligean,1
shíl,1
cathair,1
crann,1
tras,1
feirme,1
crua,1
tús,1
d’fhéadfadh,1
scéal,1
chonaic,1
i bhfad,1
farraige,1
a tharraingt,1
chlé,1
déanach,1
rith,1
nach,1
cé go,1
preas,1
gar,1
oíche,1
fíor,1
saol,1
beag,1
ó thuaidh,1
leabhar,1
iompar,1
ghlac,1
eolaíocht,1
ithe,1
seomra,1
cara,1
thosaigh,1
smaoineamh,1
iasc,1
sliabh,1
stad,1
uair amháin,1
bonn,1
chloisteáil,1
capall,1
gearrtha,1
cinnte,1
féachaint ar,1
dath,1
aghaidh,1
adhmad,1
príomh-,1
oscailte,1
Is cosúil go,1
le chéile,1
seo chugainn,1
bán,1
leanaí,1
tús a chur,1
fuair,1
siúl,1
Mar shampla,1
maolú ar,1
páipéar,1
grúpa,1
i gcónaí,1
ceol,1
sin,1
dá,1
marc,1
Is minic,1
litir,1
go dtí,1
míle,1
abhainn,1
carr,1
cosa,1
cúram,1
an dara,1
leor,1
plain,1
cailín,1
gnách,1
óg,1
réidh,1
thuas,1
riamh,1
dearg,1
liosta,1
cé go,1
bhraitheann,1
Plé,1
éan,1
go luath,1
comhlacht,1
madra,1
teaghlach,1
díreach,1
údar,1
saoire,1
song,1
a thomhas,1
doras,1
táirge,1
dubh,1
gearr,1
Uimhreán,1
rang,1
gaoithe,1
ceist,1
tharlóidh,1
críochnaithe,1
long,1
limistéar,1
leath,1
carraig,1
ordú,1
dóiteáin,1
ó dheas,1
fhadhb,1
píosa,1
inis,1
Bhí a fhios,1
pas a fháil,1
ós rud é,1
barr,1
fad,1
rí,1
ainm,1
orlach,1
iolrú,1
aon rud,1
cúrsa,1
fanacht,1
roth,1
lán,1
bhfeidhm,1
gorm,1
réad,1
cinneadh a dhéanamh,1
dromchla,1
domhain,1
gealach,1
oileán,1
cos,1
córas,1
gnóthach,1
tástáil,1
taifead,1
bád,1
coitianta,1
óir,1
féidir,1
eitleán,1
ionad,1
tirim,1
Wonder,1
gáire,1
míle,1
ó shin,1
Rith,1
seiceáil,1
cluiche,1
cruth,1
ionann,1
te,1
chailleann,1
thug,1
teas,1
sneachta,1
bonn,1
thabhairt,1
yes,1
i bhfad i gcéin,1
líonadh,1
soir,1
péint,1
teanga,1
i measc,1
aonad,1
cumhacht,1
baile,1
fíneáil,1
áirithe,1
eitilt,1
titim,1
luaidhe,1
caoin,1
dorcha,1
meaisín,1
nóta,1
fan,1
plean,1
figiúr,1
réalta,1
bosca,1
ainmfhocail,1
réimse,1
chuid eile,1
ceart,1
ann,1
punt,1
rinneadh,1
áilleacht,1
tiomáint,1
sheas,1
go bhfuil,1
tosaigh,1
mhúineadh,1
seachtain,1
deiridh,1
thug,1
glas,1
curfá,1
tapaidh,1
fhorbairt,1
farraige,1
te,1
saor in aisce,1
nóiméad,1
láidir,1
speisialta,1
aigne,1
taobh thiar,1
soiléir,1
eireaball,1
ar aird,1
Go deimhin,1
spás,1
éisteacht,1
fearr,1
uair an chloig,1
níos fearr,1
fíor,1
le linn,1
céad,1
cúig,1
cuimhnigh,1
céim,1
go luath,1
shealbhú,1
siar,1
talamh,1
ús,1
a bhaint amach,1
tapa,1
briathar,1
chanadh,1
éisteacht,1
sé,1
tábla,1
taisteal,1
níos lú,1
maidin,1
deich,1
simplí,1
roinnt,1
guta,1
i dtreo,1
cogadh,1
leagan,1
i gcoinne,1
patrún,1
mall,1
ionad,1
grá,1
duine,1
airgead,1
freastal,1
le feiceáil,1
bóthar,1
léarscáil,1
báisteach,1
riail,1
rialaíonn,1
tarraingt,1
fuar,1
Fógra,1
guth,1
fuinnimh,1
fiach,1
is dócha,1
leaba,1
deartháir,1
ubh,1
marcaíochta,1
cill,1
Creidim,1
b’fhéidir,1
Pioc,1
tobann,1
comhaireamh,1
cearnach,1
chúis,1
fad,1
ionadaíocht a dhéanamh,1
ealaín,1
ábhar,1
réigiún,1
méid,1
athrú,1
réiteach,1
labhairt,1
meáchan,1
ginearálta,1
oighear,1
ábhar,1
ciorcal,1
péire,1
I measc na,1
deighilt,1
siolla,1
bhraith,1
mhór,1
liathróid,1
fós,1
tonn,1
titim,1
croí,1
rn,1
i láthair,1
trom,1
rince,1
inneall,1
seasamh,1
lámh,1
ar fud an,1
seol,1
ábhar,1
chodán,1
foraoise,1
suí,1
cine,1
fuinneog,1
siopa,1
samhradh,1
traein,1
codlata,1
chruthú,1
aonaracha,1
