form,freq
sono,1
io,1
il_suo,1
che,1
lui,1
era,1
per,1
su,1
come,1
con,1
loro,1
essere,1
a,1
uno,1
avere,1
questo,1
da,1
di,1
caldo,1
parola,1
ma,1
cosa,1
alcuni,1
è,1
quello,1
voi,1
o,1
aveva,1
il,1
di,1
a,1
e,1
un,1
in,1
noi,1
lattina,1
fuori,1
altro,1
erano,1
che_/_quale,1
fare,1
loro,1
tempo,1
se,1
volontà,1
come,1
detto,1
un,1
ogni,1
dire,1
fa,1
fisso,1
tre,1
desiderare,1
aria,1
bene,1
anche,1
giocare,1
piccolo,1
fine,1
mettere,1
casa,1
leggere,1
mano,1
portare,1
grande,1
compitare,1
aggiungere,1
anche,1
terra,1
qui,1
devo,1
grande,1
alto,1
tale,1
seguire,1
atto,1
perché,1
chiedere,1
maschi,1
cambiamento,1
è_andato,1
luce,1
tipo,1
spento,1
bisogno,1
casa,1
immagine,1
provare,1
noi,1
di_nuovo,1
animale,1
punto,1
madre,1
mondo,1
vicino,1
costruire,1
se_stesso,1
terra,1
padre,1
qualsiasi,1
nuovo,1
lavoro,1
parte,1
prendere,1
ottenere,1
posto,1
fatto,1
vivere,1
dove,1
dopo,1
indietro,1
poco,1
solo,1
turno,1
uomo,1
anno,1
è_venuto,1
spettacolo,1
ogni,1
buono,1
me,1
dare,1
il_nostro,1
sotto,1
nome,1
molto,1
attraverso,1
solo,1
forma,1
frase,1
grande,1
pensare,1
dire,1
aiutare,1
basso,1
linea,1
differire,1
turno,1
causa,1
molto,1
dire,1
prima,1
spostare,1
diritto,1
ragazzo,1
vecchio,1
troppo,1
stesso,1
lei,1
tutto,1
ci,1
quando,1
su,1
uso,1
il_tuo,1
modo,1
circa,1
molti,1
allora,1
loro,1
scrivere,1
sarebbe,1
come,1
così,1
queste,1
lei,1
lungo,1
rendere,1
cosa,1
vedere,1
lui,1
due,1
ha,1
guardare,1
di_più,1
giorno,1
potuto,1
andare,1
venire,1
ha_fatto,1
numero,1
suono,1
no,1
più,1
persone,1
il_mio,1
oltre,1
sapere,1
acqua,1
di,1
chiamata,1
primo,1
che,1
può,1
giù,1
lato,1
stato,1
ora,1
trovare,1
testa,1
stare_in_piedi,1
proprio,1
pagina,1
dovrebbe,1
paese,1
fondare,1
risposta,1
scuola,1
crescere,1
studio,1
ancora,1
imparare,1
impianto,1
copertura,1
cibo,1
sole,1
quattro,1
fra,1
stato,1
mantenere,1
occhio,1
mai,1
ultimo,1
lasciare,1
pensiero,1
città,1
albero,1
attraversare,1
fattoria,1
difficile,1
inizio,1
forza,1
storia,1
sega,1
lontano,1
mare,1
disegnare,1
sinistra,1
tardi,1
run,1
non,1
mentre,1
stampa,1
close,1
notte,1
reale,1
vita,1
pochi,1
nord,1
libro,1
portare,1
ha_preso,1
scienza,1
mangiare,1
camera,1
amico,1
ha_iniziato,1
idea,1
pesce,1
montagna,1
stop,1
una_volta,1
base,1
sentire,1
cavallo,1
taglio,1
sicuro,1
orologio,1
colore,1
volto,1
legno,1
