form,freq
как,1 
Я,1 
его,1 
что,1 
он,1 
было,1 
для,1 
на,1 
являются,1 
с,1 
они,1 
быть,1 
в,1 
один,1 
иметь,1 
это,1 
от,1 
по,1 
горячий,1 
слово,1 
но,1 
что,1 
некоторые,1 
является,1 
это,1 
вы,1 
или,1 
было,1 
площадь,1 
из,1 
гора,1 
и,1 
основной,1 
взял,1 
мы,1 
может,1 
из,1 
другой,1 
были,1 
который,1 
сделать,1 
их,1 
время,1 
если,1 
будет,1 
как,1 
указанный,1 
назад,1 
каждый,1 
сказать,1 
делает,1 
набор,1 
три,1 
хочу,1 
воздух,1 
хорошо,1 
также,1 
играть,1 
небольшой,1 
конец,1 
положить,1 
домой,1 
читать,1 
рука,1 
порт,1 
большой,1 
заклинание,1 
добавлять,1 
даже,1 
земля,1 
здесь,1 
должны,1 
большой,1 
высокий,1 
такие,1 
следовать,1 
акт,1 
почему,1 
спросите,1 
люди,1 
изменение,1 
пошел,1 
свет,1 
вид,1 
от,1 
нуждаться,1 
дом,1 
картинка,1 
пытаться,1 
нам,1 
снова,1 
животных,1 
точка,1 
мать,1 
мир,1 
около,1 
строить,1 
самостоятельно,1 
земля,1 
отец,1 
любой,1 
новый,1 
работа,1 
часть,1 
принимать,1 
получать,1 
место,1 
сделал,1 
жить,1 
где,1 
после,1 
назад,1 
немного,1 
только,1 
круглый,1 
человек,1 
год,1 
пришел,1 
шоу,1 
каждый,1 
хорошее,1 
меня,1 
давать,1 
наш,1 
под,1 
название,1 
очень,1 
через,1 
просто,1 
форма,1 
приговор,1 
большой,1 
думать,1 
сказать,1 
помощь,1 
низкий,1 
линия,1 
отличаются,1 
поворот,1 
причиной,1 
много,1 
означать,1 
до,1 
движение,1 
право,1 
мальчик,1 
старый,1 
слишком,1 
же,1 
она,1 
все,1 
там,1 
когда,1 
вверх,1 
использование,1 
ваш,1 
способ,1 
о,1 
многие,1 
затем,1 
их,1 
запись,1 
бы,1 
подобно,1 
так,1 
эти,1 
ее,1 
долго,1 
сделать,1 
вещь,1 
посмотреть,1 
его,1 
два,1 
имеет,1 
искать,1 
еще,1 
день,1 
мог,1 
идти,1 
приходят,1 
сделал,1 
число,1 
звук,1 
нет,1 
наиболее,1 
люди,1 
мой,1 
над,1 
знать,1 
вода,1 
чем,1 
вызов,1 
первый,1 
кто,1 
может,1 
вниз,1 
сторона,1 
был,1 
сейчас,1 
находить,1 
руководитель,1 
стоять,1 
самостоятельно,1 
страница,1 
должны,1 
страна,1 
найдено,1 
ответ,1 
школа,1 
расти,1 
исследование,1 
еще,1 
учиться,1 
завод,1 
крышка,1 
еда,1 
солнце,1 
четыре,1 
между,1 
состояние,1 
держать,1 
глаз,1 
никогда,1 не 
Последнее,1 
позволять,1 
мысль,1 
город,1 
дерево,1 
пересекают,1 
ферма,1 
трудно,1 
начало,1 
мощи,1 
история,1 
пила,1 
далеко,1 
море,1 
привлечь,1 
слева,1 
поздно,1 
запустить,1 
не,1 
в,1 то время как 
нажмите,1 
близко,1 
ночь,1 
реальный,1 
жизнь,1 
несколько,1 
к,1 северу 
книга,1 
нести,1 
взял,1 
наука,1 
есть,1 
номер,1 
друг,1 
начал,1 
идея,1 
рыба,1 
гора,1 
остановить,1 
раз,1 
база,1 
слышать,1 
лошадь,1 
вырезать,1 
уверен,1 
смотреть,1 
цвет,1 
лицо,1 
дерево,1 
основной,1 
