form,freq
como,1
I,1
su,1
que,1
él,1
era,1
para,1
en,1
son,1
con,1
ellos,1
ser,1
en,1
uno,1
tener,1
este,1
desde,1
por,1
caliente,1
palabra,1
pero,1
qué,1
algunos,1
es,1
lo,1
usted,1
o,1
tenido,1
la,1
de,1
a,1
y,1
un,1
en,1
nos,1
lata,1
fuera,1
otros,1
eran,1
que,1
hacer,1
su,1
tiempo,1
si,1
lo_hará,1
cómo,1
dicho,1
un,1
cada,1
decir,1
hace,1
conjunto,1
tres,1
querer,1
aire,1
así,1
también,1
jugar,1
pequeño,1
fin,1
poner,1
casa,1
leer,1
mano,1
puerto,1
grande,1
deletrear,1
añadir,1
incluso,1
tierra,1
aquí,1
debe,1
grande,1
alto,1
tal,1
siga,1
acto,1
por_qué,1
preguntar,1
hombres,1
cambio,1
se_fue,1
luz,1
tipo,1
fuera,1
necesitará,1
casa,1
imagen,1
tratar,1
nosotros,1
de_nuevo,1
animal,1
punto,1
madre,1
mundo,1
cerca,1
construir,1
auto,1
tierra,1
padre,1
cualquier,1
nuevo,1
trabajo,1
parte,1
tomar,1
conseguir,1
lugar,1
hecho,1
vivir,1
donde,1
después,1
espalda,1
poco,1
sólo,1
ronda,1
hombre,1
años,1
vino,1
show,1
cada,1
buena,1
me,1
dar,1
nuestro,1
bajo,1
nombre,1
muy,1
a_través_de,1
sólo,1
forma,1
frase,1
gran,1
pensar,1
decir,1
ayudar,1
bajo,1
línea,1
ser_distinto,1
a_su_vez,,1
causa,1
mucho,1
significará,1
antes,1
movimiento,1
derecho,1
niño,1
viejo,1
demasiado,1
misma,1
ella,1
todo,1
hay,1
cuando,1
hasta,1
uso,1
su,1
camino,1
acerca,1
muchos,1
entonces,1
ellos,1
escribir,1
haría,1
como,1
así,1
éstos,1
su,1
largo,1
hacer,1
cosa,1
ver,1
él,1
dos,1
tiene,1
buscar,1
más,1
día,1
podía,1
ir,1
venir,1
hizo,1
número,1
sonar,1
no,1
más,1
personas,1
mi,1
sobre,1
saber,1
agua,1
que,1
llamada,1
primero,1
que,1
puede,1
abajo,1
lado,1
estado,1
ahora,1
encontrar,1
cabeza,1
de_pie,1
propio,1
página,1
debería,1
país,1
encontrado,1
respuesta,1
escuela,1
crecer,1
estudio,1
todavía,1
aprender,1
planta,1
cubierta,1
alimentos,1
sol,1
cuatro,1
entre,1
estado,1
mantener,1
ojo,1
nunca,1
último,1
dejar,1
pensado,1
ciudad,1
árbol,1
cruzar,1
granja,1
duro,1
inicio,1
podría,1
historia,1
sierra,1
ahora,1
mar,1
dibujar,1
izquierda,1
tarde,1
ejecutar,1
no,1
mientras,1
prensa,1
Cerrar,1
noche,1
reales,1
vida,1
pocos,1
norte,1
libro,1
llevar,1
tomó,1
ciencia,1
comer,1
habitación,1
amigo,1
comenzó,1
gusta,1
peces,1
montaña,1
Deténgase,1
una_vez,1
base_de,1
escuchar,1
caballo,1
cortada,1
seguro,1
ver,1
colores,1
cara,1
madera,1
principal,1
abierta,1
parecer,1
juntos,1
próximo,1
blanco,1
niños,1
comenzar,1
conseguido,1
caminar,1
ejemplo,1
aliviar,1
vista,1
papel,1
grupo,1
siempre,1
música,1
los,1
ambos,1
marca,1
menudo,1
carta,1
hasta,1
milla,1
río,1
coche,1
pies,1
cuidado,1
segundo,1
suficiente,1
llano,1
chica,1
habitual,1
joven,1
listo,1
por_encima_de,1
nunca,1
rojo,1
lista,1
aunque,1
sentir,1
charla,1
pájaro,1
pronto,1
cuerpo,1
perro,1
familia,1
directa,1
plantear,1
dejar,1
canción,1
medir,1
puerta,1
producto,1
negro,1
corto,1
numeral,1
clase,1
viento,1
pregunta,1
suceder,1
completo,1
buque,1
zona,1
medio,1
roca,1
orden,1
fuego,1
sur,1
problema,1
pieza,1
dicho,1
sabía,1
pasar,1
desde,1
cima,1
todo,1
rey,1
calle,1
pulgadas,1
multiplicar,1
nada,1
curso,1
quedarse,1
rueda,1
completo,1
fuerza,1
azul,1
objeto,1
decidir,1
superficie,1
profunda,1
luna,1
isla,1
pie,1
sistema,1
ocupado,1
prueba,1
registro,1
barco,1
común,1
oro,1
posible,1
plano,1
lugar,1
seco,1
maravilla,1
risa,1
mil,1
hace,1
corrió,1
comprobar,1
juego,1
forma,1
equiparar,1
caliente,1
señorita,1
traído,1
calor,1
nieve,1
neumáticos,1
traer,1
sí,1
distante,1
llenar,1
al_este,1
pintar,1
idioma,1
entre,1
unidad,1
potencia,1
ciudad,1
fina,1
cierto,1
volar,1
caer,1
conducir,1
grito,1
oscuro,1
máquina,1
nota,1
espere,1
plan_de,1
figura,1
estrella,1
caja,1
sustantivo,1
campo,1
resto,1
correcta,1
capaz,1
libra,1
hecho,1
belleza,1
unidad,1
destacado,1
contener,1
delante,1
enseñar,1
semana,1
último,1
dio,1
verde,1
oh,1
rápido,1
desarrollar,1
océano,1
caliente,1
libre,1
minuto,1
fuerte,1
especial,1
mente,1
detrás,1
claro,1
cola,1
Produce,1
hecho,1
espacio,1
oído,1
mejor,1
horas,1
mejor,1
verdadero,1
durante,1
cien,1
cinco,1
recordar,1
paso,1
temprana,1
mantenga,1
oeste,1
suelo,1
interés,1
llegar,1
rápido,1
verbo,1
cantar,1
escuchar,1
seis,1
mesa,1
viajes,1
menos,1
mañana,1
diez,1
sencilla,1
varios,1
vocal,1
hacia,1
guerra,1
sentar,1
contra,1
patrón,1
lenta,1
centro,1
amar,1
persona,1
dinero,1
servir,1
aparecerá,1
carretera,1
mapa,1
lluvia,1
regla,1
gobernar,1
Halar,1
frío,1
aviso,1
voz,1
energía,1
caza,1
probable,1
cama,1
hermano,1
huevo,1
paseo,1
celular,1
creer,1
quizás,1
recoger,1
repentina,1
contar,1
plaza,1
razón,1
longitud,1
representar,1
arte,1
sujeto,1
región,1
tamaño,1
variar,1
resolver,1
hablar,1
peso,1
general,1
hielo,1
materia,1
círculo,1
par,1
incluir,1
brecha,1
sílaba,1
sentido,1
gran,1
bola,1
aún,1
ola,1
caer,1
corazón,1
am,1
presente,1
pesada,1
danza,1
motor,1
posición,1
brazo,1
amplio,1
vela,1
materiales,1
fracción,1
bosque,1
sentarse,1
carrera,1
ventana,1
tienda,1
verano,1
tren,1
sueño,1
demostrar,1
solitario,1
pierna,1
ejercicio,1
pared,1
capturas,1
monte,1
desear,1
cielo,1
bordo,1
alegría,1
invierno,1
satélite,1
escrito,1
salvaje,1
instrumento,1
guardado,1
vidrio,1
hierba,1
vaca,1
trabajo,1
borde,1
signo,1
visita,1
pasado,1
suave,1
diversión,1
brillante,1
gas,1
tiempo,1
mes,1
millones,1
soportar,1
acabado,1
feliz,1
esperanza,1
flor,1
vestir,1
extraño,1
se_ha_ido,1
comercio,1
melodía,1
viaje,1
oficina,1
recibir,1
fila,1
boca,1
exacta,1
símbolo,1
morir,1
menos,1
problema,1
grito,1
excepto,1
escribió,1
semilla,1
tono,1
unirse,1
sugerir,1
limpia,1
rotura,1
dama,1
patio,1
aumentando,1
mal,1
golpe,1
aceite,1
sangre,1
tocar,1
creció,1
ciento,1
mezclar,1
equipo,1
alambre,1
costo,1
perdido,1
marrón,1
desgaste,1
jardín,1
igual,1
enviado,1
elegir,1
cayó,1
encajar,1
fluir,1
justo,1
banco,1
recoger,1
guardar,1
el_control,1
decimal,1
oído,1
demás,1
bastante,1
rompió,1
caso,1
medio,1
matar,1
hijo,1
lago,1
momento,1
escala,1
fuerte,1
primavera,1
observar,1
niño,1
recta,1
consonante,1
nación,1
diccionario,1
leche,1
velocidad,1
método,1
órgano,1
pagar,1
edad,1
sección,1
vestido,1
nube,1
sorpresa,1
tranquila,1
piedra,1
pequeño,1
ascenso,1
fresco,1
diseño,1
pobre,1
mucho,1
experimento,1
inferior,1
clave,1
hierro,1
sola,1
palillo,1
plana,1
veinte,1
piel,1
sonrisa,1
pliegue,1
agujero,1
saltar,1
bebé,1
ocho,1
pueblo,1
se_reúnen,1
raíz,1
comprar,1
aumentar,1
resolver,1
de_metal,1
si,1
empujar,1
siete,1
párrafo,1
tercero,1
deberá,1
en_espera,1
pelo,1
describir,1
cocinero,1
piso,1
ya_sea,1
resultado,1
quemar,1
colina,1
seguro,1
gato,1
siglo,1
considerar,1
tipo,1
ley,1
bit,1
costa,1
copia,1
frase,1
silencio,1
de_altura,1
arena,1
suelo,1
rollo,1
temperatura,1
dedo,1
industria,1
valor,1
lucha,1
mentira,1
batir,1
excitar,1
naturales,1
vista,1
sentido,1
de_capital,1
no_lo_hará,1
silla,1
peligro,1
fruta,1
