form,freq
a,1
adui,1
aina,1
ajabu,1
akaanguka,1
akaenda,1
akaonekana,1
akili,1
alama,1
aliandika,1
alianza,1
alichukua,1
alifanya,1
alijua,1
alikuja,1
alikuwa,1
alimtuma,1
alisema,1
alisimama,1
alitoa,1
aliyezaliwa,1
ama,1
ambao,1
ambapo,1
ambayo,1
ameketi,1
amini,1
anga,1
angalau,1
ardhi,1
asili,1
askari,1
asubuhi,1
atakuwa,1
athari,1
au,1
awali,1
aya,1
baada,1
baadhi,1
baba,1
badala,1
bado,1
bahari,1
bandari,1
bara,1
barabara,1
barafu,1
baridi,1
barua,1
basi,1
bata,1
bega,1
bendi,1
benki,1
biashara,1
bidhaa,1
binadamu,1
binafsi,1
bluu,1
bodi,1
bonde,1
bora,1
bunduki,1
bure,1
bustani,1
chache,1
chakula,1
chama,1
chati,1
chembe,1
chemchemi,1
chini,1
chochote,1
chombo,1
chuma,1
chumba,1
chumvi,1
chupa,1
daima,1
dakika,1
daktari,1
damu,1
darasa,1
dhahabu,1
dirisha,1
doa,1
dola,1
duka,1
dunia,1
elfu,1
eneo,1
faini,1
familia,1
farasi,1
fedha,1
fimbo,1
furaha,1
ganda,1
gani,1
gari,1
gesi,1
ghafla,1
gharama,1
giza,1
gumzo,1
gurudumu,1
habari,1
hadithi,1
haja,1
haki,1
hakuna,1
hali,1
halisi,1
hapa,1
haraka,1
harufu,1
hasa,1
hasira,1
hata,1
hatari,1
hatua,1
hawakupata,1
haya,1
hewa,1
hii,1
historia,1
hivyo,1
hofu,1
hoja,1
hotuba,1
huduma,1
huko,1
hukumu,1
hutegemea,1
ijayo,1
ila,1
ilani,1
ili,1
iliyopita,1
imeandikwa,1
imekuwa,1
ina,1
inaweza,1
inchi,1
ingawa,1
ingekuwa,1
injini,1
ishara,1
ishirini,1
itaonekana,1
iwezekanavyo,1
jambo,1
jangwa,1
jibu,1
jicho,1
jina,1
jinsi,1
jioni,1
jirani,1
jiwe,1
joto,1
jozi,1
jua,1
jumla,1
juu,1
kabisa,1
kadhaa,1
kadi,1
kahawia,1
kama,1
kamba,1
kambi,1
kamili,1
kampuni,1
kamusi,1
kamwe,1
kanda,1
kanzu,1
karatasi,1
karibu,1
kasi,1
kaskazini,1
kata,1
katika,1
katikati,1
kavu,1
kawaida,1
kazi,1
kelele,1
kengele,1
kesi,1
kiasi,1
kiatu,1
kichwa,1
kidogo,1
kidole,1
kifaranga,1
kifo,1
kiini,1
kijani,1
kijiji,1
kijivu,1
kila,1
kilima,1
kilio,1
kimya,1
kina,1
kinyume,1
kinywa,1
kioo,1
kipande,1
kipengele,1
kipindi,1
kisasa,1
kisha,1
kisiwa,1
kitabu,1
kitanda,1
kitenzi,1
kiti,1
kitu,1
kofia,1
koloni,1
kona,1
kuacha,1
kuamua,1
kuandaa,1
kuandika,1
kuangalia,1
kuanguka,1
kuanza,1
kubeba,1
kubuni,1
kubwa,1
kuchagua,1
kuchanganya,1
kucheka,1
kucheza,1
kuchochea,1
kuchoma,1
kuchukua,1
kuchunguza,1
kudhibiti,1
kuelekea,1
kuelezea,1
kuendelea,1
kuendeleza,1
kuenea,1
kufa,1
kufanya,1
kufikia,1
kufikiri,1
kufikiria,1
kufuata,1
kufuatilia,1
kufufuka,1
kufundisha,1
kugusa,1
kuhesabu,1
kuhifadhi,1
kuhusu,1
kuimba,1
kuingia,1
kuingizwa,1
kuinua,1
kuishi,1
kuja,1
kujadili,1
kujaribu,1
kujaza,1
kujenga,1
kujifunza,1
kujua,1
kukaa,1
kukamata,1
kukimbia,1
kukua,1
kukubaliana,1
kukusanya,1
kukutana,1
kula,1
kuleta,1
kuletwa,1
kuliko,1
kulinda,1
kulipa,1
kulisha,1
kumaliza,1
kumbuka,1
kumi,1
kundi,1
kununua,1
kununuliwa,1
kunyoosha,1
kunywa,1
kuogelea,1
kuokoa,1
kuona,1
kuondoka,1
kuongeza,1
kuongoza,1
kuongozwa,1
kupambana,1
kupanda,1
kupanga,1
kupata,1
kupatikana,1
kupendekeza,1
kupima,1
kupita,1
kupitia,1
kupokea,1
kupunguza,1
kurudia,1
kuruhusu,1
kuruka,1
kusababisha,1
kusema,1
