form,freq
olarak,1
ben,1
onun,1
bu,1
diye,1
oldu,1
için,1
üzerinde,1
vardır,1
ile,1
onlar,1
olmak,1
at,1
bir,1
var,1
Bu,1
dan,1
tarafından,1
sıcak,1
kelime,1
ancak,1
ne,1
bazı,1
olduğunu,1
o,1
sen,1
veya,1
vardı,1

arasında,1
karşı,1
ve,1
bir,1
içinde,1
biz,1
can,1
üzerinden,1
diğer,1
vardı,1
hangi,1
do,1
onların,1
zaman,1
eğer,1
olacak,1
nasıl,1
dedi,1
bir,1
her,1
söyle,1
yok,1
set,1
üç,1
istiyorum,1
hava,1
iyi,1
ayrıca,1
oynamak,1
küçük,1
son,1
koymak,1
ev,1
okumak,1
el,1
liman,1
büyük,1
büyü,1
ekleyin,1
hatta,1
arazi,1
burada,1
gerekir,1
büyük,1
yüksek,1
böyle,1
izleyin,1
hareket,1
neden,1
sormak,1
erkekler,1
değişim,1
gitti,1
ışık,1
tür,1
kapalı,1
gerek,1
ev,1
resim,1
denemek,1
bizi,1
tekrar,1
hayvan,1
nokta,1
anne,1
dünya,1
yakın,1
inşa_etmek,1
öz,1
toprak,1
baba,1
herhangi_bir,1
yeni,1
iş,1
bölüm,1
almak,1
olsun,1
yer,1
yapılan,1
canlı,1
nerede,1
sonra,1
geri,1
küçük,1
sadece,1
yuvarlak,1
adam,1
yıl,1
geldi,1
gösterisi,1
her,1
iyi,1
bana,1
vermek,1
bizim,1
altında,1
adı,1
çok,1
ile,1
sadece,1
formu,1
cümle,1
büyük,1
düşünmek,1
demek,1
yardım,1
düşük,1
hat,1
farklı,1
dönüş,1
neden,1
çok,1
Yani,1
önce,1
hareket,1
sağ,1
çocuk,1
eski,1
çok,1
aynı,1
diye,1
tüm,1
orada,1
zaman,1
yukarı,1
Kullanım,1
senin,1
yol,1
hakkında,1
birçok,1
o_zaman,1
onları,1
yazmak,1
would,1
gibi,1
bu_yüzden,1
bu,1
onu,1
uzun,1
yapmak,1
şey,1
görmek,1
onu,1
iki,1
var,1
bak,1
daha_fazla,1
gün,1
olabilir,1
gitmek,1
gel,1
yaptım,1
numarası,1
ses,1
hayır,1
en,1
insanlar,1
benim,1
üzerinde,1
bilmek,1
su,1
daha,1
çağrı,1
ilk,1
kim,1
may,1
aşağı,1
yan,1
oldu,1
Şimdi,1
bulmak,1
kafa,1
standı,1
kendi,1
sayfa,1
gerekir,1
ülke,1
bulundu,1
cevap,1
okul,1
büyümek,1
çalışma,1
hala,1
öğrenmek,1
bitki,1
kapak,1
gıda,1
güneş,1
dört,1
arasında,1
devlet,1
tutmak,1
göz,1
asla,1
son,1
let,1
düşünce,1
Şehir,1
ağaç,1
çapraz,1
çiftlik,1
sert,1
başlangıç,1
olabilir,1
hikaye,1
testere,1
kadar,1
deniz,1
çizmek,1
sol,1
geç,1
run,1
yapamaz,1
süre,1
basın,1
yakın,1
gece,1
gerçek,1
hayat,1
az,1
kuzey,1
kitap,1
taşımak,1
aldı,1
bilim,1
yemek,1
oda,1
arkadaşı,1
başladı,1
fikir,1
balık,1
dağ,1
dur,1
bir_kez,1
