form,freq
fel,1
yr wyf yn,1
ei,1
bod,1
ef,1
oedd,1
gyfer,1
ar,1
yn,1
gyda,1
maent,1
fod yn,1
yn,1
un,1
wedi,1
hwn,1
o,1
gan,1
poeth,1
gair,1
ond,1
beth,1
rhai,1
yw,1
mae’n,1
chi,1
neu,1
Roedd gan,1
â’r,1
yr,1
i’r,1
a’r,1
mae,1
yn,1
rydym,1
gall,1
allan,1
arall,1
Roedd,1
sy’n,1
wneud,1
eu,1
amser,1
os,1
bydd,1
sut,1
Dywedodd,1
mae,1
pob un,1
dweud,1
gwneud,1
set,1
tri,1
eisiau,1
aer,1
yn dda,1
hefyd,1
chwarae,1
bach,1
pen,1
rhoi,1
cartref,1
darllen,1
llaw,1
porthladd,1
mawr,1
sillafu,1
ychwanegu,1
hyd yn oed,1
tir,1
yma,1
rhaid,1
mawr,1
uchel,1
fath,1
dilyn,1
gweithredu,1
pam,1
gofyn,1
dynion,1
newid,1
aeth,1
golau,1
fath,1
off,1
angen,1
tŷ,1
llun,1
ceisiwch,1
ni,1
eto,1
anifail,1
pwynt,1
mam,1
byd,1
ger,1
adeiladu,1
hunan,1
ddaear,1
tad,1
unrhyw,1
newydd,1
gwaith,1
rhan,1
cymryd,1
cael,1
lle,1
wnaed,1
byw,1
lle,1
ar ôl,1
yn ôl,1
bach,1
yn unig,1
rownd,1
dyn,1
flwyddyn,1
Daeth,1
sioe,1
bob,1
dda,1
mi,1
rhoi,1
ein,1
o dan,1
enw,1
iawn,1
trwy,1
yn unig,1
ffurflen,1
dedfryd,1
mawr,1
meddwl,1
dweud,1
helpu,1
isel,1
llinell,1
yn wahanol,1
dro,1
achos,1
llawer,1
golygu,1
cyn,1
symud,1
hawl,1
bachgen,1
oed,1
rhy,1
un fath,1
hi,1
gyd,1
yno,1
pan,1
i fyny,1
defnydd,1
eich,1
ffordd,1
tua,1
llawer,1
yna,
nhw,1
ysgrifennu,1
byddai,1
hoffi,1
felly,1
rhain,1
hi,1
hir,1
gwneud,1
beth,1
gweld,1
iddo,1
dau,1
Mae gan,1
edrych,1
mwy,1
diwrnod,1
gallai,1
fynd,1
dod,1
wnaeth,1
rhif,1
sain,1
dim,1
y rhan fwyaf,1
pobl,1
fy,1
dros,1
gwybod,1
dŵr,1
nag,1
alwad,1
yn gyntaf,1
pwy,1
gall,1
i lawr,1
ochr,1
bod,1
awr,1
dod o hyd i,1
pen,1
sefyll,1
eu hunain,1
dudalen,1
Dylai,1
gwlad,1
dod o hyd i,1
ateb,1
ysgol,1
tyfu,1
astudiaeth,1
dal,1
dysgu,1
planhigion,1
clawr,1
bwyd,1
haul,1
pedwar,1
rhwng,1
cyflwr,1
cadw,1
llygad,1
byth,1
diwethaf,1
gadewch,1
meddwl,1
ddinas,1
goeden,1
croesi,1
fferm,1
caled,1
cychwyn,1
allai,1
stori,1
welodd,1
yn hyn,1
môr,1
tynnu,1
Gadawodd,1
hwyr,1
rhedeg,1
peidiwch â,1
tra,1
wasg,1
agos,1
nos,1
go iawn,1
bywyd,1
ychydig,1
gogledd,1
llyfr,1
cario,1
cymerodd,1
gwyddoniaeth,1
bwyta,1
ystafell,1
ffrind,1
dechreuodd,1
syniad,1
pysgod,1
mynydd,1
rhoi’r gorau i,1
unwaith,1
sylfaen,1
clywed,1
ceffyl,1
torri,1
siwr,1
gwylio,1
lliw,1
wyneb,1
pren,1
prif,1
agored,1
ymddangos,1
gyda’i gilydd,1
nesaf,1
gwyn,1
plant,1
dechrau,1
got,1
cerdded,1
enghraifft,1
leddfu,1
papur,1
grŵp,1
bob amser,1
cerddoriaeth,1
y rhai,1
