word,freq,english,german,sound,spell
æbəhəlimə,1,1,0,1,0
ædmaɪə,1,1,0,1,0
ædmɪʃən,1,1,0,1,0
ædvæntɪdʒ,1,1,0,1,0
ædvaɪs,1,1,0,1,0
ædvaɪz,1,1,0,1,0
ædvɛntʃəɹ,1,1,0,1,0
ædvɜɹtəzmənt,1,1,0,1,0
æksɛpt,1,1,0,1,0
æksɛptəbl,1,1,0,1,0
æktɪvɪtɪ,1,1,0,1,0
æktɪvɪtɪz,1,1,0,1,0
ælɡoʊmə,1,1,0,1,0
æmbɪʃən,1,1,0,1,0
æmbɪʃəs,1,1,0,1,0
ænælɪsɪs,1,1,0,1,0
æŋzaɪətɪ,1,1,0,1,0
æbsəlut,1,1,0,1,0
æbsəns,1,1,0,1,0
æbsənt,1,1,0,1,0
æbəɹt,1,1,0,1,0
æd,1,1,0,1,0
ædvəɹb,1,1,0,1,0
ædvəɹsɛɹɪz,1,1,0,1,0
ædvəɹtaɪz,1,1,0,1,0
ædɪd,1,1,0,1,0
ædəmstaʊn,1,1,0,1,0
ædʒɪktɪv,1,1,0,1,0
ædɹɛs,1,1,0,1,0
æftəɹ,1,1,0,1,0
æftəɹwəɹdz,1,1,0,1,0
æfɹɪkə,1,1,0,1,0
æks,1,1,0,1,0
æksədənt,1,1,0,1,0
æksɛs,1,1,0,1,0
ækt,1,1,0,1,0
æktɪv,1,1,0,1,0
æktəɹ,1,1,0,1,0
æktʃuəlɪ,1,1,0,1,0
æktɹəs,1,1,0,1,0
æktʃəwəl,1,1,0,1,0
æktʃʊwəl,1,1,0,1,0
ækʃən,1,1,0,1,0
ælbəm,1,1,0,1,0
ælbəɹn,1,1,0,1,0
ælfə,1,1,0,1,0
ælfəbɛt,1,1,0,1,0
ælkəhɑl,1,1,0,1,0
æm,1,1,0,1,0
æmɹə,1,1,0,1,0
æn,1,1,0,1,0
ænd,1,1,0,1,0
ænsəɹ,1,1,0,1,0
ænt,1,1,0,1,0
ænyuəl,1,1,0,1,0
ænəməl,1,1,0,1,0
ænəməlz,1,1,0,1,0
æpl,1,1,0,1,0
æplz,1,1,0,1,0
æplɪŋ,1,1,0,1,0
æpəɹtʃəɹ,1,1,0,1,0
æsk,1,1,0,1,0
æskt,1,1,0,1,0
æskɪŋ,1,1,0,1,0
æsɪd,1,1,0,1,0
æt,1,1,0,1,0
ætəm,1,1,0,1,0
ævənu,1,1,0,1,0
ævɛɹɪdʒ,1,1,0,1,0
awəɹz,1,1,0,1,0
awəɹɡlæsɪz,1,1,0,1,0
æz,1,1,0,1,0
æʃ,1,1,0,1,0
æŋkl,1,1,0,1,0
æŋkʃəs,1,1,0,1,0
æʃlaɪn,1,1,0,1,0
æŋɡl,1,1,0,1,0
æɹəʊ,1,1,0,1,0
æɡɹɪkʌltʃəɹ,1,1,0,1,0
æŋɡəɹ,1,1,0,1,0
æŋɡɹɪ,1,1,0,1,0
æbsəlutlɪ,1,1,0,1,0
ædməɹeɪʃən,1,1,0,1,0
æftəɹnun,1,1,0,1,0
æluvɪəm,1,1,0,1,0
æntifʌŋɡəl,1,1,0,1,0
æpləkeɪʃən,1,1,0,1,0
æpləkeɪʃənz,1,1,0,1,0
æpəɹætəs,1,1,0,1,0
aɪdiə,1,1,0,1,0
aɪdiəz,1,1,0,1,0
aɪdɛntəfaɪ,1,1,0,1,0
aɪdɪəl,1,1,0,1,0
aʊtɹeɪdʒəs,1,1,0,1,0
aɪtɪnəɹɛɹɪz,1,1,0,1,0
aʊəɹsɛlvz,1,1,0,1,0
aɪ,1,1,0,1,0
aɪdl,1,1,0,1,0
aɪlənd,1,1,0,1,0
aɪləndz,1,1,0,1,0
aɪlɪts,1,1,0,1,0
aɪlɪd,1,1,0,1,0
aɪm,1,1,0,1,0
aʊns,1,1,0,1,0
aʊnsɪz,1,1,0,1,0
aɪs,1,1,0,1,0
aɪsɪ,1,1,0,1,0
aɪsəl,1,1,0,1,0
aʊtdɔɹz,1,1,0,1,0
aʊtdɔɹ,1,1,0,1,0
aʊtsaɪd,1,1,0,1,0
aʊtwəɹd,1,1,0,1,0
aʊt,1,1,0,1,0
aʊtlaɪn,1,1,0,1,0
aʊtʃ,1,1,0,1,0
aɪtəm,1,1,0,1,0
aʊtəɹ,1,1,0,1,0
aɪv,1,1,0,1,0
aɪz,1,1,0,1,0
aɪzənbəɹɡ,1,1,0,1,0
aɪəmz,1,1,0,1,0
aɪən,1,1,0,1,0
aʊəɹ,1,1,0,1,0
aʊəɹz,1,1,0,1,0
aʊɹlɪ,1,1,0,1,0
aɪəʊs,1,1,0,1,0
aɪdɪɑlədʒəst,1,1,0,1,0
aɪslændɛə,1,1,0,1,0
bæktiɹɪə,1,1,0,1,0
bæd,1,1,0,1,0
bædnəs,1,1,0,1,0
bækslæpɪŋ,1,1,0,1,0
bækwəɹd,1,1,0,1,0
bækwəɹdz,1,1,0,1,0
bækɡɹaʊnd,1,1,0,1,0
bæk,1,1,0,1,0
bæləns,1,1,0,1,0
bænd,1,1,0,1,0
bænəstəɹ,1,1,0,1,0
bænɪʃmənt,1,1,0,1,0
bæskɛt,1,1,0,1,0
bætl,1,1,0,1,0
bæɡ,1,1,0,1,0
bæθ,1,1,0,1,0
bæŋk,1,1,0,1,0
bæɡɪdʒ,1,1,0,1,0
bæɹəl,1,1,0,1,0
bæɹən,1,1,0,1,0
bæɹɪɡəɹ,1,1,0,1,0
bæŋkəmɛɹɪkə,1,1,0,1,0
baɪæksɪəl,1,1,0,1,0
baɪɑlədʒɪ,1,1,0,1,0
baʊ,1,1,0,1,0
baɪ,1,1,0,1,0
baɪnd,1,1,0,1,0
baʊnd,1,1,0,1,0
baʊndəɹɪ,1,1,0,1,0
baɪsɪkəl,1,1,0,1,0
baɪt,1,1,0,1,0
baɪtləɹ,1,1,0,1,0
baʊəlz,1,1,0,1,0
baɪpoʊləɹ,1,1,0,1,0
beɪ,1,1,0,1,0
beɪbɪ,1,1,0,1,0
beɪk,1,1,0,1,0
beɪlvə,1,1,0,1,0
beɪs,1,1,0,1,0
beɪst,1,1,0,1,0
beɪsɪk,1,1,0,1,0
beɪsɪkəlɪ,1,1,0,1,0
beɪsɪn,1,1,0,1,0
beɪsɪnz,1,1,0,1,0
beɪsɪs,1,1,0,1,0
beɪsɪɹ,1,1,0,1,0
beɪð,1,1,0,1,0
beɪðɪŋ,1,1,0,1,0
beɪʒ,1,1,0,1,0
beɪənɛts,1,1,0,1,0
bi,1,1,0,1,0
bik,1,1,0,1,0
bim,1,1,0,1,0
bin,1,1,0,1,0
bist,1,1,0,1,0
bit,1,1,0,1,0
bitl,1,1,0,1,0
bitɔvɛn,1,1,0,1,0
biɪŋ,1,1,0,1,0
blæk,1,1,0,1,0
blækhəm,1,1,0,1,0
blæst,1,1,0,1,0
blaɪndsaɪdɪd,1,1,0,1,0
blaɪnd,1,1,0,1,0
bleɪd,1,1,0,1,0
bleɪm,1,1,0,1,0
blid,1,1,0,1,0
blim,1,1,0,1,0
bloʊ,1,1,0,1,0
blu,1,1,0,1,0
blumənθɔl,1,1,0,1,0
bluθ,1,1,0,1,0
blʌd,1,1,0,1,0
blɑk,1,1,0,1,0
blɛs,1,1,0,1,0
blɔɪəɹ,1,1,0,1,0
boʊæz,1,1,0,1,0
boʊdɪ,1,1,0,1,0
boʊl,1,1,0,1,0
boʊld,1,1,0,1,0
boʊlt,1,1,0,1,0
boʊn,1,1,0,1,0
boʊst,1,1,0,1,0
boʊt,1,1,0,1,0
boʊθ,1,1,0,1,0
bun,1,1,0,1,0
but,1,1,0,1,0
byutɪ,1,1,0,1,0
byutɪfəl,1,1,0,1,0
byuɡlz,1,1,0,1,0
byɜɹk,1,1,0,1,0
bɪfɔɹ,1,1,0,1,0
bɪhaɪnd,1,1,0,1,0
bɪheɪv,1,1,0,1,0
bɪheɪvyəɹ,1,1,0,1,0
