word,freq,english,german,sound,spell
a,1,1,0,0,1
abert,1,1,0,0,1
ability,1,1,0,0,1
able,1,1,0,0,1
abo's,1,1,0,0,1
abohalima,1,1,0,0,1
about,1,1,0,0,1
above,1,1,0,0,1
abroad,1,1,0,0,1
absence,1,1,0,0,1
absent,1,1,0,0,1
absolute,1,1,0,0,1
absolutely,1,1,0,0,1
abyss,1,1,0,0,1
accept,1,1,0,0,1
acceptable,1,1,0,0,1
access,1,1,0,0,1
accession,1,1,0,0,1
accident,1,1,0,0,1
accord,1,1,0,0,1
accordance,1,1,0,0,1
accorded,1,1,0,0,1
according,1,1,0,0,1
account,1,1,0,0,1
accuse,1,1,0,0,1
accustom,1,1,0,0,1
ache,1,1,0,0,1
achieve,1,1,0,0,1
acid,1,1,0,0,1
acorn,1,1,0,0,1
across,1,1,0,0,1
act,1,1,0,0,1
action,1,1,0,0,1
active,1,1,0,0,1
activities,1,1,0,0,1
activity,1,1,0,0,1
actor,1,1,0,0,1
actress,1,1,0,0,1
actual,1,1,0,0,1
actual,1,1,0,0,1
actually,1,1,0,0,1
adamstown,1,1,0,0,1
add,1,1,0,0,1
added,1,1,0,0,1
addition,1,1,0,0,1
additional,1,1,0,0,1
address,1,1,0,0,1
ader,1,1,0,0,1
adjective,1,1,0,0,1
admiration,1,1,0,0,1
admire,1,1,0,0,1
admission,1,1,0,0,1
admit,1,1,0,0,1
admittance,1,1,0,0,1
adopt,1,1,0,0,1
adoption,1,1,0,0,1
adora,1,1,0,0,1
adult,1,1,0,0,1
advance,1,1,0,0,1
advantage,1,1,0,0,1
adventure,1,1,0,0,1
adverb,1,1,0,0,1
adversaries,1,1,0,0,1
advertise,1,1,0,0,1
advertisement,1,1,0,0,1
advice,1,1,0,0,1
advise,1,1,0,0,1
affair,1,1,0,0,1
affect,1,1,0,0,1
afford,1,1,0,0,1
afraid,1,1,0,0,1
africa,1,1,0,0,1
after,1,1,0,0,1
afternoon,1,1,0,0,1
afterwards,1,1,0,0,1
again,1,1,0,0,1
against,1,1,0,0,1
age,1,1,0,0,1
agency,1,1,0,0,1
agent,1,1,0,0,1
ago,1,1,0,0,1
agree,1,1,0,0,1
agreement,1,1,0,0,1
agriculture,1,1,0,0,1
ahead,1,1,0,0,1
aidan,1,1,0,0,1
aim,1,1,0,0,1
air,1,1,0,0,1
aircraft,1,1,0,0,1
airforce,1,1,0,0,1
airplane,1,1,0,0,1
airport,1,1,0,0,1
airpower,1,1,0,0,1
akin,1,1,0,0,1
albern,1,1,0,0,1
albright's,1,1,0,0,1
album,1,1,0,0,1
alcohol,1,1,0,0,1
algoma,1,1,0,0,1
alike,1,1,0,0,1
alive,1,1,0,0,1
all,1,1,0,0,1
allow,1,1,0,0,1
allowance,1,1,0,0,1
allowed,1,1,0,0,1
allows,1,1,0,0,1
alluvium,1,1,0,0,1
almost,1,1,0,0,1
alone,1,1,0,0,1
along,1,1,0,0,1
alongi,1,1,0,0,1
aloud,1,1,0,0,1
alpha,1,1,0,0,1
alphabet,1,1,0,0,1
already,1,1,0,0,1
also,1,1,0,0,1
although,1,1,0,0,1
altogether,1,1,0,0,1
always,1,1,0,0,1
am,1,1,0,0,1
aman,1,1,0,0,1
amazing,1,1,0,0,1
ambition,1,1,0,0,1
ambitious,1,1,0,0,1
america,1,1,0,0,1
american,1,1,0,0,1
among,1,1,0,0,1
amongst,1,1,0,0,1
amount,1,1,0,0,1
amre,1,1,0,0,1
amuse,1,1,0,0,1
amusement,1,1,0,0,1
amusing,1,1,0,0,1
an,1,1,0,0,1
analysis,1,1,0,0,1
ancient,1,1,0,0,1
and,1,1,0,0,1
and,1,1,0,0,1
anger,1,1,0,0,1
angle,1,1,0,0,1
angry,1,1,0,0,1
animal,1,1,0,0,1
animals,1,1,0,0,1
ankle,1,1,0,0,1
announce,1,1,0,0,1
annoy,1,1,0,0,1
annoyance,1,1,0,0,1
annual,1,1,0,0,1
another,1,1,0,0,1
answer,1,1,0,0,1
ant,1,1,0,0,1
antifungal,1,1,0,0,1
anxiety,1,1,0,0,1
anxious,1,1,0,0,1
any,1,1,0,0,1
anybody,1,1,0,0,1
anyhow,1,1,0,0,1
anyone,1,1,0,0,1
anything,1,1,0,0,1
anyway,1,1,0,0,1
anywhere,1,1,0,0,1
apart,1,1,0,0,1
aperture,1,1,0,0,1
apology,1,1,0,0,1
apparatus,1,1,0,0,1
appear,1,1,0,0,1
appearance,1,1,0,0,1
applaud,1,1,0,0,1
applause,1,1,0,0,1
apple,1,1,0,0,1
apples,1,1,0,0,1
application,1,1,0,0,1
applications,1,1,0,0,1
appling,1,1,0,0,1
apply,1,1,0,0,1
appoint,1,1,0,0,1
approach,1,1,0,0,1
approval,1,1,0,0,1
approve,1,1,0,0,1
april,1,1,0,0,1
arabe,1,1,0,0,1
arch,1,1,0,0,1
are,1,1,0,0,1
area,1,1,0,0,1
areas,1,1,0,0,1
arechiga,1,1,0,0,1
argue,1,1,0,0,1
argues,1,1,0,0,1
argument,1,1,0,0,1
arise,1,1,0,0,1
arises,1,1,0,0,1
arm,1,1,0,0,1
armor,1,1,0,0,1
arms,1,1,0,0,1
army,1,1,0,0,1
arnelle's,1,1,0,0,1
around,1,1,0,0,1
arrange,1,1,0,0,1
arrangement,1,1,0,0,1
arrest,1,1,0,0,1
arrival,1,1,0,0,1
arrive,1,1,0,0,1
arrow,1,1,0,0,1
art,1,1,0,0,1
article,1,1,0,0,1
article,1,1,0,0,1
articulate,1,1,0,0,1
artificial,1,1,0,0,1
artist,1,1,0,0,1
as,1,1,0,0,1
ash,1,1,0,0,1
ashamed,1,1,0,0,1
ashline,1,1,0,0,1
aside,1,1,0,0,1
ask,1,1,0,0,1
asked,1,1,0,0,1
asking,1,1,0,0,1
asleep,1,1,0,0,1
assemble,1,1,0,0,1
assembles,1,1,0,0,1
assisted,1,1,0,0,1
associate,1,1,0,0,1
associated,1,1,0,0,1
association,1,1,0,0,1
astonish,1,1,0,0,1
at,1,1,0,0,1
atom,1,1,0,0,1
attack,1,1,0,0,1
attempt,1,1,0,0,1
attend,1,1,0,0,1
attendance,1,1,0,0,1
attending,1,1,0,0,1
