word,freq,english,german,sound,spell
antvɔʁt,1,0,1,1,0
antvɔʁtn,1,0,1,1,0
aɔfʃtiːk,1,0,1,1,0
aɔftsuːk,1,0,1,1,0
aɔɡŋblɪk,1,0,1,1,0
aɔsɐ,1,0,1,1,0
aɔsdʁʊk,1,0,1,1,0
aphɛŋen,1,0,1,1,0
apʃnɪt,1,0,1,1,0
apvaɛçn,1,0,1,1,0
aʁbaɛt,1,0,1,1,0
eːɐ,1,0,1,1,0
ɐfɔʁdɐlɪç,1,0,1,1,0
ɐfɔʁdɐn,1,0,1,1,0
ɐlaɔbm,1,0,1,1,0
ɐʁaɛçn,1,0,1,1,0
ɐʃaɛnən,1,0,1,1,0
aːbɐ,1,0,1,1,0
aːbmt,1,0,1,1,0
aɛle,1,0,1,1,0
aɛnfax,1,0,1,1,0
aɛnɡeːbm,1,0,1,1,0
aɛnhaɛt,1,0,1,1,0
aɛnɪɡe,1,0,1,1,0
aɛnmaːl,1,0,1,1,0
aɛnʁaɛbm,1,0,1,1,0
aɛntsl,1,0,1,1,0
aɛnzaːm,1,0,1,1,0
aɛzn,1,0,1,1,0
aktsie,1,0,1,1,0
ale,1,0,1,1,0
alɡemaɛn,1,0,1,1,0
altɐ,1,0,1,1,0
andəʁe,1,0,1,1,0
anɡeboːt,1,0,1,1,0
ankɔmen,1,0,1,1,0
anlaːɡe,1,0,1,1,0
anʁuːf,1,0,1,1,0
anʃpʁʊx,1,0,1,1,0
antsaːl,1,0,1,1,0
antsuːk,1,0,1,1,0
aɔftʁeːtn,1,0,1,1,0
aɔɡe,1,0,1,1,0
aɔtoː,1,0,1,1,0
apbɪldʊŋ,1,0,1,1,0
apzats,1,0,1,1,0
axtʊŋ,1,0,1,1,0
eːɐde,1,0,1,1,0
eːɐste,1,0,1,1,0
eːbəne,1,0,1,1,0
ɛke,1,0,1,1,0
ɛltɐntaɛl,1,0,1,1,0
ɛnde,1,0,1,1,0
ɛntveːdɐ,1,0,1,1,0
ɛʁnte,1,0,1,1,0
ɛsn,1,0,1,1,0
ɪmɐ,1,0,1,1,0
