word,freq,english,german,sound,spell
antwort,1,0,1,0,1
antworten,1,0,1,0,1
aufstieg,1,0,1,0,1
aufzug,1,0,1,0,1
augenblick,1,0,1,0,1
außer,1,0,1,0,1
ausdruck,1,0,1,0,1
abhängen,1,0,1,0,1
abschnitt,1,0,1,0,1
abweichen,1,0,1,0,1
arbeit,1,0,1,0,1
eher,1,0,1,0,1
erforderlich,1,0,1,0,1
erfordern,1,0,1,0,1
erlauben,1,0,1,0,1
erreichen,1,0,1,0,1
erscheinen,1,0,1,0,1
aber,1,0,1,0,1
abend,1,0,1,0,1
eile,1,0,1,0,1
einfach,1,0,1,0,1
eingeben,1,0,1,0,1
einheit,1,0,1,0,1
einige,1,0,1,0,1
einmal,1,0,1,0,1
einreiben,1,0,1,0,1
einzel,1,0,1,0,1
einsam,1,0,1,0,1
eisen,1,0,1,0,1
aktie,1,0,1,0,1
alle,1,0,1,0,1
allgemein,1,0,1,0,1
alter,1,0,1,0,1
andere,1,0,1,0,1
angebot,1,0,1,0,1
ankommen,1,0,1,0,1
anlage,1,0,1,0,1
anruf,1,0,1,0,1
anspruch,1,0,1,0,1
anzahl,1,0,1,0,1
anzug,1,0,1,0,1
auftreten,1,0,1,0,1
auge,1,0,1,0,1
auto,1,0,1,0,1
abbildung,1,0,1,0,1
absatz,1,0,1,0,1
achtung,1,0,1,0,1
erde,1,0,1,0,1
erste,1,0,1,0,1
ebene,1,0,1,0,1
ecke,1,0,1,0,1
elternteil,1,0,1,0,1
ende,1,0,1,0,1
entweder,1,0,1,0,1
ernte,1,0,1,0,1
essen,1,0,1,0,1
immer,1,0,1,0,1
insel,1,0,1,0,1
oberfläche,1,0,1,0,1
oben,1,0,1,0,1
ozean,1,0,1,0,1
orgel,1,0,1,0,1
ursache,1,0,1,0,1
ufer,1,0,1,0,1
umzug,1,0,1,0,1
unter,1,0,1,0,1
unten,1,0,1,0,1
art,1,0,1,0,1
arzt,1,0,1,0,1
ei,1,0,1,0,1
ein,1,0,1,0,1
eis,1,0,1,0,1
akkord,1,0,1,0,1
akt,1,0,1,0,1
als,1,0,1,0,1
alt,1,0,1,0,1
am,1,0,1,0,1
angst,1,0,1,0,1
auf,1,0,1,0,1
aus,1,0,1,0,1
auch,1,0,1,0,1
arrangieren,1,0,1,0,1
arm,1,0,1,0,1
atom,1,0,1,0,1
acht,1,0,1,0,1
erfahrung,1,0,1,0,1
erfinden,1,0,1,0,1
erfolg,1,0,1,0,1
ergebnis,1,0,1,0,1
erhalten,1,0,1,0,1
erhöhen,1,0,1,0,1
erleichtern,1,0,1,0,1
erraten,1,0,1,0,1
basis,1,0,1,0,1
bauen,1,0,1,0,1
bieten,1,0,1,0,1
boden,1,0,1,0,1
bei,1,0,1,0,1
bein,1,0,1,0,1
bank,1,0,1,0,1
bedeuten,1,0,1,0,1
begünstigen,1,0,1,0,1
bereich,1,0,1,0,1
bestellen,1,0,1,0,1
bewegung,1,0,1,0,1
besitzen,1,0,1,0,1
besondere,1,0,1,0,1
band,1,0,1,0,1
berg,1,0,1,0,1
bett,1,0,1,0,1
bild,1,0,1,0,1
bis,1,0,1,0,1
bit,1,0,1,0,1
blau,1,0,1,0,1
blatt,1,0,1,0,1
block,1,0,1,0,1
bringen,1,0,1,0,1
breit,1,0,1,0,1
braun,1,0,1,0,1
buch,1,0,1,0,1
dame,1,0,1,0,1
danken,1,0,1,0,1
dauer,1,0,1,0,1
denken,1,0,1,0,1
dienen,1,0,1,0,1
diese,1,0,1,0,1
dollar,1,0,1,0,1
da,1,0,1,0,1
